"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6158-1.id.csv";"peptide.count.P6158-2.id.csv";"spectra.count.P6158-1.id.csv";"spectra.count.P6158-2.id.csv";"dNSAF.P6158-1.id.csv";"dNSAF.P6158-2.id.csv"
"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575-[1,2]";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";20;33;0,00553359896302108;19;11;21;12;NA;NA
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";11;18;0,0137378639653108;11;6;12;6;0,0203126497115355;0,0150601974737538
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";10;14;0,0115737392070703;10;3;10;4;0,0183351422254409;0,0108752276653572
"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-[1-4]";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";9;21;0,00364435002413106;9;6;12;9;NA;NA
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";9;12;0,00740669892824643;9;2;10;2;0,0130853853346157;0,00477625191778659
"P22626-1,P22626-2";"P22626-1,P22626-2";"P22626-[1,2]";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";9;12;0,00853445520287537;8;3;9;3;NA;NA
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";8;11;0,0142323728753047;6;5;6;5;0,0172176749773814;0,0212758706914717
"P51991-1,P51991-2";"P51991-1,P51991-2";"P51991-[1,2]";"ROA3_HUMAN";"Heterogeneous nuclear ribonucleoprotein A3";"HNRNPA3";7;10;0,0057846825779858;7;2;8;2;NA;NA
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";6;7;0,0053495046225777;3;4;3;4;0,00508481794875922;0,0100532904062454
"P61604";"P61604";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";6;10;0,0428747061662477;6;2;7;3;0,0665637565302035;0,0423014370218672
"P61769";"P61769";"P61769";"B2MG_HUMAN";"Beta-2-microglobulin";"B2M";6;11;0,0404247229567478;6;5;6;5;0,0489039843895372;0,0604306243169532
"P13612";"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";5;6;0,00254256978427748;4;2;4;2;0,00375941482064272;0,00278730398981296
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";5;9;0,00682131373667511;4;3;6;3;0,0100859170578075;0,00747789701253113
"P35613-1,P35613-2,P35613-3,P35613-4";"P35613-1,P35613-2,P35613-3,P35613-4";"P35613-[1-4]";"BASI_HUMAN";"Basigin";"BSG";5;11;0,00312372859211233;5;4;6;5;NA;NA
"Q06830";"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";5;11;0,0278925900571298;5;4;6;5;0,0334218184772717;0,0421597236650101
"Q9P258";"Q9P258";"Q9P258";"RCC2_HUMAN";"Protein RCC2";"RCC2";5;8;0,00670225291794217;5;3;5;3;0,00929050789009408;0,00826579803875567
"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";4;5;0,00287711844010346;4;1;4;1;0,00510488959855696;0,00189243270887301
"P11142-1,P11142-2";"P11142-1,P11142-2";"P11142-[1,2]";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";5;7;0,00270787617892091;4;3;4;3;NA;NA
"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";4;7;0,00765313505067522;4;3;4;3;0,00969929023725822;0,0107868664405761
"P20701-1,P20701-2,P20701-3";"P20701-1,P20701-2,P20701-3";"P20701-[1-3]";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";4;7;0,00087215214252709;3;4;3;4;NA;NA
"P31943";"P31943";"P31943";"HNRH1_HUMAN";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";4;5;0,00486995548881656;4;1;4;1;0,00864079308441712;0,00320322685688972
"P60709,P63261";"P60709,P63261";"P63261, P60709";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";11;14;0,00816334405405356;11;3;11;3;0,0142256256813121;0,00575299543497395
"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"P61978-[1-3]";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";4;6;0,00188907992611545;4;2;4;2;NA;NA
"P63244";"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";4;4;0,005518258711618;4;NA;4;NA;0,0122388520343952;NA
"P68104,Q5VTE0";"P68104,Q5VTE0";"P68104, Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";10;19;0,00899255200759611;8;7;11;8;0,0115467740919741;0,0124523710713722
"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";3;20;0,0378633768740889;3;3;10;10;0,0419882694253602;0,0622618553568609
"P05107";"P05107";"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";3;6;0,00341213526316562;3;3;3;3;0,00378385835003572;0,00561085380524117
"P08648";"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";3;3;0,0012506825630955;3;NA;3;NA;0,00277386756070302;NA
"P10412,P16402,P16403";"P10412,P16402,P16403";"P16402, P10412, P16403";"H12_HUMAN, H13_HUMAN, H14_HUMAN";"Histone H1.2, Histone H1.3, Histone H1.4";"HIST1H1C, HIST1H1D, HIST1H1E";4;16;0,010715393639099;4;4;8;8;0,0118827445479427;0,0176202004133965
"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";3;3;0,00179230329055626;3;NA;3;NA;0,00397511894969599;NA
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";3;5;0,00254849652037137;3;2;3;2;0,00339136022281756;0,00335256144229251
"P14866-1,P14866-2";"P14866-1,P14866-2";"P14866-[1,2]";"HNRPL_HUMAN";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";3;3;0,00111372326713683;3;NA;3;NA;NA;NA
"P15880";"P15880";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";3;4;0,0059702662511362;3;NA;4;NA;0,0132413518597382;NA
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";3;6;0,00369567889771037;3;2;4;2;0,00546438886606097;0,00405140523589714
"P23284";"P23284";"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";3;4;0,00809855560918012;2;2;2;2;0,00898082429375761;0,0133171190624397
"P24752";"P24752";"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";3;3;0,00307251992666787;2;1;2;1;0,00454299308536685;0,00336826430619083
"P26583";"P26583";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";3;3;0,00627734932386211;3;NA;3;NA;0,0139224261778826;NA
"P39656";"P39656";"P39656";"OST48_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit";"DDOST";3;3;0,00287711844010346;3;NA;3;NA;0,0063811119981962;NA
"P40227-1,P40227-2";"P40227-1,P40227-2";"P40227-[1,2]";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";3;4;0,0016471638527146;3;1;3;1;NA;NA
"P46777";"P46777";"P46777";"RL5_HUMAN";"60S ribosomal protein L5";"RPL5";3;4;0,00588985862485827;2;2;2;2;0,00653150857727826;0,00968517749995614
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";3;3;0,000898606855265192;3;NA;3;NA;NA;NA
"P62241";"P62241";"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";3;6;0,0126150577758383;3;3;3;3;0,0139893609191224;0,0207439739241849
"P62913-1,P62913-2";"P62913-1,P62913-2";"P62913-[1,2]";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";3;6;0,00737059555442236;3;3;3;3;NA;NA
"P78527-1,P78527-2";"P78527-1,P78527-2";"P78527-[1,2]";"PRKDC_HUMAN";"DNA-dependent protein kinase catalytic subunit";"PRKDC";3;4;0,000211880815356457;3;1;3;1;NA;NA
"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"Q00839-[1,2]";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";3;4;0,00106017455247449;2;2;2;2;NA;NA
"Q14697-1,Q14697-2";"Q14697-1,Q14697-2";"Q14697-[1,2]";"GANAB_HUMAN";"Neutral alpha-glucosidase AB";"GANAB";3;4;0,000926529667151963;3;1;3;1;NA;NA
"Q9UQ80";"Q9UQ80";"Q9UQ80";"PA2G4_HUMAN";"Proliferation-associated protein 2G4";"PA2G4";3;4;0,00443981728828149;2;2;2;2;0,00492349758236458;0,00730075562813952
"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-[1-4]";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";2;2;0,000350980740686779;2;NA;2;NA;NA;NA
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";4;5;0,00339535716533949;2;3;2;3;0,00301220193703671;0,00669991704383612
"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";2;2;0,00144092916934342;2;NA;2;NA;0,00319581226927783;NA
"P05387";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";2;2;0,00760560005036046;2;NA;2;NA;0,0168683308474056;NA
"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;4;0,00919295501582609;2;2;2;2;0,0104857191754143;0,0145768465413191
"P07900-1,P07900-2";"P07900-1,P07900-2";"P07900-[1,2]";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";2;3;0,00238973772074168;2;1;2;1;NA;NA
"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";2;3;0,00610216748226595;2;NA;3;NA;0,0135338933543138;NA
"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"P09651-[1-3]";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";7;15;0,00674879634098344;7;6;9;6;NA;NA
"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";2;2;0,000935448134536314;2;NA;2;NA;0,00207471448925309;NA
"P13987";"P13987";"P13987";"CD59_HUMAN";"CD59 glycoprotein";"CD59";2;2;0,00683315629524573;2;NA;2;NA;0,015155140995716;NA
"P14209-1,P14209-3";"P14209-1,P14209-3";"P14209-[1,3]";"CD99_HUMAN";"CD99 antigen";"CD99";2;5;0,0059097567958882;2;2;2;3;NA;NA
"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-[1,3-8,10-14,16-18]";"CD44_HUMAN";"CD44 antigen";"CD44";4;7;0,00027504528484008;3;3;4;3;NA;NA
"P18124";"P18124";"P18124";"RL7_HUMAN";"60S ribosomal protein L7";"RPL7";2;2;0,00352679034593328;2;NA;2;NA;0,0078220082558534;NA
"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";2;2;0,00209746763978766;2;NA;2;NA;0,00465193776367301;NA
"P32969";"P32969";"P32969";"RL9_HUMAN";"60S ribosomal protein L9";"RPL9P9,RPL9P7,RPL9P8,RPL9";2;2;0,00455543753016382;2;NA;2;NA;0,0101034273304773;NA
"P35268";"P35268";"P35268";"RL22_HUMAN";"60S ribosomal protein L22";"RPL22";2;2;0,00683315629524573;NA;2;NA;2;NA;0,022472638417867
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";4;5;0,00111561735432583;3;2;3;2;NA;NA
"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";2;3;0,00307251992666787;2;1;2;1;0,00454299308536685;0,00336826430619083
"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";2;2;0,00217033252057433;2;NA;2;NA;0,00481354354206363;NA
