"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772-3.id.csv";"peptide.count.P5772-4.id.csv";"spectra.count.P5772-3.id.csv";"spectra.count.P5772-4.id.csv";"dNSAF.P5772-3.id.csv";"dNSAF.P5772-4.id.csv"
"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";39;64;0,00491354662818959;31;30;32;32;0,00582354731707734;0,00581576861022311
"P78527-1,P78527-2";"P78527-1,P78527-2";"P78527-[1,2]";"PRKDC_HUMAN";"DNA-dependent protein kinase catalytic subunit";"PRKDC";37;61;0,000668221660020832;25;33;25;36;NA;NA
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";29;114;0,0189726349631566;26;26;56;58;0,0220380844877601;0,0228985337142638
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";29;85;0,0153077713433193;25;27;43;42;0,0185057819164536;0,0177645674428644
"Q96RQ3";"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";29;118;0,0147198843858807;27;28;56;62;0,0165589555781447;0,0183086412162179
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";30;112;0,0211236814202599;30;25;64;48;0,0282285786187966;0,0217803842202673
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";25;86;0,0126788010399868;22;25;39;47;0,0136266800805015;0,0164058309380158
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";25;53;0,0107687361155779;19;21;27;26;0,0130039458342233;0,0125055917316319
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";23;37;0,0047130687353933;18;19;18;19;0,00543496907180053;0,0057292488131168
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";21;38;0,00400549973164843;17;19;18;20;0,00449746857922887;0,00499051240008947
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";20;38;0,0059977639960809;18;15;22;16;0,00823096925552882;0,00597816354523806
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";47;74;0,00368773582275467;34;37;35;39;NA;NA
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";21;51;0,0110610032347263;20;19;27;24;0,013880676406397;0,0123218982425231
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";16;25;0,00213705027469553;11;13;11;14;0,00222889668403498;0,00283298841918122
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";15;30;0,00885143913913382;14;13;16;14;0,0110861970580432;0,00988121455217715
"P05166-1,P05166-2";"P05166-1,P05166-2";"P05166-[1,2]";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";13;22;0,00184571362500234;13;9;13;9;NA;NA
