"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5746-3.id.csv";"peptide.count.P5746-4.id.csv";"spectra.count.P5746-3.id.csv";"spectra.count.P5746-4.id.csv";"dNSAF.P5746-3.id.csv";"dNSAF.P5746-4.id.csv"
"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";63;123;0,00141009398819214;53;52;61;62;0,00180994097334434;0,00187558504654428
"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";43;83;0,00108410223456826;36;38;41;42;0,00137389147275011;0,00145994992091185
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";40;91;0,00308037923820216;35;36;43;48;0,00373389806096733;0,00432284588253442
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";41;109;0,00516924919937049;34;39;52;57;0,00638257522271631;0,00713309403615728
"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"Q00610-[1,2]";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";46;103;0,000885079088576865;41;39;53;50;NA;NA
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";33;62;0,00168692464897512;27;29;31;31;0,00218301799414448;0,00222570607366384
"P07814";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";32;54;0,00105972474891218;22;28;25;29;0,00127037947507908;0,00150107699341937
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";30;60;0,00334498563892869;28;21;35;25;0,00499071809372867;0,00373546543360792
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";28;83;0,00416977991119465;27;27;41;42;0,00533102260597868;0,00556783623764715
"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";28;43;0,00132387355495039;17;22;19;24;0,00151399095112273;0,00194980605908133
"P33991";"P33991";"P33991";"MCM4_HUMAN";"DNA replication licensing factor MCM4";"MCM4";28;57;0,00190131345795039;25;24;30;27;0,00258995219729174;0,00237653794715663
