"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5746-3.id.csv";"peptide.count.P5746-4.id.csv";"spectra.count.P5746-3.id.csv";"spectra.count.P5746-4.id.csv";"dNSAF.P5746-3.id.csv";"dNSAF.P5746-4.id.csv";"Go.Cc"
"1";"A0AVT1";"A0AVT1-1,A0AVT1-2";"UBA6_HUMAN";"Ubiquitin-like modifier-activating enzyme 6";"UBA6";2;2;2,73636434229069e-05;NA;2;NA;2;NA;NA;"cytosol, cytoplasm"
"2";"A6NMY6";"A6NMY6,P07355-1,P07355-2";"ANXA2_HUMAN, AXA2L_HUMAN";"Annexin A2, Putative annexin A2-like protein";"ANXA2, ANXA2P2";2;3;8,49160851943895e-05;1;2;1;2;0,000219776671215611;0,000448148639439784;"basement membrane, melanosome"
"3";"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;7;0,00132569651425188;3;3;3;4;0,00147047943833077;0,0019989787996064;"spliceosomal complex"
"4";"B0I1T2";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;5;0,000141387784287318;2;3;2;3;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"5";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";5;11;0,00157039191911222;5;5;6;5;0,00209379742038667;0,00203308650077065;"nucleus, cytoplasm"
"6";"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";7;11;0,000962468333403886;5;6;5;6;0,00113228406598924;0,00138531053589745;"cytoplasm, transcription factor complex, cytoskeleton"
"7";"O00154";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";4;8;0,000202010897409811;4;3;5;3;NA;NA;"neuron projection, nucleus, extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol, cell body"
"8";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;3;0,000261695935280891;2;1;2;1;0,000451541160861165;0,000230185437530434;"nucleus, cytosol, cytoplasm, membrane"
"9";"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";9;14;0,000477502062005418;6;8;6;8;NA;NA;"nucleus, nucleoplasm, extracellular vesicular exosome, proteasome accessory complex, cytosol, proteasome complex"
"10";"O00232";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";8;12;0,00075754086528679;6;6;6;6;NA;NA;"nucleoplasm, proteasome regulatory particle, extracellular vesicular exosome, proteasome accessory complex, cytosol"
