"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5570"	"spectra.count.P5570"	"dNSAF.P5570"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"162648"	"162648"	"162648"	"albumin [Bos taurus]"	""	16	28	0.126447474122347	16	28	0.127437079215755	0	""	""	""
"P04264"	"P04264"	"K2C1_HUMAN"	"Keratin, type II cytoskeletal 1"	"KRT1"	13	26	0.127087605444157	13	26	0.12808222034279	5	"response to oxidative stress;regulation of angiogenesis;complement activation;fibrinolysis"	"cytoskeleton;plasma membrane;membrane;keratin filament"	"receptor activity;structural molecule activity;carbohydrate binding"
"P13645"	"P13645"	"K1C10_HUMAN"	"Keratin, type I cytoskeletal 10"	"KRT10"	10	16	0.0883545721103539	10	16	0.0890460539702585	3	"cellular response to calcium ion;keratinocyte differentiation"	"intermediate filament;keratin filament;cytoplasm"	"structural constituent of epidermis"
"P35908"	"P35908"	"K22E_HUMAN"	"Keratin, type II cytoskeletal 2 epidermal"	"KRT2"	9	16	0.0821195797815739	9	16	0.0827622652522365	5	"keratinization;keratinocyte proliferation;keratinocyte activation;keratinocyte migration"	"intermediate filament;keratin filament;Golgi apparatus"	"structural constituent of cytoskeleton"
"P35527"	"P35527"	"K1C9_HUMAN"	"Keratin, type I cytoskeletal 9"	"KRT9"	6	13	0.0572000125142994	6	13	0.0576476720988034	0	"intermediate filament organization;spermatogenesis;epidermis development"	"intermediate filament"	"structural constituent of cytoskeleton"
"P13647"	"P13647"	"K2C5_HUMAN"	"Keratin, type II cytoskeletal 5"	"KRT5"	4	7	0.0325227189797731	4	7	0.0327772487643913	0	"hemidesmosome assembly;epidermis development"	"cytosol;keratin filament;mitochondrion;plasma membrane"	"structural constituent of cytoskeleton"
"P60709,P62736,P63261,P63267,P68032,P68133"	"P60709, P62736, P63261, P63267, P68032, P68133"	"ACTA_HUMAN, ACTB_HUMAN, ACTC_HUMAN, ACTG_HUMAN, ACTH_HUMAN, ACTS_HUMAN"	"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle, Actin, aortic smooth muscle, Actin, cytoplasmic 1, Actin, cytoplasmic 2, Actin, gamma-enteric smooth muscle"	"ACTA1, ACTA2, ACTB, ACTC1, ACTG1, ACTG2"	4	7	0.00850172981748609	4	7	0.00856826618120996	0	"axon guidance;adherens junction organization;blood coagulation;Fc-gamma receptor signaling pathway involved in phagocytosis;innate immune response;'de novo' posttranslational protein folding;cell junction assembly;response to virus;muscle contraction;regulation of blood pressure;vascular smooth muscle contraction;glomerular mesangial cell development;sarcomere organization;cardiac muscle contraction;cardiac myofibril assembly;skeletal muscle thin filament assembly;response to drug;muscle filament sliding;apoptotic process;cardiac muscle tissue morphogenesis;heart contraction;response to ethanol;skeletal muscle fiber adaptation;response to steroid hormone stimulus;cell growth;response to lithium ion;skeletal muscle fiber development;response to mechanical stimulus;response to extracellular stimulus"	"MLL5-L complex;extracellular vesicular exosome;ribonucleoprotein complex;cytosol;NuA4 histone acetyltransferase complex;postsynaptic density;cytoskeleton;axon;cortical cytoskeleton;actin cytoskeleton;protein complex;smooth muscle contractile fiber;filamentous actin;myofibril;cell periphery;I band;actomyosin;stress fiber;actin filament;striated muscle thin filament"	"structural constituent of cytoskeleton;ATP binding;myosin binding;ATPase activity;ADP binding"
"136429"	"136429"	"136429"	"trypsin [Sus scrofa]"	""	3	27	0.320400070097579	3	27	0.322907589868122	0	""	""	""
"P61604"	"P61604"	"CH10_HUMAN"	"10 kDa heat shock protein, mitochondrial"	"HSPE1"	3	5	0.13437257841783	3	5	0.135424207079768	0	"response to unfolded protein;activation of cysteine-type endopeptidase activity involved in apoptotic process;protein folding"	"mitochondrial matrix;mitochondrion"	"ATP binding;unfolded protein binding;chaperone binding"
"P22626-1,P22626-2"	"P22626-[1,2]"	"ROA2_HUMAN"	"Heterogeneous nuclear ribonucleoproteins A2/B1"	"HNRNPA2B1"	2	2	0.0077654407924185	2	2	0	0	"negative regulation of mRNA splicing;mRNA splicing;RNA transport"	"cytoplasm;nucleolus;catalytic step 2 spliceosome;nucleoplasm"	"nucleotide binding;single-stranded telomeric DNA binding;RNA binding;pre-mRNA intronic binding"
"P02533"	"P02533"	"K1C14_HUMAN"	"Keratin, type I cytoskeletal 14"	"KRT14"	1	1	0.00683250398734728	1	1	0.00688597663117465	3	"epithelial cell differentiation;response to ionizing radiation;hemidesmosome assembly;response to zinc ion;epidermis development;intermediate filament bundle assembly"	"cell periphery;nucleus;cytosol;keratin filament"	"structural constituent of cytoskeleton"
"P10412,P16402,P16403"	"P10412, P16402, P16403"	"H12_HUMAN, H13_HUMAN, H14_HUMAN"	"Histone H1.2, Histone H1.3, Histone H1.4"	"HIST1H1C, HIST1H1D, HIST1H1E"	1	2	0.00839571393483532	1	2	0.00846142059548934	0	"nucleosome assembly;nucleosome positioning"	"nucleus;nucleosome;nuclear chromatin"	"DNA binding"
"P04259"	"P04259"	"K2C6B_HUMAN"	"Keratin, type II cytoskeletal 6B"	"KRT6B"	0	0	0	0	0	0	4	"ectoderm development"	"keratin filament"	"structural constituent of cytoskeleton"
