"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6170-1.id.csv";"peptide.count.P6170-2.id.csv";"spectra.count.P6170-1.id.csv";"spectra.count.P6170-2.id.csv";"dNSAF.P6170-1.id.csv";"dNSAF.P6170-2.id.csv"
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";2;3;0,0706786699972771;2;1;2;1;0,0870922599537431;0,13021843710371
"O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6-1,Q5QNW6-2,Q93079,Q96A08,Q99877,Q99879,Q99880";"O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6-1,Q5QNW6-2,Q93079,Q96A08,Q99877,Q99879,Q99880";"O60814, P06899, P23527, P33778, P57053, P58876, P62807, Q16778, Q5QNW6-[1,2], Q93079, Q96A08, Q99877, Q99879, Q99880";"H2B1A_HUMAN, H2B1B_HUMAN, H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1J_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B1O_HUMAN, H2B2E_HUMAN, H2B2F_HUMAN, H2BFS_HUMAN";"Histone H2B type 1-A, Histone H2B type 1-B, Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-J, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 1-O, Histone H2B type 2-E, Histone H2B type 2-F, Histone H2B type F-S";"H2BFS, HIST1H2BA, HIST1H2BB, HIST1H2BD, HIST1H2BH, HIST1H2BI,HIST1H2BG,HIST1H2BC,HIST1H2BE,HIST1H2BF, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST2H2BE, HIST2H2BF";3;6;0,0481407334513448;3;2;3;3;0,0513307645609005;0,153497266921518
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";1;1;0,0363845431480787;1;NA;1;NA;0,0672510976141614;NA
"P04350,P68371";"P04350,P68371";"P04350, P68371";"TBB4A_HUMAN, TBB4B_HUMAN";"Tubulin beta-4A chain, Tubulin beta-4B chain";"TUBB4A, TUBB4B";1;1;0,0426669136466502;1;0;1;0;0,0946356840442248;NA
"P04406-1";"P04406-1";"P04406-1";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";3;6;0,271743662556695;2;2;2;4;NA;NA
"P04908,P20671,Q7L7L0";"P04908,P20671,Q7L7L0";"P20671, Q7L7L0, P04908";"H2A1B_HUMAN, H2A1D_HUMAN, H2A3_HUMAN";"Histone H2A type 1-B/E, Histone H2A type 1-D, Histone H2A type 3";"HIST1H2AD, HIST1H2AE,HIST1H2AB, HIST3H2A";2;3;0,116710419174991;2;1;2;1;0,143813885667207;0,215027367935357
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";1;1;0,0286811994191849;1;NA;1;NA;0,0530126799718436;NA
"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";1;1;0,0854299239456578;0;1;0;1;0;0,37775078150806
"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"P09651-[1-3]";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";1;1;0,0135952997246853;1;NA;1;NA;NA;NA
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";1;1;0,024353699025279;1;NA;1;NA;0,0450139770547436;NA
"P61604";"P61604";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";1;1;0,148748573458322;1;NA;1;NA;0,274938310834366;NA
"P68104,Q5VTE0";"P68104,Q5VTE0";"Q5VTE0, P68104";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";4;5;0,0821014853503724;4;NA;5;NA;0,151751665070916;NA
"P68363,Q71U36-1,Q71U36-2,Q9BQE3";"P68363,Q71U36-1,Q71U36-2,Q9BQE3";"P68363, Q71U36-[1,2], Q9BQE3";"TBA1A_HUMAN, TBA1B_HUMAN, TBA1C_HUMAN";"Tubulin alpha-1A chain, Tubulin alpha-1B chain, Tubulin alpha-1C chain";"TUBA1A, TUBA1B, TUBA1C";1;1;0,00841973057311256;1;NA;1;NA;0,0311596752278948;NA
"P68431,P84243,Q16695,Q6NXT2,Q71DI3";"P68431,P84243,Q16695,Q6NXT2,Q71DI3";"P84243, Q71DI3, P68431, Q6NXT2, Q16695";"H31_HUMAN, H31T_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3, Histone H3.3C";"H3F3B,H3F3A, H3F3C, HIST1H3A,HIST1H3B,HIST1H3J,HIST1H3E,HIST1H3D,HIST1H3H,HIST1H3F,HIST1H3I,HIST1H3G,HIST1H3C, HIST2H3D,HIST2H3C,HIST2H3A, HIST3H3";1;1;0,0223451465283488;NA;1;NA;1;NA;0,123506146531354
