"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5573"	"spectra.count.P5573"	"dNSAF.P5573"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P52272-1,P52272-2"	"P52272-[1,2]"	"HNRPM_HUMAN"	"Heterogeneous nuclear ribonucleoprotein M"	"HNRNPM"	25	56	0.0134679856030645	25	56	0	0	"alternative mRNA splicing"	"catalytic step 2 spliceosome;integral to plasma membrane;nuclear matrix;paraspeckles"	"nucleotide binding;RNA binding"
"P10809"	"P10809"	"CH60_HUMAN"	"60 kDa heat shock protein, mitochondrial"	"HSPD1"	18	44	0.0269628333065589	18	44	0.0330222733648445	0	"positive regulation of T cell mediated immune response to tumor cell;positive regulation of interferon-alpha production;positive regulation of interleukin-6 production;positive regulation of T cell activation;protein maturation;modulation by virus of host morphology or physiology;protein refolding;MyD88-dependent toll-like receptor signaling pathway;protein stabilization;T cell activation;isotype switching to IgG isotypes;positive regulation of interleukin-12 production;positive regulation of macrophage activation;B cell proliferation;positive regulation of apoptotic process;chaperone-mediated protein complex assembly;response to unfolded protein;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of interleukin-10 production;'de novo' protein folding;positive regulation of interferon-gamma production;B cell cytokine production;negative regulation of apoptotic process"	"secretory granule;cell surface;coated vesicle;extracellular space;mitochondrial matrix;mitochondrial inner membrane;coated pit;early endosome;lipopolysaccharide receptor complex;plasma membrane;cytosol"	"lipopolysaccharide binding;ATP binding;DNA replication origin binding;ATPase activity;single-stranded DNA binding;unfolded protein binding"
"P29401"	"P29401"	"TKT_HUMAN"	"Transketolase"	"TKT"	9	16	0.00901777527194411	9	16	0.0110443675109038	0	"pentose-phosphate shunt;energy reserve metabolic process;regulation of growth;xylulose biosynthetic process;glyceraldehyde-3-phosphate biosynthetic process"	"peroxisome;nucleus;cytosol"	"metal ion binding;cofactor binding;transketolase activity;protein homodimerization activity"
"P68431,P84243,Q16695,Q6NXT2,Q71DI3"	"P68431, P84243, Q16695, Q6NXT2, Q71DI3"	"H31T_HUMAN, H31_HUMAN, H32_HUMAN, H33_HUMAN, H3C_HUMAN"	"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3, Histone H3.3C"	"H3F3A,H3F3B, H3F3C, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3"	9	22	0.0113768066897336	9	22	0.0139335512798644	0	"nucleosome assembly;blood coagulation;regulation of gene silencing;S phase;brain development;response to hormone stimulus;telomere maintenance"	"nucleoplasm;nucleosome;extracellular region;nucleus"	"DNA binding"
"P08670"	"P08670"	"VIME_HUMAN"	"Vimentin"	"VIM"	8	14	0.0105489586805119	8	14	0.0129196584536082	0	"astrocyte development;modulation by virus of host morphology or physiology;intermediate filament organization;muscle filament sliding;Bergmann glial cell differentiation;cellular component disassembly involved in execution phase of apoptosis;negative regulation of neuron projection development;lens fiber cell development"	"cell leading edge;cell projection;extracellular vesicular exosome;cytosol;peroxisome;intermediate filament"	"structural constituent of eye lens;structural constituent of cytoskeleton"
"P26373"	"P26373"	"RL13_HUMAN"	"60S ribosomal protein L13"	"RPL13"	8	16	0.0266259431015222	8	16	0.0326096727928581	0	"translational termination;translational initiation;translational elongation;nuclear-transcribed mRNA catabolic process;viral transcription;SRP-dependent cotranslational protein targeting to membrane"	"cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P39019"	"P39019"	"RS19_HUMAN"	"40S ribosomal protein S19"	"RPS19"	8	18	0.0435885051291299	8	18	0.05338428330486	0	"translational elongation;protein tetramerization;nuclear-transcribed mRNA catabolic process;monocyte chemotaxis;ribosomal small subunit assembly;translational termination;erythrocyte differentiation;maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA;response to extracellular stimulus;translational initiation;negative regulation of respiratory burst involved in inflammatory response;nucleolus organization;SRP-dependent cotranslational protein targeting to membrane;positive regulation of respiratory burst involved in inflammatory response;positive regulation of cellular component movement;viral transcription"	"cytosolic small ribosomal subunit;nucleolus"	"structural constituent of ribosome;protein homodimerization activity"
"P06576"	"P06576"	"ATPB_HUMAN"	"ATP synthase subunit beta, mitochondrial"	"ATP5B"	7	10	0.0066376110520099	7	10	0.00812930170048802	0	"mitochondrial ATP synthesis coupled proton transport;regulation of intracellular pH;ATP hydrolysis coupled proton transport;respiratory electron transport chain;angiogenesis;negative regulation of cell adhesion involved in substrate-bound cell migration;lipid metabolic process"	"cell surface;mitochondrial proton-transporting ATP synthase;plasma membrane;mitochondrial nucleoid"	"proton-transporting ATP synthase activity;proton-transporting ATPase activity;ATP binding;MHC class I protein binding"
"P36578"	"P36578"	"RL4_HUMAN"	"60S ribosomal protein L4"	"RPL4"	7	15	0.0123347643320137	7	15	0.0151067936752629	0	"nuclear-transcribed mRNA catabolic process;SRP-dependent cotranslational protein targeting to membrane;translational elongation;translational initiation;viral transcription;translational termination"	"nucleolus;cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P62805"	"P62805"	"H4_HUMAN"	"Histone H4"	"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F"	7	15	0.0511353822307753	7	15	0.062627193197449	0	"telomere maintenance;negative regulation of megakaryocyte differentiation;CENP-A containing nucleosome assembly at centromere;phosphatidylinositol-mediated signaling"	"nucleolus;nucleosome;nucleoplasm;actin cytoskeleton;extracellular region"	"DNA binding"
"P08865"	"P08865"	"RSSA_HUMAN"	"40S ribosomal protein SA"	"RPSA"	6	11	0.0130929690547951	6	11	0.0160353920661491	0	"viral transcription;translational termination;rRNA export from nucleus;nuclear-transcribed mRNA catabolic process;translational elongation;SRP-dependent cotranslational protein targeting to membrane;cell adhesion;endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA;endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA;ribosomal small subunit assembly;translational initiation"	"plasma membrane;nucleus;90S preribosome;cytosolic small ribosomal subunit"	"structural constituent of ribosome;ribosome binding;laminin receptor activity"
"P09651-1,P09651-2,P09651-3"	"P09651-[1-3]"	"ROA1_HUMAN"	"Heterogeneous nuclear ribonucleoprotein A1"	"HNRNPA1"	6	14	0.00440485192214923	6	14	0	0	"nuclear import;modulation by virus of host morphology or physiology;mRNA splicing;RNA export from nucleus;alternative mRNA splicing;mRNA transport"	"nucleoplasm;cytoplasm;nucleolus;intermediate filament cytoskeleton;catalytic step 2 spliceosome"	"single-stranded DNA binding;single-stranded RNA binding;nucleotide binding"
"P38646"	"P38646"	"GRP75_HUMAN"	"Stress-70 protein, mitochondrial"	"HSPA9"	6	10	0.00517127576806074	6	10	0.00633343239993838	0	"protein targeting to mitochondrion;protein export from nucleus;cellular protein metabolic process;negative regulation of apoptotic process;protein folding"	"mitochondrial nucleoid;nucleolus;cell surface"	"ATP binding;unfolded protein binding"
"P50991"	"P50991"	"TCPD_HUMAN"	"T-complex protein 1 subunit delta"	"CCT4"	6	13	0.00846880356301894	6	13	0.0103720237095095	0	"binding of sperm to zona pellucida;'de novo' posttranslational protein folding"	"zona pellucida receptor complex;chaperonin-containing T-complex;centrosome;melanosome;nucleus;microtubule;cytosol"	"ATP binding;unfolded protein binding"
"P04406"	"P04406"	"G3P_HUMAN"	"Glyceraldehyde-3-phosphate dehydrogenase"	"GAPDH"	5	9	0.00943333319958781	5	9	0.0115533150435891	0	"glycolysis;cellular response to interferon-gamma;microtubule cytoskeleton organization;peptidyl-cysteine S-trans-nitrosylation;small molecule metabolic process;neuron apoptotic process;gluconeogenesis;protein stabilization;negative regulation of translation"	"cytosol;extracellular vesicular exosome;ribonucleoprotein complex;perinuclear region of cytoplasm;lipid particle;nucleus;plasma membrane;microtubule cytoskeleton"	"NAD binding;microtubule binding;NADP binding;peptidyl-cysteine S-nitrosylase activity;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"
"P62899-1,P62899-2,P62899-3"	"P62899-[1-3]"	"RL31_HUMAN"	"60S ribosomal protein L31"	"RPL31"	5	8	0.00749076532589491	5	8	0	0	"translational termination;viral transcription;translational initiation;translational elongation;nuclear-transcribed mRNA catabolic process;SRP-dependent cotranslational protein targeting to membrane"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;RNA binding"
"Q16555"	"Q16555"	"DPYL2_HUMAN"	"Dihydropyrimidinase-related protein 2"	"DPYSL2"	5	8	0.00491090384127726	5	8	0.00601454629308834	0	"spinal cord development;positive regulation of glutamate secretion;regulation of neuron differentiation;pyrimidine nucleobase catabolic process;olfactory bulb development;signal transduction;cytoskeleton organization;nucleobase-containing compound metabolic process;response to cocaine;synaptic vesicle transport;axon guidance;response to amphetamine;response to drug"	"axon;protein complex;mitochondrion;cytosol;neuronal cell body;growth cone;dendrite"	"dihydropyrimidinase activity"
