"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5774-3.id.csv";"peptide.count.P5774-4.id.csv";"spectra.count.P5774-3.id.csv";"spectra.count.P5774-4.id.csv";"dNSAF.P5774-3.id.csv";"dNSAF.P5774-4.id.csv"
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";31;61;0,0120476372726238;25;24;31;30;0,0140474020921975;0,0146166908507847
"Q96RQ3";"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";29;91;0,0108570966613063;28;25;49;42;0,0137922248344084;0,0120206321493327
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";27;48;0,00724597671429454;22;23;23;25;0,00819123656778713;0,009053185311504
"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";27;43;0,00315742820217005;24;19;24;19;0,00415759523437693;0,00334675818289793
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";27;88;0,0154335271578802;23;25;41;47;0,0176223651438118;0,0191082641713716
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";26;46;0,00560415065244646;20;22;21;25;0,00603583279976623;0,00730630307534056
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";25;90;0,0143843954731402;25;22;48;42;0,0181752484230734;0,0160379163314028
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";24;69;0,0121108672069346;22;22;34;35;0,0138986534086717;0,0149298791150541
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";23;74;0,0102743413804012;20;21;41;33;0,0134298779180001;0,0109911191688751
"P78527-1,P78527-2";"P78527-1,P78527-2";"P78527-[1,2]";"PRKDC_HUMAN";"DNA-dependent protein kinase catalytic subunit";"PRKDC";22;31;0,000324789759912018;18;12;18;13;NA;NA
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";26;62;0,0128607398457248;23;23;31;31;0,0151705698210409;0,0154255856775296
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";19;32;0,00322606422477915;14;15;15;17;0,00356763343975527;0,00411128569321028
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";15;26;0,00212568055075536;12;13;13;13;0,00250745957070134;0,00254960973101676
"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";15;23;0,00359760123258317;13;10;13;10;0,00479727346437977;0,003752242447372
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";14;29;0,00842281202734379;13;12;15;14;0,0101798262435122;0,00985855012247309
"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";14;37;0,00955360399998498;13;12;17;20;0,0103557216621433;0,0123880004381894
"P29401";"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";14;20;0,00277684902173005;10;10;10;10;0,00327557998000002;0,00333064217238638
"P60174-1,P60174-3";"P60174-1,P60174-3";"P60174-[1,3]";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";14;21;0,00317565697126698;8;13;8;13;NA;NA
"Q86YZ3";"Q86YZ3";"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";14;23;0,000698060870743331;10;9;13;10;0,000930839377474391;0,000728066692419901
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";13;24;0,00344160615244608;10;12;11;13;0,00373081199357468;0,00446144017564936
"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";13;19;0,00325441206635828;9;8;11;8;0,00444505932731488;0,00328711298755916
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";13;18;0,00229304749113997;9;9;9;9;0,00270488614843301;0,00275035503101185
"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";13;20;0,000688959355052895;9;11;9;11;0,000731428791232979;0,000908996049675981
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";12;21;0,0034337916589125;10;9;10;11;0,00385763010877129;0,00431472416018221
"P07900-1,P07900-2";"P07900-1,P07900-2";"P07900-[1,2]";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";13;22;0,00191882037706023;11;11;11;11;NA;NA
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";17;27;0,0037248307332154;14;13;14;13;0,00455655639323129;0,00430221227339032
"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";12;22;0,00472202142578561;9;11;10;12;0,00506373778545909;0,00617863049150387
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";12;19;0,00486236122340512;11;8;11;8;0,00664128686477519;0,00491121910863128
