"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5831-1.id.csv";"peptide.count.P5831-2.id.csv";"spectra.count.P5831-1.id.csv";"spectra.count.P5831-2.id.csv";"dNSAF.P5831-1.id.csv";"dNSAF.P5831-2.id.csv";"Go.Cc"
"1";"A6NL28";"A6NL28-1,A6NL28-2,P06753-2,P06753-3";"TPM3_HUMAN, TPM3L_HUMAN";"Putative tropomyosin alpha-3 chain-like protein, Tropomyosin alpha-3 chain";"TPM3";1;1;0,000102503832700721;1;NA;1;NA;NA;NA;"cytoskeleton, cytoplasm"
"2";"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";1;1;0,000685157197525869;1;NA;1;NA;0,00149742736211002;NA;"spliceosomal complex"
"3";"O00148";"O00148,Q13838-1,Q13838-2";"DX39A_HUMAN, DX39B_HUMAN";"ATP-dependent RNA helicase DDX39A, Spliceosome RNA helicase DDX39B";"DDX39A, DDX39B";1;1;8,11721699329167e-05;NA;1;NA;1;NA;0,000675202971799063;"nucleus, cytoplasm"
"4";"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";2;2;0,000246786478729697;NA;2;NA;2;NA;NA;"nucleoplasm, proteasome accessory complex, proteasome complex, cytosol"
"5";"O00571";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";5;9;0,00049211139439232;4;5;4;5;0,00137944823661044;0,00236619425281351;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm"
"6";"O14818";"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";3;4;0,000839870113096227;2;2;2;2;NA;NA;"proteasome core complex, proteasome complex, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"7";"O14950";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";2;2;0,000607253026378613;2;NA;2;NA;0,00132716594192841;NA;"cytosol, apical part of cell, stress fiber, myosin II complex, Z disc, extracellular vesicular exosome"
"8";"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";2;3;0,000327309381218072;1;2;1;2;NA;NA;"spliceosomal complex, cytoplasm, nucleus"
"9";"O15042";"O15042-1,O15042-2";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";2;2;0,000101208837729769;2;NA;2;NA;NA;NA;"nucleus"
"10";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";2;3;0,00104143894023932;2;NA;3;NA;0,00227608959040723;NA;"focal adhesion, extracellular vesicular exosome, actin cytoskeleton, neuron projection, cytoplasm, cell leading edge, endosome, synapse, plasma membrane, Golgi apparatus, Arp2/3 protein complex, cytosol"
