"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5833-1.id.csv";"peptide.count.P5833-2.id.csv";"spectra.count.P5833-1.id.csv";"spectra.count.P5833-2.id.csv";"dNSAF.P5833-1.id.csv";"dNSAF.P5833-2.id.csv"
"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";22;64;0,0264709747014;18;22;30;34;0,0297870835565375;0,0339297013228936
"Q14152";"Q14152";"Q14152";"EIF3A_HUMAN";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";22;42;0,00421091052424812;21;18;22;20;0,00529500255213897;0,00483802244963367
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";23;42;0,011556589722274;17;20;20;22;0,0135344822429298;0,0142761406157454
"P52272-1,P52272-2";"P52272-1,P52272-2";"P52272-[1,2]";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";20;39;0,00370123378075547;18;18;19;20;NA;NA
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";18;28;0,0114782610345383;15;13;15;13;0,0147613505790534;0,0128579750488341
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";17;41;0,0159698729106545;17;16;23;18;0,0210173515387474;0,017401770742783
"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";14;26;0,00843684827463386;12;9;14;12;0,0109056535425575;0,00939505436823476
"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"Q00839-[1,2]";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";14;25;0,00209937891216122;11;12;12;13;NA;NA
"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"P61978-[1-3]";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";13;27;0,00269337164972736;11;11;13;14;NA;NA
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";10;20;0,006645515980942;9;7;11;9;0,00877421286217752;0,00721526657416591
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";10;20;0,00444188365306001;9;8;11;9;0,00568143907380128;0,00500571122686421
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";10;18;0,00336580586727062;9;7;11;7;0,00465206200067136;0,00340931156597874
"P55072";"P55072";"P55072";"TERA_HUMAN";"Transitional endoplasmic reticulum ATPase";"VCP";10;16;0,00275055103131793;8;7;9;7;0,00371414627472955;0,00290341372070448
"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-[1-4]";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";10;26;0,00220743517969893;8;10;13;13;NA;NA
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";9;11;0,0025109540201467;9;1;10;1;0,00547977649172986;0,000550753461729303
"P46777";"P46777";"P46777";"RL5_HUMAN";"60S ribosomal protein L5";"RPL5";9;19;0,00886404429579183;8;9;9;10;0,0100794676681213;0,0112561397733901
"P50552";"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";9;13;0,00474017659640613;5;8;5;8;0,00437661096115793;0,00703804950041446
"Q06830";"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";11;25;0,0174069105782212;10;9;14;11;0,0234005731792564;0,0184793008239525
"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";8;44;0,0263921920385982;7;7;23;21;0,0331182509095414;0,0303915773881534
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";8;16;0,00312245652287641;8;7;9;7;0,00421634070060848;0,00329598797026452
"P62917";"P62917";"P62917";"RL8_HUMAN";"60S ribosomal protein L8";"RPL8";8;16;0,00862624175580642;4;8;7;9;0,00905975498574325;0,0117072613285104
"P22061-1,P22061-2";"P22061-1,P22061-2";"P22061-[1,2]";"PIMT_HUMAN";"Protein-L-isoaspartate(D-aspartate) O-methyltransferase";"PCMT1";7;12;0,00366235263971737;5;6;6;6;NA;NA
"P29401";"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";7;10;0,00222406112684816;5;5;5;5;0,00266952193457466;0,00268304455272622
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";7;9;0,00183657006454163;4;5;4;5;0,00195948414166717;0,00246176252775911
"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";7;12;0,00412582654697689;6;6;6;6;0,00495219503297274;0,00497728066406482
"P50914";"P50914";"P50914";"RL14_HUMAN";"60S ribosomal protein L14";"RPL14";7;10;0,00644460503268096;5;5;5;5;0,00773540541972098;0,00777458956441132
"P61247";"P61247";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";7;11;0,00577329200844336;4;6;4;7;0,00503973383406064;0,00886421007154473
