"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5824.1.id.csv";"peptide.count.P5824.2.id.csv";"spectra.count.P5824.1.id.csv";"spectra.count.P5824.2.id.csv";"dNSAF.P5824.1.id.csv";"dNSAF.P5824.2.id.csv";"Go.Cc"
"1";"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;2;0,00014236523422905;1;1;1;1;0,00017793702889364;0,00017427253369439;"integral component of membrane"
"2";"A8MYZ6";"A8MYZ6";"A8MYZ6";"FOXO6_HUMAN";"Forkhead box protein O6";"FOXO6";2;2;0,000182875666733252;NA;2;NA;2;NA;0,000447724558109165;"nucleus, cytoplasm"
"3";"O00115";"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";2;2;0,000249930077868778;NA;2;NA;2;NA;0,000611890229415858;"lysosome"
"4";"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";7;10;0,00068369930116079;5;5;5;5;0,000854530412315959;0,000836931924732937;"intracellular membrane-bounded organelle, peroxisomal membrane, peroxisomal matrix, mitochondrion, nucleolus, peroxisome"
"5";"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";3;4;0,000421427765961405;3;1;3;1;0,000790090414010165;0,000257939675163594;"nucleus, cytoplasm"
"6";"O00161";"O00161-1";"O00161-1";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";3;5;0,00106605246484313;2;3;2;3;NA;NA;"extracellular vesicular exosome, specific granule, neuron projection, azurophil granule, cell junction, synapse, nucleus, plasma membrane"
"7";"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";2;2;0,000428451562060761;2;NA;2;NA;0,00107101145010267;NA;"mitochondrial inner membrane, mitochondrion, mitochondrial respiratory chain complex I"
"8";"O00231";"O00231-1,O00231-2";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";3;6;0,000319815739452938;3;2;4;2;NA;NA;"proteasome complex, proteasome accessory complex, nucleoplasm, cytosol"
"9";"O00232";"O00232-1,O00232-2";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";1;1;4,93283048425219e-05;1;NA;1;NA;NA;NA;"proteasome regulatory particle, proteasome accessory complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"10";"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";5;9;0,00239577944465929;3;4;4;5;0,00269125954128363;0,00322755285845728;"endoplasmic reticulum, integral component of membrane, nucleolus, endoplasmic reticulum membrane"
"11";"O00410";"O00410-1,O00410-2,O00410-3";"O00410-1,O00410-2,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";2;3;4,10094931781039e-05;2;1;2;1;NA;NA;"cytoplasm, nuclear membrane, nuclear pore, nucleus, Golgi apparatus, intracellular membrane-bounded organelle"
"12";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";1;2;0,00111080034608346;1;1;1;1;0,00138834817605901;0,00135975606536857;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial respiratory chain complex IV, mitochondrial inner membrane"
"13";"O00571";"O00571-1,O00571-2,O15523";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";5;7;0,000185180047614467;4;3;4;3;0,000795144864470163;0,000584077037169683;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasm, nuclear speck, cytoplasmic stress granule, nucleus"
"14";"O00584";"O00584-1";"O00584-1";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";3;5;0,000878660430007421;2;3;2;3;NA;NA;"extracellular space, lysosomal lumen, lysosome, extracellular region, endoplasmic reticulum lumen"
"15";"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";2;2;8,06226057641218e-05;2;NA;2;NA;NA;NA;"cytoplasm, filopodium, membrane raft, integral component of plasma membrane, ruffle, cell body, plasma membrane, microvillus membrane, lamellipodium, slit diaphragm, apical plasma membrane, extracellular vesicular exosome"
"16";"O00754";"O00754";"O00754";"MA2B1_HUMAN";"Lysosomal alpha-mannosidase";"MAN2B1";2;4;0,000177991746850168;2;NA;4;NA;0,000444930572742948;NA;"lysosome"
"17";"O14802";"O14802";"O14802";"RPC1_HUMAN";"DNA-directed RNA polymerase III subunit RPC1";"POLR3A";2;3;9,70951381648488e-05;2;NA;3;NA;0,000242711227900964;NA;"nucleoplasm, cytosol, DNA-directed RNA polymerase III complex"
"18";"O14828";"O14828-1";"O14828-1";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";4;8;0,00103717381017591;4;3;4;4;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"19";"O14950";"O14950,P19105";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";4;5;0,000655793207235859;2;2;3;2;0,000983581943971838;0,000642217150407315;"stress fiber, cytosol, Z disc, myosin II complex, extracellular vesicular exosome, apical part of cell"
"20";"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";4;7;0,000335870946749971;4;3;4;3;NA;NA;"nucleus, spliceosomal complex, cytoplasm"
"21";"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";2;2;8,40101102079924e-05;2;NA;2;NA;0,00021000224511817;NA;"intracellular membrane-bounded organelle, ribonucleoprotein complex, nucleus, cytosol, nucleoplasm, kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, nuclear envelope, nuclear membrane"
"22";"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";3;4;0,000532395432146508;2;2;2;2;NA;NA;"recycling endosome membrane, integral component of membrane, Golgi apparatus, trans-Golgi network"
"23";"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;8;0,00109391888185726;3;3;4;4;0,00136724865970553;0,0013390910795727;"nucleus, Golgi apparatus, recycling endosome membrane, extracellular vesicular exosome, trans-Golgi network membrane, integral component of membrane, transport vesicle, intracellular membrane-bounded organelle"
"24";"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";2;4;0,000931095150390754;2;2;2;2;0,00117667177253432;0,00112891983389985;"integral component of membrane"
