"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5824.1.id.csv";"peptide.count.P5824.2.id.csv";"spectra.count.P5824.1.id.csv";"spectra.count.P5824.2.id.csv";"dNSAF.P5824.1.id.csv";"dNSAF.P5824.2.id.csv";"Go.Cc";"norm.sc"
"6";6;"O00161";"O00161-1";"O00161-1";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";3;5;0,00106605246484313;2;3;2;3;NA;NA;"extracellular vesicular exosome, specific granule, neuron projection, azurophil granule, cell junction, synapse, nucleus, plasma membrane";0,000625078134766846
"9";9;"O00232";"O00232-1,O00232-2";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";1;1;4,93283048425219e-05;1;NA;1;NA;NA;NA;"proteasome regulatory particle, proteasome accessory complex, extracellular vesicular exosome, nucleoplasm, cytosol";0,000125015626953369
"13";13;"O00571";"O00571-1,O00571-2,O15523";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";5;7;0,000185180047614467;4;3;4;3;0,000795144864470163;0,000584077037169683;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasm, nuclear speck, cytoplasmic stress granule, nucleus";0,000875109388673584
"14";14;"O00584";"O00584-1";"O00584-1";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";3;5;0,000878660430007421;2;3;2;3;NA;NA;"extracellular space, lysosomal lumen, lysosome, extracellular region, endoplasmic reticulum lumen";0,000625078134766846
"15";15;"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";2;2;8,06226057641218e-05;2;NA;2;NA;NA;NA;"cytoplasm, filopodium, membrane raft, integral component of plasma membrane, ruffle, cell body, plasma membrane, microvillus membrane, lamellipodium, slit diaphragm, apical plasma membrane, extracellular vesicular exosome";0,000250031253906738
"18";18;"O14828";"O14828-1";"O14828-1";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";4;8;0,00103717381017591;4;3;4;4;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane";0,00100012501562695
"19";19;"O14950";"O14950,P19105";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";4;5;0,000655793207235859;2;2;3;2;0,000983581943971838;0,000642217150407315;"stress fiber, cytosol, Z disc, myosin II complex, extracellular vesicular exosome, apical part of cell";0,000625078134766846
"23";23;"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;8;0,00109391888185726;3;3;4;4;0,00136724865970553;0,0013390910795727;"nucleus, Golgi apparatus, recycling endosome membrane, extracellular vesicular exosome, trans-Golgi network membrane, integral component of membrane, transport vesicle, intracellular membrane-bounded organelle";0,00100012501562695
"28";28;"O15400";"O15400-1,O15400-2";"O15400-1,O15400-2";"STX7_HUMAN";"Syntaxin-7";"STX7";2;4;0,000344731141887969;2;2;2;2;NA;NA;"early endosome membrane, perinuclear region of cytoplasm, lysosomal membrane, intracellular membrane-bounded organelle, SNARE complex, integral component of membrane, extracellular vesicular exosome";0,000500062507813477
"29";29;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";1;2;0,000193494253833892;NA;1;NA;2;NA;0,000473721467934858;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane";0,000250031253906738
"31";31;"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";6;11;0,00092844569264574;5;6;5;6;0,0010549362313394;0,00123985262245615;"extracellular vesicular exosome, cytosol";0,00137517189648706
"32";32;"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";4;5;0,000421230468318164;1;4;1;4;0,000210592139065131;0,000825020534043854;"cytoplasm, extracellular vesicular exosome, proteasome accessory complex, proteasome complex, nucleus, nucleoplasm, cytosol";0,000625078134766846
"36";36;"O43493";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5";"O43493-1,O43493-2,O43493-3,O43493-4,O43493-5";"TGON2_HUMAN";"Trans-Golgi network integral membrane protein 2";"TGOLN2";2;4;7,49790233606333e-05;2;2;2;2;NA;NA;"plasma membrane, Golgi apparatus, transport vesicle, nucleus, integral component of membrane, trans-Golgi network";0,000500062507813477
"37";37;"O43598";"O43598-1";"O43598-1";"RCL_HUMAN";"Deoxyribonucleoside 5'-monophosphate N-glycosidase";"RCL";1;1;0,000258548356415977;1;NA;1;NA;NA;NA;"cytoplasm, nucleus, extracellular vesicular exosome";0,000125015626953369
"40";40;"O43852";"O43852-1,O43852-3";"O43852-1,O43852-3";"CALU_HUMAN";"Calumenin";"CALU";9;18;0,00128535468618228;8;6;10;8;NA;NA;"extracellular region, melanosome, endoplasmic reticulum, Golgi apparatus, sarcoplasmic reticulum lumen";0,00225028128516064
"43";43;"O60568";"O60568";"O60568";"PLOD3_HUMAN";"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3";"PLOD3";3;3;0,000182875666733252;NA;3;NA;3;NA;0,000447724558109165;"endoplasmic reticulum membrane, endoplasmic reticulum, extracellular vesicular exosome, rough endoplasmic reticulum membrane";0,000375046880860108
"48";48;"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";2;3;0,00114374781397576;1;2;1;2;0,000953018663226951;0,00186678375076025;"lysosomal membrane, cytosol, vacuolar proton-transporting V-type ATPase complex, extracellular vesicular exosome, plasma membrane";0,000375046880860108
"52";52;"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";10;17;0,00164117175596236;9;8;9;8;0,00217190090203224;0,00189081959304471;"extracellular vesicular exosome, mitochondrion, mitochondrial matrix";0,00212526565820728
"66";66;"O95197";"O95197-1,O95197-2,O95197-3,O95197-4";"O95197-1,O95197-2,O95197-3,O95197-4";"RTN3_HUMAN";"Reticulon-3";"RTN3";1;2;2,17962277211143e-05;1;NA;2;NA;NA;NA;"endoplasmic reticulum, integral component of membrane, extracellular space, Golgi membrane, endoplasmic reticulum membrane";0,000250031253906738
"70";70;"O95631";"O95631";"O95631";"NET1_HUMAN";"Netrin-1";"NTN1";1;1;7,44824735370529e-05;NA;1;NA;1;NA;0,000182351392872276;"cytoplasm, basement membrane, extracellular region";0,000125015626953369
"71";71;"O95721";"O95721";"O95721";"SNP29_HUMAN";"Synaptosomal-associated protein 29";"SNAP29";3;4;0,000697479287075658;3;1;3;1;0,00130763025884628;0,000426900160057576;"SNARE complex, synapse, cell junction, cytoplasm, plasma membrane, neuron projection, centrosome";0,000500062507813477
"72";72;"O95747";"O95747";"O95747";"OXSR1_HUMAN";"Serine/threonine-protein kinase OSR1";"OXSR1";2;3;0,000256095335956622;1;2;1;2;0,000213389378103947;0,000417989530530757;"extracellular vesicular exosome, cytoplasm";0,000375046880860108
"75";75;"O95972";"O95972";"O95972";"BMP15_HUMAN";"Bone morphogenetic protein 15";"BMP15";1;1;0,000114763811266275;1;NA;1;NA;0,000286878066991786;NA;"extracellular space";0,000125015626953369
"76";76;"P00338";"P00338-1,P00338-3,P00338-4";"P00338-1,P00338-3,P00338-4";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";7;18;0,00086845911504786;6;7;9;9;NA;NA;"cilium, extracellular vesicular exosome, mitochondrion, cytosol";0,00225028128516064
"79";79;"P00505";"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";15;38;0,00397563193633125;14;15;17;21;0,00444594288007736;0,00537894201672545;"mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, mitochondrial matrix, mitochondrion";0,00475059382422803
"80";80;"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";10;23;0,00330842693006152;10;9;13;10;0,00458454541590711;0,00360170834842559;"extracellular vesicular exosome, cytosol";0,00287535941992749
