"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5824-1.id.csv";"peptide.count.P5824-2.id.csv";"spectra.count.P5824-1.id.csv";"spectra.count.P5824-2.id.csv";"dNSAF.P5824-1.id.csv";"dNSAF.P5824-2.id.csv"
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";54;337;0,0264585663586737;52;51;160;177;0,0314013828302353;0,0340223782010284
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";63;208;0,012091845769895;59;60;102;106;0,0148898781430203;0,0150196905937118
"P78527-1,P78527-2";"P78527-1,P78527-2";"P78527-[1,2]";"PRKDC_HUMAN";"DNA-dependent protein kinase catalytic subunit";"PRKDC";46;84;0,000457720782143401;41;37;45;39;NA;NA
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";39;149;0,0107398748591019;36;38;69;80;0,0124602988084454;0,0140886469758763
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";41;140;0,0103760098225588;40;37;70;70;0,012968590046548;0,0127015105282369
"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";37;111;0,00988832268478847;32;35;51;60;0,0113569630005936;0,013085969262755
"P13667";"P13667";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";32;75;0,00523109465306744;30;29;40;35;0,00697402804718017;0,00597660224080606
"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";30;79;0,00699607422695672;28;28;40;39;0,00885481907565198;0,00845564844586482
"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";28;107;0,011543533092932;26;26;53;54;0,0142929945319457;0,0142627650597653
"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";27;79;0,00600338801907773;27;26;40;39;0,00759839204464731;0,00725586049070832
"P42704";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";26;52;0,0016781531770816;20;25;25;27;0,00201678985403121;0,00213327583569661
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";25;88;0,00748372860763977;21;21;44;44;0,0093536349706509;0,00916100305666087
"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";25;96;0,00780974999199363;24;23;40;56;0,00813426417799495;0,011153442156441
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";25;72;0,0052316824165116;23;24;36;36;0,00649827171972406;0,00644399967126396
"Q99798";"Q99798";"Q99798";"ACON_HUMAN";"Aconitate hydratase, mitochondrial";"ACO2";23;46;0,0026531039035301;21;19;23;23;0,00331601622051019;0,00324772506382263
"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";22;54;0,00718733833397786;21;21;27;27;0,00898318775455936;0,00879818495550613
