"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5745.3.id.csv";"peptide.count.P5745.4.id.csv";"spectra.count.P5745.3.id.csv";"spectra.count.P5745.4.id.csv";"dNSAF.P5745.3.id.csv";"dNSAF.P5745.4.id.csv";"Go.Cc"
"1";"A5A3E0";"A5A3E0,Q6S8J3-1";"A5A3E0,Q6S8J3-1";"POTEE_HUMAN, POTEF_HUMAN";"POTE ankyrin domain family member E, POTE ankyrin domain family member F";"POTEE, POTEF";1;1;0,000171429107937489;1;0;1;0;0,000709872042459204;0;"blood microparticle, cell cortex"
"2";"O00148";"O00148,Q13838-1,Q13838-2";"O00148,Q13838-1,Q13838-2";"DX39A_HUMAN, DX39B_HUMAN";"ATP-dependent RNA helicase DDX39A, Spliceosome RNA helicase DDX39B";"DDX39A, DDX39B";2;2;0,000303015074035077;NA;2;NA;2;NA;0,00190699262130464;"nucleus, cytoplasm"
"3";"O00571";"O00571-1,O00571-2,O15523";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";2;2;0,000244939730334554;NA;2;NA;2;NA;0,00154220804791114;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck"
"4";"O43169";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";1;2;0,00266279684922605;1;1;1;1;0,00295657236446963;0,00278865016882562;"mitochondrial outer membrane, integral component of membrane"
"5";"O43390";"O43390-1,O43390-2";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";1;2;0,000511806661383628;1;1;1;1;NA;NA;"nucleoplasm, cytoplasm, catalytic step 2 spliceosome"
"6";"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";1;1;0,000130005464147607;0;1;0;1;NA;NA;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum"
"7";"O95678";"O95678";"O95678";"K2C75_HUMAN";"Keratin, type II cytoskeletal 75";"KRT75";0;0;0;0;0;0;0;NA;0;"keratin filament"
"8";"P00338";"P00338-1,P00338-3,P00338-4";"P00338-1,P00338-3,P00338-4";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";2;4;0,000936791180691575;2;2;2;2;NA;NA;"extracellular vesicular exosome, cilium, mitochondrion, cytosol"
"9";"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";9;12;0,00559378906456121;5;6;5;7;0,00517577416322022;0,00683453350728965;"extracellular vesicular exosome, cytosol"
"10";"P01892";"P01892,P10316";"P01892,P10316";"1A02_HUMAN, 1A69_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";0;0;0;0;0;0;0;NA;0;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex"
"11";"P02533";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";8;16;0,0123580483128376;8;6;9;7;0,013811308923161;0,0130499442179045;"keratin filament, cell periphery, cytosol, extracellular vesicular exosome, nucleus"
"12";"P02538";"P02538,P48668";"P02538,P48668";"K2C6A_HUMAN, K2C6C_HUMAN";"Keratin, type II cytoskeletal 6A, Keratin, type II cytoskeletal 6C";"KRT6A, KRT6C";1;1;0,000779681721161497;0;1;0;1;NA;0,00130740986664198;"extracellular vesicular exosome, keratin filament, intermediate filament"
"13";"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";3;4;0,0014754016697799;2;2;2;2;0,00163817671807426;0,00154513443889389;"endoplasmic reticulum, peroxisomal matrix, Golgi apparatus, lysosome, cytosol, peroxisomal membrane, mitochondrial intermembrane space, plasma membrane"
"14";"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";4;6;0,00320413467022256;3;3;3;3;0,00355763377922445;0,00335557355479566;"extracellular space, extracellular vesicular exosome, I band, actin cytoskeleton, cytosol, platelet alpha granule lumen"
"15";"P04259";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;0;0;0;0;0;0;0;"keratin filament, extracellular vesicular exosome"
"16";"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";41;158;0,0550383154390339;37;36;78;80;0,060261146714702;0,0584443391849929;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle"
"17";"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";7;14;0,00812351755196724;6;6;7;7;0,0090197521089193;0,00850746409713368;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane"
"18";"P04439";"P04439,P05534,P13746-1,P13746-2,P16188,P30447";"P04439,P05534,P13746-1,P13746-2,P16188,P30447";"1A03_HUMAN, 1A11_HUMAN, 1A23_HUMAN, 1A24_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";1;1;0,00032545294823874;0;1;0;1;NA;0,000697162542206405;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane"
"19";"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";5;8;0,00256190009876115;4;4;4;4;0,00284454408706798;0,0026829846764319;"integral component of membrane, oligosaccharyltransferase complex, melanosome, rough endoplasmic reticulum"
"20";"P05109";"P05109";"P05109";"S10A8_HUMAN";"Protein S100-A8";"S100A8";1;1;0,00209015236552153;NA;1;NA;1;NA;0,00437788091019936;"extracellular space, cytoskeleton, plasma membrane, cytosol, extracellular vesicular exosome"
"21";"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";8;12;0,00782755046953699;5;7;5;7;0,00724261015457326;0,00956375997496572;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane"
"22";"P05387";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";3;5;0,00845148565189139;3;2;3;2;0,011260684309893;0,00708074651562679;"extracellular vesicular exosome, cytosolic large ribosomal subunit"
"23";"P05388";"P05388,Q8NHW5";"P05388,Q8NHW5";"RLA0_HUMAN, RLA0L_HUMAN";"60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like";"RPLP0, RPLP0P6";2;2;0,000613199274427451;NA;2;NA;2;NA;0,00128436253832347;"extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit"
"24";"P05455";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";1;1;0,00047643178919976;1;NA;1;NA;0,00105798913042296;NA;"ribonucleoprotein complex, nucleus"
"25";"P05787";"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";0;0;0;0;0;0;0;0;0;"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex"
"26";"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";9;17;0,00624675026444146;8;8;9;8;0,00734392454993024;0,00615717088315373;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane"
"27";"P06702";"P06702";"P06702";"S10A9_HUMAN";"Protein S100-A9";"S100A9";2;2;0,00341024859637723;NA;2;NA;2;NA;0,00714285832716738;"extracellular vesicular exosome, plasma membrane, nucleus, cytoskeleton, cytosol, extracellular space"
"28";"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";8;11;0,00492678771872931;6;5;6;5;NA;NA;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"29";"P06748";"P06748-1,P06748-2";"P06748-1,P06748-2";"NPM_HUMAN";"Nucleophosmin";"NPM1";4;6;0,0019835119387092;4;2;4;2;NA;NA;"spindle pole centrosome, ribonucleoprotein complex, cytosol, nucleolus, nucleoplasm"
"30";"P06753";"P06753-2,P06753-3";"P06753-2,P06753-3";"TPM3_HUMAN";"Tropomyosin alpha-3 chain";"TPM3";3;3;0,00102667695419103;NA;3;NA;3;NA;NA;"cytosol, stress fiber, extracellular vesicular exosome, muscle thin filament tropomyosin"
"31";"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";4;6;0,00419031743698567;2;4;2;4;0,00323098476955514;0,0056886236976842;"extracellular vesicular exosome, cytosol, mitochondrion"
"32";"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";1;2;0,000765292007848433;1;1;1;1;0,000849723553568044;0,000801462450095552;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome"
"33";"P07355";"P07355-1,P07355-2";"P07355-1,P07355-2";"ANXA2_HUMAN";"Annexin A2";"ANXA2";2;2;0,000573404631249268;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cell surface, myelin sheath adaxonal region, melanosome, midbody, lipid particle, extracellular space, Schmidt-Lanterman incisure, protein complex, extrinsic component of plasma membrane, macropinosome, basement membrane, ruffle, perinuclear region of cytoplasm, sarcolemma, early endosome, cell cortex"
"34";"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;3;0,00722373604705581;1;2;1;2;0,00486103113978115;0,0110038628283389;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"35";"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";4;7;0,00172608894119913;4;3;4;3;NA;NA;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"36";"P07910";"P07910-1,P07910-2";"P07910-1,P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";9;13;0,00412907550639792;8;4;9;4;NA;NA;"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome"
"37";"P08107";"P08107-1,P08107-2";"P08107-1,P08107-2";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";0;0;NA;0;0;0;0;NA;NA;"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck"
"38";"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";3;3;0,00023140972618274;NA;3;NA;3;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane"
"39";"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";8;14;0,00747092654310841;6;7;6;8;0,00712205761789694;0,00892946980227001;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"40";"P08670";"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";2;2;0,000848406939667572;2;NA;2;NA;0,00190710487029031;NA;"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge"
