"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5745.3.id.csv";"peptide.count.P5745.4.id.csv";"spectra.count.P5745.3.id.csv";"spectra.count.P5745.4.id.csv";"dNSAF.P5745.3.id.csv";"dNSAF.P5745.4.id.csv";"Go.Cc"
"10";10;"P01892";"P01892,P10316";"P01892,P10316";"1A02_HUMAN, 1A69_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";0;0;0;0;0;0;0;NA;0;"cell surface, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi membrane, phagocytic vesicle membrane, MHC class I protein complex"
"13";13;"P04040";"P04040";"P04040";"CATA_HUMAN";"Catalase";"CAT";3;4;0,0014754016697799;2;2;2;2;0,00163817671807426;0,00154513443889389;"endoplasmic reticulum, peroxisomal matrix, Golgi apparatus, lysosome, cytosol, peroxisomal membrane, mitochondrial intermembrane space, plasma membrane"
"16";16;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";41;158;0,0550383154390339;37;36;78;80;0,060261146714702;0,0584443391849929;"extracellular vesicular exosome, keratin filament, plasma membrane, cytoskeleton, membrane, blood microparticle"
"17";17;"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";7;14;0,00812351755196724;6;6;7;7;0,0090197521089193;0,00850746409713368;"perinuclear region of cytoplasm, extracellular vesicular exosome, lipid particle, nucleus, GAIT complex, cytosol, ribonucleoprotein complex, microtubule cytoskeleton, plasma membrane"
"18";18;"P04439";"P04439,P05534,P13746-1,P13746-2,P16188,P30447";"P04439,P05534,P13746-1,P13746-2,P16188,P30447";"1A03_HUMAN, 1A11_HUMAN, 1A23_HUMAN, 1A24_HUMAN, 1A30_HUMAN";"HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";1;1;0,00032545294823874;0;1;0;1;NA;0,000697162542206405;"MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, Golgi membrane"
"20";20;"P05109";"P05109";"P05109";"S10A8_HUMAN";"Protein S100-A8";"S100A8";1;1;0,00209015236552153;NA;1;NA;1;NA;0,00437788091019936;"extracellular space, cytoskeleton, plasma membrane, cytosol, extracellular vesicular exosome"
"21";21;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";8;12;0,00782755046953699;5;7;5;7;0,00724261015457326;0,00956375997496572;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane"
"26";26;"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";9;17;0,00624675026444146;8;8;9;8;0,00734392454993024;0,00615717088315373;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane"
"27";27;"P06702";"P06702";"P06702";"S10A9_HUMAN";"Protein S100-A9";"S100A9";2;2;0,00341024859637723;NA;2;NA;2;NA;0,00714285832716738;"extracellular vesicular exosome, plasma membrane, nucleus, cytoskeleton, cytosol, extracellular space"
"28";28;"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";8;11;0,00492678771872931;6;5;6;5;NA;NA;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"32";32;"P07237";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";1;2;0,000765292007848433;1;1;1;1;0,000849723553568044;0,000801462450095552;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome"
"33";33;"P07355";"P07355-1,P07355-2";"P07355-1,P07355-2";"ANXA2_HUMAN";"Annexin A2";"ANXA2";2;2;0,000573404631249268;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cell surface, myelin sheath adaxonal region, melanosome, midbody, lipid particle, extracellular space, Schmidt-Lanterman incisure, protein complex, extrinsic component of plasma membrane, macropinosome, basement membrane, ruffle, perinuclear region of cytoplasm, sarcolemma, early endosome, cell cortex"
"34";34;"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";2;3;0,00722373604705581;1;2;1;2;0,00486103113978115;0,0110038628283389;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"35";35;"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";4;7;0,00172608894119913;4;3;4;3;NA;NA;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"38";38;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";3;3;0,00023140972618274;NA;3;NA;3;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane"
"39";39;"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";8;14;0,00747092654310841;6;7;6;8;0,00712205761789694;0,00892946980227001;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"43";43;"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";1;3;0,00197678816942544;NA;1;NA;3;NA;0,00414043652184956;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome"
"44";44;"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";4;7;0,00805481972911763;4;3;4;3;0,00917814357927052;0,00852159609729503;"nucleoplasm, condensed chromosome, cell surface, extracellular space"
