"";"X.1";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5832.1.id.csv";"peptide.count.P5832.2.id.csv";"spectra.count.P5832.1.id.csv";"spectra.count.P5832.2.id.csv";"dNSAF.P5832.1.id.csv";"dNSAF.P5832.2.id.csv";"Go.Cc";"norm.sc"
"3";3;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;3;0,000156609282948957;3;NA;3;NA;NA;NA;"plasma membrane, myosin complex, extracellular vesicular exosome";0,000456065673456978
"13";13;"O00560";"O00560-1,O00560-2,O00560-3";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";1;1;5,9443791961983e-05;NA;1;NA;1;NA;NA;"extracellular vesicular exosome, endoplasmic reticulum membrane, melanosome, plasma membrane, blood microparticle, membrane, cytoskeleton, cytoplasm, interleukin-5 receptor complex, cytosol, focal adhesion, adherens junction, nucleus";0,000152021891152326
"16";16;"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";4;7;0,000333332661378217;3;4;3;4;NA;NA;"cytoplasm, filopodium, membrane raft, integral component of plasma membrane, ruffle, cell body, plasma membrane, microvillus membrane, lamellipodium, slit diaphragm, apical plasma membrane, extracellular vesicular exosome";0,00106415323806628
"17";17;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";9;20;0,0014209291447597;7;8;10;10;0,00167252690612608;0,00183210307163733;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane";0,00304043782304652
"24";24;"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";18;26;0,000751747279850018;15;11;15;11;0,00102098758904976;0,000820160178097493;"extracellular vesicular exosome, intracellular, integral component of plasma membrane";0,00395256916996047
"28";28;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";4;6;0,00106285500028026;4;1;4;2;0,00166806683437642;0,000913608731723147;"plasma membrane, cell leading edge, cytoplasm, synapse, extracellular vesicular exosome, Golgi apparatus, cytosol, endosome, Arp2/3 protein complex, neuron projection, focal adhesion, actin cytoskeleton";0,000912131346913956
"29";29;"O15162";"O15162";"O15162";"PLS1_HUMAN";"Phospholipid scramblase 1";"PLSCR1";1;1;0,000167115566081801;NA;1;NA;1;NA;0,000430947514963749;"integral component of plasma membrane, Golgi apparatus, extracellular matrix, membrane raft, plasma membrane, nucleolus, cytosol, extracellular vesicular exosome, nucleus";0,000152021891152326
"37";37;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;13;0,00148571129071434;4;5;6;7;0,00161425822681589;0,00206298745872969;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane";0,00197628458498024
"59";59;"O75323";"O75323-1";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";2;3;0,000557441433713422;1;2;1;2;NA;NA;"integral component of plasma membrane, mitochondrion, membrane";0,000456065673456978
"60";60;"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";1;1;0,000450362288254346;1;NA;1;NA;0,00106021197100196;NA;"lysosomal membrane, cytosol, vacuolar proton-transporting V-type ATPase complex, extracellular vesicular exosome, plasma membrane";0,000152021891152326
