"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5832.1.id.csv";"peptide.count.P5832.2.id.csv";"spectra.count.P5832.1.id.csv";"spectra.count.P5832.2.id.csv";"dNSAF.P5832.1.id.csv";"dNSAF.P5832.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A6NKZ8";"A6NKZ8";"A6NKZ8";"YI016_HUMAN";"Putative tubulin beta chain-like protein ENSP00000290377";"";1;2;0,000474788958853847;1;1;1;1;0,000504455695879964;0,000670266262632909;"cytoplasm, microtubule";0,000304043782304652
"5";5;"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";3;4;0,00139390819708886;2;2;2;2;0,00175791586760981;0,00171167912266632;"nucleus, cytoplasm";0,000608087564609304
"9";9;"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";3;4;0,000595436974946923;2;2;2;2;0,000700868417805216;0,000767738430019451;"eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol";0,000608087564609304
"11";11;"O00422";"O00422";"O00422";"SAP18_HUMAN";"Histone deacetylase complex subunit SAP18";"SAP18";1;1;0,000347338235385705;NA;1;NA;1;NA;0,000895694835022693;"ASAP complex, cytoplasm, nucleus, histone deacetylase complex, nuclear speck";0,000152021891152326
"14";14;"O00567";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";2;3;0,000268397727343499;1;2;1;2;0,000210614499289951;0,000461418551375327;"box C/D snoRNP complex, nucleolus, pre-snoRNP complex, cytoplasm, small nucleolar ribonucleoprotein complex";0,000456065673456978
"22";22;"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";1;1;6,06069778070975e-05;1;0;1;0;NA;NA;"nucleus, spliceosomal complex, cytoplasm";0,000152021891152326
"33";33;"O15355";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";7;14;0,00136263461574392;5;7;6;8;0,00137478035800254;0,00200793127851241;"nucleus, cytoplasm";0,00212830647613256
"34";34;"O15371";"O15371";"O15371";"EIF3D_HUMAN";"Eukaryotic translation initiation factor 3 subunit D";"EIF3D";5;6;0,000581854927160725;4;2;4;2;0,000913175274293658;0,000500150765541869;"eukaryotic translation initiation factor 3 complex, cytosol, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex";0,000912131346913956
"36";36;"O15382";"O15382-1,O15382-2";"O15382-1,O15382-2";"BCAT2_HUMAN";"Branched-chain-amino-acid aminotransferase, mitochondrial";"BCAT2";1;1;6,77841199158327e-05;1;NA;1;NA;NA;NA;"mitochondrial matrix, mitochondrion";0,000152021891152326
"39";39;"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";2;2;0,000133692452865441;2;NA;2;NA;0,000314729591391776;NA;"U12-type spliceosomal complex, nucleolus, nucleus";0,000304043782304652
"42";42;"O43196";"O43196-1,O43196-2,O43196-3,O43196-4";"O43196-1,O43196-2,O43196-3,O43196-4";"MSH5_HUMAN";"MutS protein homolog 5";"MSH5";1;2;3,18601618789046e-05;1;1;1;1;NA;NA;"synaptonemal complex";0,000304043782304652
"44";44;"O43290";"O43290-1";"O43290-1";"SNUT1_HUMAN";"U4/U6.U5 tri-snRNP-associated protein 1";"SART1";1;1;6,64284375175161e-05;1;NA;1;NA;NA;NA;"Cajal body, nucleus, Golgi apparatus, cytoplasm, cytosol, catalytic step 2 spliceosome, nucleoplasm";0,000152021891152326
"45";45;"O43390";"O43390-1";"O43390-1";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";12;19;0,00186745994731937;10;7;11;8;NA;NA;"catalytic step 2 spliceosome, nucleoplasm, ribonucleoprotein complex, spliceosomal complex, nucleus, cytoplasm";0,00288841593189419
"46";46;"O43396";"O43396";"O43396";"TXNL1_HUMAN";"Thioredoxin-like protein 1";"TXNL1";1;2;0,000367769896290746;1;1;1;1;0,000432889316879692;0,000474191383247308;"cytoplasm, proteasome complex, nucleus";0,000304043782304652
"47";47;"O43670";"O43670-1,O43670-2";"O43670-1,O43670-2";"ZN207_HUMAN";"Zinc finger protein 207";"ZNF207";2;3;0,000166765951926819;2;1;2;1;NA;NA;"nucleus";0,000456065673456978
"49";49;"O43684";"O43684-1,O43684-2";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";2;4;0,00032404115862203;2;2;2;2;NA;NA;"kinetochore, nucleus, condensed chromosome kinetochore, cytosol";0,000608087564609304
"52";52;"O43809";"O43809";"O43809";"CPSF5_HUMAN";"Cleavage and polyadenylation specificity factor subunit 5";"NUDT21";2;2;0,00046821806179747;NA;2;NA;2;NA;0,00120741242077949;"nucleoplasm, nucleus, centrosome, mRNA cleavage factor complex, paraspeckles";0,000304043782304652
