"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836-1.id.csv";"peptide.count.P5836-2.id.csv";"spectra.count.P5836-1.id.csv";"spectra.count.P5836-2.id.csv";"dNSAF.P5836-1.id.csv";"dNSAF.P5836-2.id.csv";"Go.Cc"
"1";"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;4;1,54963443474392e-05;1;1;2;2;1,53859368455565e-05;1,56191354714042e-05;"integral component of plasma membrane, membrane, extrinsic component of cytoplasmic side of plasma membrane, organelle membrane contact site, intrinsic component of endoplasmic reticulum membrane"
"2";"A6NHL2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;2;0,000106667661763763;1;1;1;1;8,93596065812907e-05;0,000141110659170603;"microtubule, cytoplasm"
"3";"A6NIZ1";"A6NIZ1,P61224";"RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1B";5;8;0,00038782970499977;5;3;5;3;0,000481333146561058;0,000293177114860664;"cytosol, plasma membrane"
"4";"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";2;5;0,000586847579933863;2;2;2;3;0,00046613315245913;0,000709797225452133;"spliceosomal complex"
"5";"B0I1T2";"B0I1T2-1,B0I1T2-3,B0I1T2-4";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;7;4,08910167026608e-05;2;2;4;3;4,63996327267766e-05;3,53271703564912e-05;"plasma membrane, myosin complex, extracellular vesicular exosome, membrane"
"6";"B4DU55";"B4DU55";"ZN879_HUMAN";"Zinc finger protein 879";"ZNF879";1;1;3,16876846003365e-05;NA;1;NA;1;NA;6,38775478204406e-05;"nucleus"
"7";"O00115";"O00115";"DNS2A_HUMAN";"Deoxyribonuclease-2-alpha";"DNASE2";2;3;0,000148668053583245;2;1;2;1;0,000196811775482744;9,98973872858558e-05;"extracellular vesicular exosome, intracellular, lysosome"
"8";"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;1,26346787747801e-05;2;NA;2;NA;2,50893198207464e-05;NA;"kinesin complex, cytosol, spindle pole, membrane, centrosome, microtubule"
"9";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";5;9;0,000689374112634252;4;5;4;5;0,000587137993513644;0,000803943206175292;"cytoplasm, membrane, nucleus"
"10";"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";12;18;0,000976057737810972;11;7;11;7;0,00118445992539767;0,000765171477083151;"transcription factor complex, cytoskeleton, cytoplasm"
"11";"O00154";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";6;14;0,000219089763175309;6;6;7;7;0,000217528804480927;0,000220825803473997;"nucleus, mitochondrion, extracellular vesicular exosome, cytoplasm, cytosol, cell body, neuron projection"
"12";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";3;6;0,000324366662363444;3;3;3;3;0,000322055632608126;0,000326936903844619;"cytosol, cytoplasm, membrane, nucleus"
"13";"O00203";"O00203-1,Q13367-1";"AP3B1_HUMAN, AP3B2_HUMAN";"AP-3 complex subunit beta-1, AP-3 complex subunit beta-2";"AP3B1, AP3B2";1;1;8,19860589613485e-06;NA;1;NA;1;NA;1,652714127891e-05;"Golgi apparatus, lysosomal membrane, membrane, AP-3 adaptor complex, clathrin-coated vesicle membrane"
"14";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";3;6;0,000509719040856841;2;3;2;4;0,000337391615113275;0,00068501065567444;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial inner membrane"
"15";"O00231";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";12;23;0,000486165672855162;9;11;11;12;0,000461714828739138;0,000511323119756987;"cytosol, extracellular vesicular exosome, proteasome complex, proteasome accessory complex, membrane, nucleoplasm, nucleus"
"16";"O00232";"O00232-1";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";9;15;0,000586847579933863;5;8;6;9;0,00046613315245913;0,000709797225452133;"proteasome accessory complex, membrane, nucleoplasm, cytosol, extracellular vesicular exosome, proteasome regulatory particle"
"17";"O00233";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";1;2;8,00007463228226e-05;1;1;1;1;7,94307614055917e-05;8,0634662383202e-05;"cytosol, nucleus, nucleoplasm, proteasome regulatory particle"
"18";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";11;30;0,00235535958147729;9;11;14;16;0,0021951454460482;0,00252023284107055;"brush border, blood microparticle, plasma membrane, cytoplasm, chloride channel complex, nuclear envelope, mitochondrion, vesicle, nucleus, extracellular vesicular exosome, perinuclear region of cytoplasm, extracellular space, nuclear membrane, membrane"
"19";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";9;21;0,00104942155470526;7;9;10;11;0,000992328279744927;0,00110810547241453;"eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex, membrane, cytosol"
"20";"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";15;29;0,000235808945519459;12;14;14;15;0,000226055457710353;0,000245873241268743;"cytoplasm, membrane, Golgi apparatus, nuclear membrane, intracellular membrane-bounded organelle, nucleus, nuclear pore"
"21";"O00418";"O00418";"EF2K_HUMAN";"Eukaryotic elongation factor 2 kinase";"EEF2K";1;2;4,92142522206605e-05;1;1;1;1;4,88636132233019e-05;4,96042198936663e-05;"cytosol, cytoplasm"
"22";"O00425";"O00425-1";"IF2B3_HUMAN";"Insulin-like growth factor 2 mRNA-binding protein 3";"IGF2BP3";1;2;8,62736891260283e-05;1;1;1;1;8,15800105627954e-05;9,31685477277411e-05;"nucleus, cytoplasm, cytosol"
"23";"O00429";"O00429-1,O00429-3,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";7;11;8,8877640729114e-05;6;4;7;4;0,000112311067530914;6,51504699690364e-05;"synaptic vesicle membrane, mitochondrion, membrane, microtubule, cytosol, cytoplasm, cell junction, mitochondrial outer membrane, protein complex, Golgi apparatus, coated pit, perinuclear region of cytoplasm, peroxisome, intracellular membrane-bounded organelle"
"24";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";6;12;0,000690587087612494;4;6;5;7;0,000571389025595063;0,000812069083743086;"proteasome complex, proteasome accessory complex, extracellular vesicular exosome, cytosol, nucleoplasm, nucleus, proteasome regulatory particle, lid subcomplex"
"25";"O00507";"O00507-1,O00507-2";"USP9Y_HUMAN";"Probable ubiquitin carboxyl-terminal hydrolase FAF-Y";"USP9Y";3;3;1,04736789217159e-05;NA;3;NA;3;NA;2,11133421269519e-05;"cytoplasm"
"26";"O00541";"O00541-1,O00541-2";"PESC_HUMAN";"Pescadillo homolog";"PES1";1;1;1,51702095493107e-05;NA;1;NA;1;NA;3,05808328426089e-05;"PeBoW complex, cytoplasm, nucleolus, membrane, nucleoplasm, condensed chromosome, preribosome, large subunit precursor"
"27";"O00571";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";15;24;0,000331179153324887;13;11;13;11;0,00035592883446398;0,000306256416158073;"cytoplasm, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasmic stress granule, nuclear speck"
"28";"O00584";"O00584-1";"RNT2_HUMAN";"Ribonuclease T2";"RNASET2";3;5;0,000348440750585731;2;3;2;3;0,000276766559272609;0,000421442102612204;"extracellular vesicular exosome, lysosomal lumen, extracellular space, lysosome, endoplasmic reticulum lumen, extracellular region"
"29";"O00625";"O00625";"PIR_HUMAN";"Pirin";"PIR";5;7;0,000430624706930779;3;4;3;4;0,000366477099174764;0,000496042198936663;"cytoplasm, nucleus"
"30";"O00629";"O00629";"IMA3_HUMAN";"Importin subunit alpha-3";"KPNA4";4;8;0,00027393729642978;3;3;4;4;0,00027198556304717;0,00027610794182655;"extracellular vesicular exosome, cytosol, nucleoplasm"
"31";"O00764";"O00764-1,O00764-2";"PDXK_HUMAN";"Pyridoxal kinase";"PDXK";2;3;8,57700309134107e-05;1;2;1;2;5,67726275430992e-05;0,000115266216099064;"cytosol, extracellular vesicular exosome, cytoplasm, nucleus"
"32";"O14561";"O14561";"ACPM_HUMAN";"Acyl carrier protein, mitochondrial";"NDUFAB1";3;6;0,000686160247307286;2;3;2;4;0,000454181020344794;0,000922129728792515;"mitochondrial matrix, mitochondrial membrane, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"33";"O14579";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";4;8;0,000231690473116746;4;2;6;2;0,00034505960636585;0,000116763179944507;"nucleus, Golgi apparatus, COPI vesicle coat, cytosol"
