"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"1";1;"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";1;8;1,54383811777261e-05;1;1;1;1;2;2;2;2;NA;NA;NA;NA;"integral component of plasma membrane"
"5";5;"A6NIZ1";"A6NIZ1,P61224";"A6NIZ1,P61224";"RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1B";5;13;0,000313932978670032;5;3;3;2;5;3;3;2;0,000636951086773292;0,000386278488225105;0,000389768892999117;0,000254489792716943;"plasma membrane, cytosol"
"8";8;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";4;12;0,000104755027490317;2;2;2;2;4;3;2;3;NA;NA;NA;NA;"myosin complex, extracellular vesicular exosome, plasma membrane"
"22";22;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";11;58;0,0022066078827416;9;11;10;11;14;16;14;14;0,00290484934909521;0,00332055840131543;0,00277744029976687;0,00272018965161347;"chloride channel complex, nuclear envelope, blood microparticle, extracellular vesicular exosome, brush border, nuclear membrane, perinuclear region of cytoplasm, nucleus, extracellular space, cytoplasm, plasma membrane, mitochondrion"
"36";36;"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";1;1;7,96300910880698e-06;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;"cytoplasm, plasma membrane, extracellular vesicular exosome, apical plasma membrane, integral component of plasma membrane, ruffle, cell body, filopodium, slit diaphragm, membrane raft, lamellipodium, microvillus membrane"
"46";46;"O14641";"O14641,Q92997";"O14641,Q92997";"DVL2_HUMAN, DVL3_HUMAN";"Segment polarity protein dishevelled homolog DVL-2, Segment polarity protein dishevelled homolog DVL-3";"DVL2, DVL3";1;4;2,44813172601338e-05;1;1;1;1;1;1;1;1;3,22862258860291e-05;3,2633260713232e-05;3,29281342111283e-05;3,22493952203289e-05;"apical part of cell, nucleus, cytoplasm, clathrin-coated endocytic vesicle, clathrin-coated vesicle, plasma membrane, cell cortex, cytoplasmic vesicle, cytosol"
"50";50;"O14745";"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";3;7;0,000173762645692738;NA;NA;3;2;NA;NA;5;2;NA;NA;0,000667760487074837;0,000261598446144791;"membrane, filopodium, cell periphery, apical plasma membrane, microvillus, cytoplasm, membrane raft, sperm midpiece, intracellular membrane-bounded organelle, microvillus membrane, endomembrane system, plasma membrane, brush border membrane, centrosome, actin cytoskeleton, ruffle, extracellular vesicular exosome"
"65";65;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";12;54;0,00159960926977715;11;12;11;12;13;14;13;14;0,00203144933274895;0,0022112297459286;0,00207183820456419;0,00218521902012949;"focal adhesion, extracellular vesicular exosome, actin cytoskeleton, neuron projection, cytoplasm, cell leading edge, endosome, synapse, plasma membrane, Golgi apparatus, Arp2/3 protein complex, cytosol"
"70";70;"O15294";"O15294-1,O15294-2,O15294-3";"O15294-1,O15294-2,O15294-3";"OGT1_HUMAN";"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit";"OGT";2;6;1,69918129358099e-05;2;NA;2;NA;3;NA;3;NA;NA;NA;NA;NA;"microtubule organizing center, mitochondrion, histone acetyltransferase complex, MLL5-L complex, cytosol, plasma membrane, nucleoplasm, nucleus, cytoplasm"
"97";97;"O43491";"O43491-1,O43491-2";"O43491-1,O43491-2";"E41L2_HUMAN";"Band 4.1-like protein 2";"EPB41L2";4;9;7,51612979165602e-05;2;2;1;3;2;3;1;3;NA;NA;NA;NA;"spectrin, extracellular vesicular exosome, extrinsic component of membrane, plasma membrane"
"101";101;"O43665";"O43665-3";"O43665-3";"RGS10_HUMAN";"Regulator of G-protein signaling 10";"RGS10";2;7;0,00035957819166474;1;NA;2;2;2;NA;2;3;NA;NA;NA;NA;"dendritic spine, cytoplasm, nucleus, neuronal cell body, plasma membrane, axon terminus"
"112";112;"O43795";"O43795-1,O43795-2";"O43795-1,O43795-2";"MYO1B_HUMAN";"Unconventional myosin-Ib";"MYO1B";1;1;3,91140764323441e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"cell periphery, myosin complex, plasma membrane, filopodium, cytoplasm, extracellular vesicular exosome, brush border"
"114";114;"O43813";"O43813";"O43813";"LANC1_HUMAN";"LanC-like protein 1";"LANCL1";1;4;8,90899064203367e-05;1;1;1;NA;1;1;2;NA;0,000117492731795775;0,000118755625452664;0,00023965739786746;NA;"nucleus, integral component of plasma membrane, cytoplasm"
"139";139;"O60711";"O60711-1,O60711-2";"O60711-1,O60711-2";"LPXN_HUMAN";"Leupaxin";"LPXN";4;14;0,000161158101445596;4;4;3;3;4;4;3;3;NA;NA;NA;NA;"plasma membrane, podosome, perinuclear region of cytoplasm, focal adhesion, cell projection, cytoplasm, nucleus"
"148";148;"O75116";"O75116";"O75116";"ROCK2_HUMAN";"Rho-associated protein kinase 2";"ROCK2";2;2;1,28050694026348e-05;NA;NA;2;NA;NA;NA;2;NA;NA;NA;6,8892868695329e-05;NA;"cytosol, nucleus, spindle pole centrosome, centrosome, plasma membrane"
"149";149;"O75122";"O75122-1";"O75122-1";"CLAP2_HUMAN";"CLIP-associating protein 2";"CLASP2";1;4;2,74705352872599e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"condensed chromosome kinetochore, microtubule organizing center, microtubule, kinetochore microtubule, trans-Golgi network, ruffle membrane, Golgi apparatus, cytoplasm, cytoplasmic microtubule, cell cortex, plasma membrane, cytosol"
"154";154;"O75323";"O75323-1";"O75323-1";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";6;22;0,000740559847119049;6;5;5;5;6;6;5;5;NA;NA;NA;NA;"mitochondrion, membrane, integral component of plasma membrane"
"157";157;"O75348";"O75348";"O75348";"VATG1_HUMAN";"V-type proton ATPase subunit G 1";"ATP6V1G1";4;11;0,000828422879828089;3;1;4;2;3;1;5;2;0,00119185423694528;0,000401555038606889;0,00202591740993891;0,000793663082371484;"vacuolar proton-transporting V-type ATPase complex, lysosomal membrane, cytosol, extracellular vesicular exosome, plasma membrane"
"160";160;"O75369";"O75369-1,O75369-2,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";47;145;0,000129704857343008;36;32;28;36;40;35;30;40;NA;NA;NA;NA;"integral component of membrane, cell cortex, actin cytoskeleton, focal adhesion, extracellular vesicular exosome, plasma membrane, cytosol, cytoplasm, stress fiber, Z disc"
"166";166;"O75449";"O75449-1,O75449-2";"O75449-1,O75449-2";"KTNA1_HUMAN";"Katanin p60 ATPase-containing subunit A1";"KATNA1";1;4;3,61984446656969e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"axon, nucleus, microtubule, plasma membrane, midbody, spindle pole, neuronal cell body, lipid particle, cytoplasm, spindle, growth cone, centrosome"
"172";172;"O75534";"O75534-1,O75534-2";"O75534-1,O75534-2";"CSDE1_HUMAN";"Cold shock domain-containing protein E1";"CSDE1";7;19;0,00010579426387415;4;6;4;5;4;6;4;5;NA;NA;NA;NA;"CRD-mediated mRNA stability complex, cytoplasm, plasma membrane, Golgi apparatus"
"194";194;"O94804";"O94804";"O94804";"STK10_HUMAN";"Serine/threonine-protein kinase 10";"STK10";8;22;0,000233043308533966;5;4;3;6;7;4;4;7;0,000381381043278719;0,00024474945534924;0,000230496939477898;0,000380945981040135;"plasma membrane, cytoplasm, extracellular vesicular exosome"
"204";204;"O95232";"O95232-1";"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";6;14;0,000287995496101852;3;2;3;6;3;2;3;6;NA;NA;NA;NA;"plasma membrane, focal adhesion, nucleus, U1 snRNP, nuclear speck"
"215";215;"O95466";"O95466-1,O95466-2,O95466-3";"O95466-1,O95466-2,O95466-3";"FMNL_HUMAN";"Formin-like protein 1";"FMNL1";4;13;3,50082836819914e-05;3;2;3;3;4;2;4;3;NA;NA;NA;NA;"extracellular vesicular exosome, cytosol, phagocytic vesicle, plasma membrane, bleb, cell cortex"
"222";222;"O95782";"O95782-1,O95782-2";"O95782-1,O95782-2";"AP2A1_HUMAN";"AP-2 complex subunit alpha-1";"AP2A1";10;23;0,000104603130913438;4;4;6;7;4;4;7;8;NA;NA;NA;NA;"apical plasma membrane, basolateral plasma membrane, clathrin-coated endocytic vesicle membrane, cytosol, clathrin coat of trans-Golgi network vesicle, AP-2 adaptor complex, plasma membrane, endocytic vesicle membrane"
"229";229;"O96019";"O96019-1";"O96019-1";"ACL6A_HUMAN";"Actin-like protein 6A";"ACTL6A";7;21;0,000435014175930071;4;6;6;5;4;6;6;5;NA;NA;NA;NA;"npBAF complex, nucleoplasm, SWI/SNF complex, nucleus, Ino80 complex, plasma membrane, NuA4 histone acetyltransferase complex"
