"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc";"matched_mask"
"50";50;"O14745";"O14745";"O14745";"NHRF1_HUMAN";"Na(+)/H(+) exchange regulatory cofactor NHE-RF1";"SLC9A3R1";3;7;0,000173762645692738;NA;NA;3;2;NA;NA;5;2;NA;NA;0,000667760487074837;0,000261598446144791;"actin cytoskeleton, sperm midpiece, brush border membrane, extracellular vesicular exosome, endomembrane system, ruffle, centrosome, membrane raft, apical plasma membrane, cytoplasm, intracellular membrane-bounded organelle, filopodium, microvillus membrane";FALSE
"263";263;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;34;0,00200479807301234;4;4;5;5;8;10;10;6;0,00262190156524129;0,00318010030574583;0,00277126713427885;0,0019798964276341;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";FALSE
"305";305;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";6;12;4,23177055496599e-05;3;3;3;3;3;3;3;3;NA;NA;NA;NA;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";FALSE
"362";362;"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";4;10;0,000589646492062452;3;1;1;3;4;1;1;4;0,00131095078262064;0,000318010030574583;0,000277126713427885;0,00131993095175607;"integral component of membrane, mitochondrial inner membrane presequence translocase complex";FALSE
"797";797;"P53007";"P53007";"P53007";"TXTP_HUMAN";"Tricarboxylate transport protein, mitochondrial";"SLC25A1";2;7;0,000200022595363344;2;1;2;2;2;1;2;2;0,000301476527244465;0,000152358503394254;0,0003074704236306;0,000301132616462492;"mitochondrial inner membrane, integral component of membrane, extracellular vesicular exosome";FALSE
"998";998;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";5;22;0,000270038397292029;5;5;5;4;5;6;6;5;NA;NA;NA;NA;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane";FALSE
"1215";1215;"Q15758";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";8;14;0,000229970525537893;4;3;3;3;5;3;3;3;NA;NA;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane, Golgi apparatus, melanosome";FALSE
"1532";1532;"Q9BWU0";"Q9BWU0";"Q9BWU0";"NADAP_HUMAN";"Kanadaptin";"SLC4A1AP";1;1;1,11642188007897e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;5,88267862561778e-05;"cytoplasm, nucleus";FALSE
"1634";1634;"Q9NY26";"Q9NY26";"Q9NY26";"S39A1_HUMAN";"Zinc transporter ZIP1";"SLC39A1";1;1;2,74281424858907e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000144525067468881;"endoplasmic reticulum membrane, plasma membrane, integral component of membrane";FALSE
"867";867;"P61221";"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";11;49;0,000726960250594325;11;8;10;9;15;11;12;11;0,00117394657729168;0,000870147646263342;0,000957829399824206;0,000859912087577785;"mitochondrion";FALSE
"1359";1359;"Q8NE71";"Q8NE71-1,Q8NE71-2";"Q8NE71-1,Q8NE71-2";"ABCF1_HUMAN";"ATP-binding cassette sub-family F member 1";"ABCF1";10;26;0,000136718741006594;6;8;4;6;7;9;4;6;NA;NA;NA;NA;"nucleoplasm, nuclear envelope, ribosome, polysomal ribosome";FALSE
