"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"15";15;"O00170";"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";4;10;0,000269294489861472;3;3;3;1;3;3;3;1;0,000426178181695584;0,000430759041414663;0,000434651371586894;0,000141897338969447;"nucleus, membrane, cytoplasm, cytosol"
"17";17;"O00203";"O00203-1";"O00203-1";"AP3B1_HUMAN";"AP-3 complex subunit beta-1";"AP3B1";2;3;2,43694282415775e-05;NA;1;NA;2;NA;1;NA;2;NA;NA;NA;NA;"Golgi apparatus, AP-3 adaptor complex, clathrin-coated vesicle membrane, lysosomal membrane"
"18";18;"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";3;9;0,000380859349946939;2;3;1;2;2;4;1;2;0,000446472380823945;0,000902542753440246;0,000227674527974087;0,000445963065332548;"mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"24";24;"O00410";"O00410-1,O00410-3";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";22;63;0,000255179236290793;12;14;15;16;14;15;17;17;NA;NA;NA;NA;"nucleus, intracellular membrane-bounded organelle, Golgi apparatus, cytoplasm, nuclear pore, nuclear membrane"
"27";27;"O00429";"O00429-1,O00429-3,O00429-6";"O00429-1,O00429-3,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";9;23;9,25699808898811e-05;6;4;5;6;7;4;5;7;NA;NA;NA;NA;"cytosol, cell junction, microtubule, intracellular membrane-bounded organelle, peroxisome, synaptic vesicle membrane, perinuclear region of cytoplasm, mitochondrial outer membrane, Golgi apparatus, mitochondrion, coated pit, protein complex, cytoplasm"
"28";28;"O00461";"O00461";"O00461";"GOLI4_HUMAN";"Golgi integral membrane protein 4";"GOLIM4";4;4;5,1073092904762e-05;NA;NA;1;3;NA;NA;1;3;NA;NA;6,86949006818366e-05;0,000201836732154817;"Golgi lumen, Golgi apparatus, integral component of membrane, Golgi cisterna membrane, endocytic vesicle, endosome membrane, cis-Golgi network, nucleus"
"29";29;"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";2;2;0,000219425139887126;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,00115620053975105;"mitochondrial respiratory chain complex IV, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"39";39;"O00763";"O00763-1,O00763-2";"O00763-1,O00763-2";"ACACB_HUMAN";"Acetyl-CoA carboxylase 2";"ACACB";1;1;2,03367736698681e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"mitochondrial outer membrane, cytosol, endomembrane system"
"43";43;"O14561";"O14561";"O14561";"ACPM_HUMAN";"Acyl carrier protein, mitochondrial";"NDUFAB1";3;9;0,000512695278774726;2;3;2;1;2;4;2;1;0,000601020512647619;0,00121496139886187;0,000612969883007158;0,000300167447819984;"mitochondrial inner membrane, mitochondrial matrix, mitochondrial respiratory chain complex I, mitochondrial membrane"
"45";45;"O14617";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"O14617-1,O14617-2,O14617-3,O14617-4,O14617-5";"AP3D1_HUMAN";"AP-3 complex subunit delta-1";"AP3D1";2;2;3,08298982321894e-06;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"endosome membrane, Golgi apparatus, Golgi membrane, lysosomal membrane, terminal bouton, membrane coat"
