"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6287-1.id.csv";"peptide.count.P6287-2.id.csv";"spectra.count.P6287-1.id.csv";"spectra.count.P6287-2.id.csv";"dNSAF.P6287-1.id.csv";"dNSAF.P6287-2.id.csv";"Go.Cc"
"1";"A6NIZ1";"A6NIZ1,P61224-1,P61224-2,P61224-3,P61224-4,P62834";"RAP1A_HUMAN, RAP1B_HUMAN, RP1BL_HUMAN";"Ras-related protein Rap-1A, Ras-related protein Rap-1b, Ras-related protein Rap-1b-like protein";"RAP1A, RAP1B";1;1;6,04399418732911e-05;1;NA;1;NA;0,000454047123874575;NA;"plasma membrane, cytosol"
"2";"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";4;7;0,00307289388682101;4;3;4;3;0,00439708793646957;0,00391578811640607;"spliceosomal complex"
"3";"E9PAV3";"E9PAV3-1,E9PAV3-2,Q13765-1";"NACA_HUMAN, NACAM_HUMAN";"Nascent polypeptide-associated complex subunit alpha, Nascent polypeptide-associated complex subunit alpha, muscle-specific form";"NACA";2;4;6,10621787491314e-05;2;2;2;2;NA;NA;"cytoplasm, nucleus"
"4";"O00182";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";2;3;0,000281939559837099;2;1;2;1;NA;NA;"cytoplasm, extracellular region"
"5";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";5;5;0,00138435053585297;NA;5;NA;5;NA;0,00411618114587637;"nucleus, extracellular space, extracellular vesicular exosome, nuclear envelope, cytoplasm, perinuclear region of cytoplasm, nuclear membrane, plasma membrane, brush border, blood microparticle, mitochondrion, chloride channel complex"
"6";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";1;1;0,000186906711003119;1;NA;1;NA;0,000468037371388918;NA;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex"
"7";"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";6;9;0,000273715251801741;3;6;3;6;NA;NA;"cytoplasm, nuclear pore, intracellular membrane-bounded organelle, Golgi apparatus, nucleus, nuclear membrane"
"8";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";3;5;0,0041188701128465;3;2;3;2;0,00618849413280903;0,00489876373410472;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex IV"
"9";"O00571";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";3;4;0,00013452761255668;2;2;2;2;0,00050633133813892;0,000601211912821943;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasmic stress granule, nucleus, nuclear speck, cytoplasm"
"10";"O00592";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;5;0,000298950250125956;2;3;2;3;NA;NA;"lamellipodium, ruffle, plasma membrane, extracellular vesicular exosome, slit diaphragm, cell body, microvillus membrane, filopodium, integral component of plasma membrane, membrane raft, apical plasma membrane, cytoplasm"
"11";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";11;19;0,00169490403841464;10;6;12;7;0,00268057767250017;0,00185668384842071;"extracellular vesicular exosome, tetraspanin-enriched microdomain, Golgi-associated vesicle, postsynaptic density, plasma membrane, cytoplasm, nucleus, cell surface, integral component of membrane, perinuclear endoplasmic reticulum, Golgi apparatus"
"12";"O14773";"O14773-1,O14773-2";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";1;1;5,92590549095145e-05;NA;1;NA;1;NA;NA;"lysosomal lumen, lysosome, melanosome, extracellular vesicular exosome, mitochondrion"
