"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6286-1.id.csv";"peptide.count.P6286-2.id.csv";"spectra.count.P6286-1.id.csv";"spectra.count.P6286-2.id.csv";"dNSAF.P6286-1.id.csv";"dNSAF.P6286-2.id.csv";"Go.Cc"
"1";"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";2;2;0,00108608202694138;2;0;2;0;NA;NA;"cytoplasm, nucleus, spliceosomal complex"
"2";"O43390";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";2;3;0,00162140207813524;2;1;2;1;NA;NA;"nucleus, catalytic step 2 spliceosome, spliceosomal complex, ribonucleoprotein complex, nucleoplasm, cytoplasm"
"3";"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";2;2;0,00054914259789171;1;1;1;1;NA;NA;"nucleus, CRD-mediated mRNA stability complex, GAIT complex, histone pre-mRNA 3'end processing complex, catalytic step 2 spliceosome, ribonucleoprotein complex, nucleoplasm, endoplasmic reticulum, membrane"
"4";"O60814";"O60814";"H2B1K_HUMAN";"Histone H2B type 1-K";"HIST1H2BK";0;0;NA;0;0;0;0;NA;NA;"nucleoplasm, extracellular space, nucleus, nucleosome"
"5";"O75947";"O75947-1,O75947-2";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";1;1;0,00106247154809483;1;NA;1;NA;NA;NA;"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, mitochondrion"
"6";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";3;9;0,00738379507524897;3;2;6;3;0,00966346276547929;0,00592103753140542;"extracellular vesicular exosome, cytosol"
"7";"P02765";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";3;42;0,0391522212981866;3;3;22;20;0,0402600396959614;0,0448514559599647;"extracellular vesicular exosome, extracellular space, extracellular region, blood microparticle"
"8";"P04004";"P04004";"VTNC_HUMAN";"Vitronectin";"VTN";2;2;0,00143144702295622;2;NA;2;NA;0,00281008645272306;NA;"alphav-beta3 integrin-vitronectin complex, blood microparticle, extracellular space, proteinaceous extracellular matrix, extracellular matrix, extracellular region, extracellular vesicular exosome"
"9";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";3;9;0,00478112196642674;3;3;5;4;0,00521436849534791;0,00511195165754877;"blood microparticle, cytoskeleton, membrane, nucleus, plasma membrane, extracellular vesicular exosome, extracellular space, keratin filament"
"10";"P04406";"P04406-1,P04406-2";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";3;12;0,00612744785349019;3;3;8;4;NA;NA;"perinuclear region of cytoplasm, cytoplasm, nucleus, extracellular vesicular exosome, ribonucleoprotein complex, GAIT complex, lipid particle, microtubule cytoskeleton, plasma membrane, cytosol"
"11";"P05386";"P05386-1";"RLA1_HUMAN";"60S acidic ribosomal protein P1";"RPLP1";2;2;0,00600203225414974;2;NA;2;NA;NA;NA;"cytosol, cytosolic large ribosomal subunit, cytoplasm"
"12";"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";8;15;0,0118242801320231;5;6;6;9;NA;NA;"phosphopyruvate hydratase complex, plasma membrane, extracellular space, M band, extracellular vesicular exosome, nucleus, cytosol, cytoplasm"
"13";"P06748";"P06748-1,P06748-2,P06748-3";"NPM_HUMAN";"Nucleophosmin";"NPM1";3;6;0,00232731862916011;2;2;3;3;NA;NA;"cytoplasm, ribonucleoprotein complex, centrosome, cytosol, spindle pole centrosome, nucleus, nucleolus, nucleoplasm"
"14";"P06899";"P06899";"H2B1J_HUMAN";"Histone H2B type 1-J";"HIST1H2BJ";0;0;NA;0;0;0;0;NA;NA;"nucleus, nucleosome, extracellular space, nucleoplasm"
"15";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";1;2;0,00134691274994699;1;1;1;1;0,00132206823267876;0,00162012641115227;"melanosome, endoplasmic reticulum lumen, procollagen-proline 4-dioxygenase complex, endoplasmic reticulum, plasma membrane, extracellular vesicular exosome, endoplasmic reticulum-Golgi intermediate compartment, extracellular region"
"16";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";4;8;0,00616424934209974;3;4;4;4;0,00605054650631361;0,00741463258437255;"microtubule, cell body, nuclear envelope lumen, cytosol, extracellular vesicular exosome, cytoskeleton, nucleus"
"17";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";5;16;0,0390989529698898;5;2;10;6;0,0479721901572008;0,0352724664370865;"synapse, cytosol, neuron projection, extracellular vesicular exosome, nucleus, blood microparticle, cytoskeleton"
"18";"P07910";"P07910-1,P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";5;13;0,00726716650379896;5;3;8;5;NA;NA;"membrane, catalytic step 2 spliceosome, extracellular vesicular exosome, nucleoplasm, nuclear chromatin, cytosol, nucleus, protein complex, spliceosomal complex"
"19";"P08107";"P08107-1,P08107-2,P17066";"HSP71_HUMAN, HSP76_HUMAN";"Heat shock 70 kDa protein 1A/1B, Heat shock 70 kDa protein 6";"HSPA1A,HSPA1B, HSPA6";1;1;0,000192132447026485;0;1;0;1;NA;0,00136530715083936;"cytosol, cytoplasm, aggresome, nuclear speck, perinuclear region of cytoplasm, mitochondrion, extracellular vesicular exosome, inclusion body, endoplasmic reticulum, ribonucleoprotein complex, centriole, nucleus, blood microparticle"
"20";"P08575";"P08575-1,P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";2;9;0,00118061447330476;1;2;5;4;NA;NA;"focal adhesion, plasma membrane, integral component of plasma membrane, membrane raft, extracellular vesicular exosome, external side of plasma membrane"
"21";"P09496";"P09496-2,P09496-5";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";1;1;0,000689749674368015;NA;1;NA;1;NA;NA;"clathrin-coated endocytic vesicle membrane, clathrin coat, plasma membrane, trans-Golgi network membrane, clathrin complex, cytoplasmic membrane-bounded vesicle, clathrin coat of coated pit, cytosol, intracellular membrane-bounded organelle, clathrin coat of trans-Golgi network vesicle"
"22";"P09651";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";3;17;0,00521144198411389;2;2;6;11;NA;NA;"cytoplasm, extracellular vesicular exosome, catalytic step 2 spliceosome, intermediate filament cytoskeleton, spliceosomal complex, ribonucleoprotein complex, nucleoplasm, nucleus"
"23";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";1;1;0,000337392345647471;NA;1;NA;1;NA;0,00081166096337806;"nucleolus, nuclear envelope, transcription factor complex, nucleoplasm, nucleus"
"24";"P0C0S5";"P0C0S5,Q71UI9-1";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";2;3;0,0187094599172324;2;1;2;1;0,0419756663875507;0,0385792601655634;"nucleus, nuclear heterochromatin, nucleosome, nuclear euchromatin"
