"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767-3.id.csv";"peptide.count.P5767-4.id.csv";"spectra.count.P5767-3.id.csv";"spectra.count.P5767-4.id.csv";"dNSAF.P5767-3.id.csv";"dNSAF.P5767-4.id.csv"
"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";28;42;0,00423238873157079;21;21;21;21;0,00522165176529008;0,00492382702386867
"Q96RQ3";"Q96RQ3";"Q96RQ3";"MCCA_HUMAN";"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial";"MCCC1";28;89;0,0145724827387634;25;27;41;48;0,0165645541517228;0,0182865599499264
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";25;43;0,00718938359520412;20;21;21;22;0,0086635292669179;0,00855841053994504
"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";25;38;0,00179646364738043;18;20;18;20;0,00209971182096321;0,00219994623053509
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";24;83;0,0183544197074767;22;19;40;43;0,0217267360921284;0,0222197127193631
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";24;72;0,0170048062154846;22;23;34;38;0,0196185550891801;0,0210660155138053
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";24;48;0,0129733340334855;22;19;25;23;0,0159813421381804;0,0151385229763109
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";21;37;0,00766529108510947;15;18;17;20;0,00869016855744196;0,00964060206784226
"P08575-1,P08575-2";"P08575-1,P08575-2";"P08575-[1,2]";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";19;29;0,00131999400971298;14;14;15;14;NA;NA
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";19;57;0,0109338559813283;17;17;27;30;0,012873118470449;0,0133003169780264
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";19;46;0,0118479380314397;18;16;24;22;0,0148429649349087;0,0135614113472264
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";21;45;0,0128102618853813;14;18;21;24;0,0147508531882775;0,0158965898845284
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";15;23;0,00449801287727226;13;9;14;9;0,00675574495278607;0,00409527058186676
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";15;28;0,00387393467427381;14;13;14;14;0,00477941397009457;0,00450681292472206
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";14;25;0,00280501953696912;12;12;12;13;0,00332222834432175;0,00339380173928908
"P35579-1";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";44;73;0,00442128324323006;36;33;38;35;NA;NA
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";12;20;0,0077648107538287;9;11;9;11;0,00804697250066943;0,0104335018601665
"Q14152";"Q14152";"Q14152";"EIF3A_HUMAN";"Eukaryotic translation initiation factor 3 subunit A";"EIF3A";12;15;0,00128844168022286;8;7;8;7;0,00169557047192108;0,00139900343321691
"P05166-1,P05166-2";"P05166-1,P05166-2";"P05166-[1,2]";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";11;18;0,00198214441788645;9;8;10;8;NA;NA
"P21333-1,P21333-2";"P21333-1,P21333-2";"P21333-[1,2]";"FLNA_HUMAN";"Filamin-A";"FLNA";10;14;0,000313924815879007;7;5;8;6;NA;NA
"P62269";"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";10;16;0,0124956238741614;9;7;9;7;0,0173433433632849;0,0127198864783274
"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";12;15;0,000700758127535615;9;6;9;6;0,00103746091744168;0,000652191851815067
"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";9;15;0,00321993924424593;7;8;7;8;0,00370771897499199;0,0039957070414999
"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";9;16;0,00376105906707432;8;7;8;8;0,00464015523206918;0,00437549701772167
"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";9;14;0,00389207956736174;6;8;6;8;0,00411582855771945;0,00517476813571299
"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";9;17;0,00500755150292075;7;7;7;10;0,00508776325848777;0,0068536786412824
"Q02878";"Q02878";"Q02878";"RL6_HUMAN";"60S ribosomal protein L6";"RPL6";9;15;0,0061827305627361;8;7;8;7;0,00813638330623242;0,00671327341911724
"Q86YZ3";"Q86YZ3";"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";9;16;0,000666433273288607;7;9;7;9;0,000719427576551077;0,000872220787085307
"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-[1-4]";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";9;13;0,000945594086065521;7;6;7;6;NA;NA
"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";8;17;0,00433987796919799;7;8;7;10;0,00440939482402273;0,00593985482244475
"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";8;19;0,0067327167441377;6;8;8;11;0,0069948608722237;0,00906936042292683
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";11;18;0,00340789742022583;10;7;11;7;0,00513876840393627;0,00308360884323089
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";8;11;0,0017035782059359;4;7;4;7;0,00145907745466684;0,00260839515163708
