"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834-1.id.csv";"peptide.count.P5834-2.id.csv";"peptide.count.P5835-1.id.csv";"peptide.count.P5835-2.id.csv";"spectra.count.P5834-1.id.csv";"spectra.count.P5834-2.id.csv";"spectra.count.P5835-1.id.csv";"spectra.count.P5835-2.id.csv";"dNSAF.P5834-1.id.csv";"dNSAF.P5834-2.id.csv";"dNSAF.P5835-1.id.csv";"dNSAF.P5835-2.id.csv"
"Q92616";"Q92616";"Q92616";"GCN1L_HUMAN";"Translational activator GCN1";"GCN1L1";124;521;0,00187371539481528;103;105;99;96;131;134;129;127;0,00249799675641583;0,00253245973556173;0,0026569071461641;0,00257668105569927
"P42704";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";67;259;0,0017847474909798;58;58;52;51;64;69;64;62;0,00233836155786932;0,00249860701944523;0,00252567668298175;0,00241023698971922
"Q5VYK3";"Q5VYK3";"Q5VYK3";"ECM29_HUMAN";"Proteasome-associated protein ECM29 homolog";"ECM29";53;178;0,000926751764513923;41;42;35;36;44;50;42;42;0,00121464892033767;0,00136799740195069;0,00125231468864512;0,0012336266743079
"O14980";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";49;363;0,00325579419111999;47;47;41;39;93;103;84;83;0,00442270467269628;0,0048546664104519;0,00431469766676049;0,00419971145725269
"Q13423";"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";44;220;0,00194595433823847;43;42;37;35;56;56;57;51;0,00262635037772661;0,00260297406205424;0,00288739091097439;0,00254490269926778
"Q9Y6D6";"Q9Y6D6";"Q9Y6D6";"BIG1_HUMAN";"Brefeldin A-inhibited guanine nucleotide-exchange protein 1";"ARFGEF1";44;139;0,000910999575514447;34;33;28;29;37;39;32;31;0,00131896428191473;0,00136285390928527;0,00117026548398074;0,001125829536113
"Q9UIA9";"Q9UIA9";"Q9UIA9";"XPO7_HUMAN";"Exportin-7";"XPO7";42;202;0,001785096157431;37;40;35;32;49;54;53;46;0,00229594245302181;0,00250770158521338;0,0026822971005643;0,00229329074886125
"Q15021";"Q15021";"Q15021";"CND1_HUMAN";"Condensin complex subunit 1";"NCAPD2";41;139;0,000953051687672602;33;31;28;31;35;34;32;38;0,00127240208342751;0,00122504606744278;0,00125652865670113;0,00146986108792575
"Q9HAV4";"Q9HAV4";"Q9HAV4";"XPO5_HUMAN";"Exportin-5";"XPO5";41;154;0,00122866651821336;32;37;25;24;40;48;35;31;0,00169210756419738;0,00201245597868361;0,00159919753637198;0,0013952950015235
"P42345";"P42345";"P42345";"MTOR_HUMAN";"Serine/threonine-protein kinase mTOR";"MTOR";38;116;0,000444353171221451;22;22;32;29;25;24;34;33;0,000510161892597091;0,000486600118292924;0,000733786362707207;0,00071716692779218
"P04843";"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";36;240;0,00379806454035101;32;31;30;32;61;59;61;59;0,00511841630745108;0,00490653565697998;0,00552842851783026;0,00526737395590282
"P55060-1,P55060-3";"P55060-1,P55060-3";"P55060-[1,3]";"XPO2_HUMAN";"Exportin-2";"CSE1L";48;257;0,00127122869513864;42;44;37;35;66;67;63;61;NA;NA;NA;NA
"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";33;194;0,00314789192104909;29;29;30;31;43;43;50;58;0,00369948449381869;0,00366655655012696;0,00464631716648616;0,00530929819890961
"O95373";"O95373";"O95373";"IPO7_HUMAN";"Importin-7";"IPO7";31;144;0,0013537683389628;29;28;19;21;46;40;26;32;0,00229672013887175;0,00202006197059948;0,00137795980397987;0,00167064223440542
"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";31;133;0,00173121946518136;25;24;25;27;34;33;34;32;0,00234557278800255;0,00225827571116755;0,00253139743561895;0,00235305012735704
"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";31;338;0,00587126061999439;28;28;29;29;67;81;95;95;0,00617083783854765;0,00739386516218882;0,00945059231259247;0,00930956321963822
"O43592";"O43592";"O43592";"XPOT_HUMAN";"Exportin-T";"XPOT";30;118;0,00117827516791052;27;26;19;20;33;36;23;26;0,00174716262319881;0,0018890309238579;0,00131526516712839;0,0014646339859061
"Q9C0E2";"Q9C0E2";"Q9C0E2";"XPO4_HUMAN";"Exportin-4";"XPO4";29;95;0,00079284459788351;22;20;21;19;25;23;24;23;0,00110626493662774;0,0010087049479023;0,00114708730323954;0,00108288750825898
"Q9H2M9-1";"Q9H2M9-1";"Q9H2M9-1";"RBGPR_HUMAN";"Rab3 GTPase-activating protein non-catalytic subunit";"RAB3GAP2";32;119;0,00082060778877475;23;23;25;25;31;30;28;30;NA;NA;NA;NA
"Q14974";"Q14974";"Q14974";"IMB1_HUMAN";"Importin subunit beta-1";"KPNB1";28;117;0,00128298490102354;24;23;18;21;32;33;26;26;0,00186054566876132;0,00190161008716365;0,00163278798690765;0,00160842225392884
"Q15042-1";"Q15042-1";"Q15042-1";"RB3GP_HUMAN";"Rab3 GTPase-activating protein catalytic subunit";"RAB3GAP1";28;94;0,000920446680867091;23;19;16;17;28;20;21;25;NA;NA;NA;NA
"Q92608-1";"Q92608-1";"Q92608-1";"DOCK2_HUMAN";"Dedicator of cytokinesis protein 2";"DOCK2";34;95;0,000523355505109428;17;21;26;23;17;23;32;23;NA;NA;NA;NA
"Q9BSJ8-1,Q9BSJ8-2";"Q9BSJ8-1,Q9BSJ8-2";"Q9BSJ8-[1,2]";"ESYT1_HUMAN";"Extended synaptotagmin-1";"ESYT1";28;99;0,000430701034917182;19;23;20;23;22;27;24;26;NA;NA;NA;NA
"Q92538";"Q92538";"Q92538";"GBF1_HUMAN";"Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1";"GBF1";27;68;0,00035877109134439;15;18;15;15;16;20;16;16;0,000447893831853503;0,000553521851904449;0,000483772496069644;0,000476553266410778
"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-[1-4]";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";26;131;0,000499356312921778;21;22;22;25;30;33;31;37;NA;NA;NA;NA
"Q93008-1,Q93008-3";"Q93008-1,Q93008-3";"Q93008-[1,3]";"USP9X_HUMAN";"Probable ubiquitin carboxyl-terminal hydrolase FAF-X";"USP9X";52;164;0,000306492970868079;41;43;35;34;44;46;37;37;NA;NA;NA;NA
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";25;401;0,00728162803696612;23;23;23;24;72;85;116;128;0,00693220323842827;0,00811100917054506;0,0120632095446857;0,0131124887660705
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";25;112;0,00187760049237364;21;22;20;20;26;29;29;28;0,00231107047075195;0,00255478886531838;0,00278422244726822;0,0026480991438023
"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";24;118;0,00212664298598484;22;23;17;14;32;41;24;21;0,0030578574218291;0,00388300801015234;0,00247710597753979;0,00213512309014829
"P16435";"P16435";"P16435";"NCPR_HUMAN";"NADPH--cytochrome P450 reductase";"POR";23;94;0,00133376394967595;20;20;21;20;24;24;23;23;0,00180558124723218;0,00178951033850448;0,00186895877515142;0,00184106871788197
"P23786";"P23786";"P23786";"CPT2_HUMAN";"Carnitine O-palmitoyltransferase 2, mitochondrial";"CPT2";23;69;0,00100730963236779;19;17;13;11;23;19;15;12;0,00178031317126724;0,00145760331080187;0,0012540819586139;0,000988294057359131
"Q29RF7-1";"Q29RF7-1";"Q29RF7-1";"PDS5A_HUMAN";"Sister chromatid cohesion protein PDS5 homolog A";"PDS5A";40;121;0,00103324169785136;31;32;26;24;33;35;28;25;NA;NA;NA;NA
"Q8TEX9-1,Q8TEX9-2";"Q8TEX9-1,Q8TEX9-2";"Q8TEX9-[1,2]";"IPO4_HUMAN";"Importin-4";"IPO4";23;77;0,000342117134118613;17;19;15;15;20;23;17;17;NA;NA;NA;NA
"Q92621";"Q92621";"Q92621";"NU205_HUMAN";"Nuclear pore complex protein Nup205";"NUP205";23;65;0,000310331006543135;16;19;13;10;17;20;17;11;0,0004303436583498;0,000501780359164816;0,000464816460869948;0,000296275363948202
