"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc"
"4";4;"A2RRP1";"A2RRP1-1";"A2RRP1-1";"NBAS_HUMAN";"Neuroblastoma-amplified sequence";"NBAS";21;53;0,000214725738660959;13;11;14;12;13;12;15;13;NA;NA;NA;NA;"cytoplasm"
"7";7;"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;4;0,000102022001533797;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"microtubule, cytoplasm"
"11";11;"C9JN71";"C9JN71,Q08AG5";"C9JN71,Q08AG5";"ZN844_HUMAN, ZN878_HUMAN";"Zinc finger protein 844, Zinc finger protein 878";"ZNF844, ZNF878";1;1;1,60500221107843e-05;1;0;NA;NA;1;0;NA;NA;8,51001465034938e-05;0;NA;NA;"nucleus"
"13";13;"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";11;23;0,000517415876735367;9;4;3;4;11;5;3;4;0,00131207684895961;0,000591090212318272;0,000386503947900676;0,000507648313616166;"nucleus, cytoplasm"
"17";17;"O00178";"O00178";"O00178";"GTPB1_HUMAN";"GTP-binding protein 1";"GTPBP1";1;1;1,43586520677196e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;8,22307851288433e-05;NA;"cytoplasmic exosome (RNase complex), cytosol"
"26";26;"O00471";"O00471";"O00471";"EXOC5_HUMAN";"Exocyst complex component 5";"EXOC5";9;25;0,000339192734226851;6;5;4;7;8;5;5;7;0,000575507770421933;0,000356490848389693;0,000388505616180764;0,00053579124625661;"cytosol, cytoplasm"
"31";31;"O00743";"O00743-1,O00743-3";"O00743-1,O00743-3";"PPP6_HUMAN";"Serine/threonine-protein phosphatase 6 catalytic subunit";"PPP6C";5;7;0,0001102320780871;NA;NA;4;3;NA;NA;4;3;NA;NA;NA;NA;"cytosol"
"38";38;"O14579";"O14579-1,O14579-2";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";3;7;0,000109158389014823;1;3;1;2;1;3;1;2;NA;NA;NA;NA;"nucleus, COPI vesicle coat, Golgi apparatus, cytosol"
"49";49;"O14787";"O14787-2";"O14787-2";"TNPO2_HUMAN";"Transportin-2";"TNPO2";11;39;0,000566358018366763;10;8;6;6;13;9;8;9;NA;NA;NA;NA;"cytoplasm, nucleus"
"57";57;"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";1;2;1,90594012565564e-05;1;0;1;0;1;0;1;0;NA;NA;NA;NA;"spliceosomal complex, cytoplasm, nucleus"
"59";59;"O14981";"O14981";"O14981";"BTAF1_HUMAN";"TATA-binding protein-associated factor 172";"BTAF1";16;46;0,000238979534197947;9;9;10;12;10;11;12;13;0,000275459370915852;0,000300308353408213;0,00035703014765514;0,000381010788112944;"nucleus"
"63";63;"O15091";"O15091-1,O15091-2,O15091-4";"O15091-1,O15091-2,O15091-4";"MRRP3_HUMAN";"Mitochondrial ribonuclease P protein 3";"KIAA0391";3;3;1,64767379645016e-05;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;"mitochondrion"
"79";79;"O15355";"O15355";"O15355";"PPM1G_HUMAN";"Protein phosphatase 1G";"PPM1G";1;1;1,75932934675905e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;9,92517536236734e-05;"nucleus, cytoplasm"
"81";81;"O15397";"O15397-1";"O15397-1";"IPO8_HUMAN";"Importin-8";"IPO8";15;45;0,000423460564080096;10;11;9;10;11;12;11;11;NA;NA;NA;NA;"nucleus, cytoplasm"
"87";87;"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";2;6;7,2497647043807e-05;2;2;1;1;2;2;1;1;0,000128131918697713;0,0001269914569358;6,91979814480455e-05;6,81653553189002e-05;"U12-type spliceosomal complex, nucleolus, nucleus"
"88";88;"O43156";"O43156";"O43156";"TTI1_HUMAN";"TELO2-interacting protein 1 homolog";"TTI1";17;52;0,000458685755860266;13;8;11;14;13;9;13;17;0,000608008897952648;0,000417182678776698;0,000656713625588201;0,000845963982676709;"TORC2 complex, TORC1 complex, cytoplasm"
