"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc"
"1";1;"A0FGR8";"A0FGR8-2";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";15;48;0,000500635217370915;11;10;11;11;12;11;12;13;NA;NA;NA;NA;"integral component of plasma membrane"
"6";6;"A5YKK6";"A5YKK6-1,A5YKK6-2";"A5YKK6-1,A5YKK6-2";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";8;22;4,44719362652983e-05;3;4;6;3;5;5;7;5;NA;NA;NA;NA;"extracellular space, nucleus, CCR4-NOT complex, cytosol, cytoplasmic mRNA processing body, peroxisomal membrane"
"9";9;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";22;72;0,000679398381923299;11;14;15;17;15;15;19;23;NA;NA;NA;NA;"myosin complex, extracellular vesicular exosome, plasma membrane"
"14";14;"O00154";"O00154-1,O00154-4,O00154-6";"O00154-1,O00154-4,O00154-6";"BACH_HUMAN";"Cytosolic acyl coenzyme A thioester hydrolase";"ACOT7";3;8;6,74100928652942e-05;2;2;2;2;2;2;2;2;NA;NA;NA;NA;"extracellular vesicular exosome, neuron projection, nucleus, cytosol, mitochondrion, cell body, cytoplasm"
"15";15;"O00161";"O00161-1,O00161-2";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";3;10;0,000227628868087783;3;2;3;NA;3;3;4;NA;NA;NA;NA;NA;"specific granule, synapse, cell junction, plasma membrane, azurophil granule, neuron projection, extracellular vesicular exosome, nucleus"
"18";18;"O00182";"O00182-1,O00182-2";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";3;15;0,000202942357041643;3;3;2;2;5;5;3;2;NA;NA;NA;NA;"extracellular region, cytoplasm"
"19";19;"O00186";"O00186";"O00186";"STXB3_HUMAN";"Syntaxin-binding protein 3";"STXBP3";7;24;0,000389429928377206;4;6;4;6;5;7;6;6;0,000430172615560313;0,000596881298857877;0,00055755805997834;0,000549237744714787;"platelet alpha granule, basolateral plasma membrane, apical plasma membrane, plasma membrane, cytosol, tertiary granule, extracellular vesicular exosome, specific granule"
"22";22;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";2;8;0,000318869318947865;2;2;2;2;2;2;2;2;0,000422675831388722;0,000418913727236352;0,000456534400424865;0,000449721638825939;"chloride channel complex, nuclear envelope, blood microparticle, extracellular vesicular exosome, brush border, nuclear membrane, perinuclear region of cytoplasm, nucleus, extracellular space, cytoplasm, plasma membrane, mitochondrion"
"23";23;"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";7;14;0,000244960173526889;3;4;4;3;3;4;4;3;0,000278319331597492;0,000367789465442481;0,000400818908934034;0,000296128182942763;"endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, membrane"
"28";28;"O00559";"O00559";"O00559";"RCAS1_HUMAN";"Receptor-binding cancer antigen expressed on SiSo cells";"EBAG9";4;11;0,000496081317212905;2;2;3;3;2;3;3;3;0,000478238851477381;0,000710973297633528;0,000774822468326707;0,000763259964486277;"Golgi membrane, integral component of membrane, secretory granule, plasma membrane, focal adhesion, Golgi apparatus"
"29";29;"O00560";"O00560-1,O00560-2,O00560-3";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";3;9;9,67040761742056e-05;3;2;1;2;4;2;1;2;NA;NA;NA;NA;"focal adhesion, extracellular vesicular exosome, melanosome, nucleus, cytosol, interleukin-5 receptor complex, cytoskeleton, cytoplasm, blood microparticle, adherens junction, membrane, plasma membrane, endoplasmic reticulum membrane"
"30";30;"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";8;16;0,000129903351162511;2;4;5;5;2;4;5;5;NA;NA;NA;NA;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm"
