"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc"
"1";1;"A0FGR8";"A0FGR8-2";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";15;48;0,000500635217370915;11;10;11;11;12;11;12;13;NA;NA;NA;NA;"integral component of plasma membrane"
"2";2;"A0PJW6";"A0PJW6";"A0PJW6";"TM223_HUMAN";"Transmembrane protein 223";"TMEM223";2;2;9,51082993396478e-05;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000536549083945799;"integral component of membrane, mitochondrion"
"3";3;"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";16;39;0,000592771504903279;9;11;8;6;11;12;9;7;0,000886482301433151;0,000958464002505958;0,000783404362754376;0,000600221839160886;"integral component of membrane"
"5";5;"A5PLL7";"A5PLL7";"A5PLL7";"TM189_HUMAN";"Transmembrane protein 189";"TMEM189";1;1;3,55775490122386e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000200709101772317;"integral component of membrane, endoplasmic reticulum membrane"
"6";6;"A5YKK6";"A5YKK6-1,A5YKK6-2";"A5YKK6-1,A5YKK6-2";"CNOT1_HUMAN";"CCR4-NOT transcription complex subunit 1";"CNOT1";8;22;4,44719362652983e-05;3;4;6;3;5;5;7;5;NA;NA;NA;NA;"extracellular space, nucleus, CCR4-NOT complex, cytosol, cytoplasmic mRNA processing body, peroxisomal membrane"
"8";8;"A8MV81";"A8MV81,Q9Y241-1,Q9Y241-2";"A8MV81,Q9Y241-1,Q9Y241-2";"HIG1A_HUMAN, HIG1C_HUMAN";"HIG1 domain family member 1A, mitochondrial, HIG1 domain family member 1C";"HIGD1A, HIGD1C";1;1;3,39432446406517e-05;NA;1;NA;NA;NA;1;NA;NA;NA;0,000520403135381242;NA;NA;"integral component of membrane"
"9";9;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";22;72;0,000679398381923299;11;14;15;17;15;15;19;23;NA;NA;NA;NA;"myosin complex, extracellular vesicular exosome, plasma membrane"
"10";10;"B7ZAQ6";"B7ZAQ6-1,B7ZAQ6-2,B7ZAQ6-3,P0CG08";"B7ZAQ6-1,B7ZAQ6-2,B7ZAQ6-3,P0CG08";"GPHRA_HUMAN, GPHRB_HUMAN";"Golgi pH regulator A, Golgi pH regulator B";"GPR89A, GPR89B";4;17;8,97257966847117e-05;2;2;4;4;4;3;5;5;0,00044775769391069;0,000332829258013058;0,000604531815947211;0,00059551052174204;"Golgi-associated vesicle membrane, integral component of membrane, Golgi cisterna membrane"
"12";12;"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";21;76;0,00110950046463699;16;16;14;15;20;20;18;18;0,0015480984097976;0,00153431927452828;0,00150489835033667;0,0014824410860387;"peroxisomal matrix, intracellular membrane-bounded organelle, peroxisomal membrane, peroxisome, nucleolus, mitochondrion"
"15";15;"O00161";"O00161-1,O00161-2";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";3;10;0,000227628868087783;3;2;3;NA;3;3;4;NA;NA;NA;NA;NA;"specific granule, synapse, cell junction, plasma membrane, azurophil granule, neuron projection, extracellular vesicular exosome, nucleus"
"16";16;"O00165";"O00165-1";"O00165-1";"HAX1_HUMAN";"HCLS1-associated protein X-1";"HAX1";10;31;0,00106732647036716;6;6;10;8;7;6;10;8;NA;NA;NA;NA;"cytoplasmic membrane-bounded vesicle, endoplasmic reticulum, sarcoplasmic reticulum, nuclear membrane, lamellipodium, actin cytoskeleton, nuclear envelope, mitochondrion, transcription factor complex"
"19";19;"O00186";"O00186";"O00186";"STXB3_HUMAN";"Syntaxin-binding protein 3";"STXBP3";7;24;0,000389429928377206;4;6;4;6;5;7;6;6;0,000430172615560313;0,000596881298857877;0,00055755805997834;0,000549237744714787;"platelet alpha granule, basolateral plasma membrane, apical plasma membrane, plasma membrane, cytosol, tertiary granule, extracellular vesicular exosome, specific granule"
"20";20;"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";6;23;0,00105207894936191;6;6;5;5;6;7;5;5;0,00145521250520974;0,00168263680439935;0,00130981893455229;0,00129027279710775;"mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
