"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"peptide.count.P5835.1.id.csv";"peptide.count.P5835.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"spectra.count.P5835.1.id.csv";"spectra.count.P5835.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"dNSAF.P5835.1.id.csv";"dNSAF.P5835.2.id.csv";"Go.Cc"
"1";1;"A0FGR8";"A0FGR8-2";"A0FGR8-2";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";15;48;0,000500635217370915;11;10;11;11;12;11;12;13;NA;NA;NA;NA;"integral component of plasma membrane"
"9";9;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";22;72;0,000679398381923299;11;14;15;17;15;15;19;23;NA;NA;NA;NA;"myosin complex, extracellular vesicular exosome, plasma membrane"
"15";15;"O00161";"O00161-1,O00161-2";"O00161-1,O00161-2";"SNP23_HUMAN";"Synaptosomal-associated protein 23";"SNAP23";3;10;0,000227628868087783;3;2;3;NA;3;3;4;NA;NA;NA;NA;NA;"specific granule, synapse, cell junction, plasma membrane, azurophil granule, neuron projection, extracellular vesicular exosome, nucleus"
"19";19;"O00186";"O00186";"O00186";"STXB3_HUMAN";"Syntaxin-binding protein 3";"STXBP3";7;24;0,000389429928377206;4;6;4;6;5;7;6;6;0,000430172615560313;0,000596881298857877;0,00055755805997834;0,000549237744714787;"platelet alpha granule, basolateral plasma membrane, apical plasma membrane, plasma membrane, cytosol, tertiary granule, extracellular vesicular exosome, specific granule"
"22";22;"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";2;8;0,000318869318947865;2;2;2;2;2;2;2;2;0,000422675831388722;0,000418913727236352;0,000456534400424865;0,000449721638825939;"chloride channel complex, nuclear envelope, blood microparticle, extracellular vesicular exosome, brush border, nuclear membrane, perinuclear region of cytoplasm, nucleus, extracellular space, cytoplasm, plasma membrane, mitochondrion"
"23";23;"O00400";"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";7;14;0,000244960173526889;3;4;4;3;3;4;4;3;0,000278319331597492;0,000367789465442481;0,000400818908934034;0,000296128182942763;"endoplasmic reticulum membrane, integral component of plasma membrane, Golgi membrane, membrane"
"28";28;"O00559";"O00559";"O00559";"RCAS1_HUMAN";"Receptor-binding cancer antigen expressed on SiSo cells";"EBAG9";4;11;0,000496081317212905;2;2;3;3;2;3;3;3;0,000478238851477381;0,000710973297633528;0,000774822468326707;0,000763259964486277;"Golgi membrane, integral component of membrane, secretory granule, plasma membrane, focal adhesion, Golgi apparatus"
"29";29;"O00560";"O00560-1,O00560-2,O00560-3";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";3;9;9,67040761742056e-05;3;2;1;2;4;2;1;2;NA;NA;NA;NA;"focal adhesion, extracellular vesicular exosome, melanosome, nucleus, cytosol, interleukin-5 receptor complex, cytoskeleton, cytoplasm, blood microparticle, adherens junction, membrane, plasma membrane, endoplasmic reticulum membrane"
"39";39;"O14641";"O14641";"O14641";"DVL2_HUMAN";"Segment polarity protein dishevelled homolog DVL-2";"DVL2";1;1;3,91546395379256e-05;0;0;1;0;0;0;1;0;NA;NA;0,000149490204486946;0;"apical part of cell, nucleus, cytoplasm, clathrin-coated endocytic vesicle, clathrin-coated vesicle, plasma membrane, cell cortex, cytoplasmic vesicle, cytosol"
"43";43;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";21;71;0,00091179360235911;20;19;10;11;24;21;13;13;0,00163419586146549;0,00141719409996202;0,00095609777842988;0,000941830143343361;"Golgi apparatus, nucleus, plasma membrane, integral component of membrane, cell surface, extracellular vesicular exosome, postsynaptic density, cytoplasm, Golgi-associated vesicle"
"46";46;"O14735";"O14735-1";"O14735-1";"CDIPT_HUMAN";"CDP-diacylglycerol--inositol 3-phosphatidyltransferase";"CDIPT";2;7;0,000315688110953667;1;2;2;2;1;2;2;2;NA;NA;NA;NA;"integral component of membrane, Golgi membrane, endoplasmic reticulum membrane, plasma membrane"
"54";54;"O14966";"O14966-1";"O14966-1";"RAB7L_HUMAN";"Ras-related protein Rab-7L1";"RAB7L1";1;1;7,57118284398378e-05;0;NA;0;1;0;NA;0;1;NA;NA;NA;NA;"plasma membrane, extracellular vesicular exosome"
"62";62;"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";4;5;2,61314968261818e-05;NA;2;2;1;NA;2;2;1;NA;5,49282961174978e-05;5,98611482602788e-05;2,94839268109498e-05;"intracellular, integral component of plasma membrane, extracellular vesicular exosome"
"64";64;"O15118";"O15118";"O15118";"NPC1_HUMAN";"Niemann-Pick C1 protein";"NPC1";6;13;9,77129867237539e-05;4;4;3;2;4;4;3;2;0,00015941295049246;0,000157994066140784;0,000129137078054451;8,48066627206975e-05;"membrane raft, endoplasmic reticulum, perinuclear region of cytoplasm, extracellular region, integral component of membrane, integral component of plasma membrane, lysosomal membrane, lysosome, extracellular vesicular exosome, Golgi apparatus, late endosome membrane, nuclear envelope"
"66";66;"O15121";"O15121";"O15121";"DEGS1_HUMAN";"Sphingolipid delta(4)-desaturase DES1";"DEGS1";3;12;0,000356876962228028;2;2;3;2;3;2;4;3;0,00047305669674001;0,000312564112272325;0,000681268052646393;0,000503326230450703;"endoplasmic reticulum membrane, endoplasmic reticulum, membrane, mitochondrion, integral component of plasma membrane"
"70";70;"O15162";"O15162";"O15162";"PLS1_HUMAN";"Phospholipid scramblase 1";"PLSCR1";5;16;0,000483317646958713;5;5;3;3;5;5;3;3;0,000800824491860708;0,000793696605848749;0,000518984860860341;0,000511240164891752;"Golgi apparatus, extracellular matrix, integral component of plasma membrane, membrane raft, nucleus, extracellular vesicular exosome, nucleolus, cytosol, plasma membrane"
"77";77;"O15287";"O15287";"O15287";"FANCG_HUMAN";"Fanconi anemia group G protein";"FANCG";1;1;1,54436306001679e-05;1;NA;NA;NA;1;NA;NA;NA;8,18849480423489e-05;NA;NA;NA;"nucleoplasm, nucleolus, plasma membrane, Fanconi anaemia nuclear complex, cytoplasm, mitochondrion"
"83";83;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;23;0,00047513242874409;5;4;5;5;6;5;6;6;0,000657192744288271;0,000542786065935274;0,000709837358079951;0,000699244612626138;"membrane, actin cytoskeleton, integral component of plasma membrane, plasma membrane, nuclear membrane"
"84";84;"O15439";"O15439-1,O15439-2";"O15439-1,O15439-2";"MRP4_HUMAN";"Multidrug resistance-associated protein 4";"ABCC4";4;8;2,89990588175228e-05;3;3;2;NA;3;3;2;NA;NA;NA;NA;NA;"platelet dense granule membrane, membrane, plasma membrane, integral component of membrane"
"85";85;"O15498";"O15498";"O15498";"YKT6_HUMAN";"Synaptobrevin homolog YKT6";"YKT6";2;3;0,000145544518686431;2;NA;NA;1;2;NA;NA;1;0,000514469067498394;NA;NA;0,000273694229689524;"cytosol, Golgi apparatus, Golgi membrane, integral component of plasma membrane, endoplasmic reticulum, cytoplasm, SNARE complex, mitochondrion, cytoplasmic vesicle membrane, endosome"
"101";101;"O43493";"O43493-1,O43493-2,O43493-3,O43493-5";"O43493-1,O43493-2,O43493-3,O43493-5";"TGON2_HUMAN";"Trans-Golgi network integral membrane protein 2";"TGOLN2";5;10;5,00309282984605e-05;1;2;3;4;1;2;3;4;NA;NA;NA;NA;"plasma membrane, transport vesicle, integral component of membrane, nucleus, Golgi apparatus, trans-Golgi network"
"110";110;"O43699";"O43699-1,O43699-3";"O43699-1,O43699-3";"SIGL6_HUMAN";"Sialic acid-binding Ig-like lectin 6";"SIGLEC6";1;4;4,24103233258474e-05;1;1;1;1;1;1;1;1;NA;NA;NA;NA;"membrane, integral component of plasma membrane, extracellular region"
"113";113;"O43752";"O43752";"O43752";"STX6_HUMAN";"Syntaxin-6";"STX6";3;7;0,000313134751232718;3;2;NA;2;3;2;NA;2;0,000770406620405158;0,00046190029924688;NA;0,00042503103904726;"SNARE complex, trans-Golgi network membrane, clathrin-coated vesicle, early endosome, plasma membrane, Golgi apparatus, integral component of membrane, Golgi membrane, perinuclear region of cytoplasm"
"123";123;"O43914";"O43914-1,O43914-2";"O43914-1,O43914-2";"TYOBP_HUMAN";"TYRO protein tyrosine kinase-binding protein";"TYROBP";1;1;4,25041514747983e-05;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"integral component of plasma membrane, cell surface, plasma membrane"
"126";126;"O60262";"O60262";"O60262";"GBG7_HUMAN";"Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7";"GNG7";1;2;0,000282527595097189;NA;NA;1;1;NA;NA;1;1;NA;NA;0,000809005812517591;0,000796933198213613;"extracellular vesicular exosome, plasma membrane, heterotrimeric G-protein complex"
"133";133;"O60551";"O60551,P30419-1,P30419-2";"O60551,P30419-1,P30419-2";"NMT1_HUMAN, NMT2_HUMAN";"Glycylpeptide N-tetradecanoyltransferase 1, Glycylpeptide N-tetradecanoyltransferase 2";"NMT1, NMT2";1;1;6,44693841161371e-06;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000108818187707883;"Golgi apparatus, cytosol, plasma membrane, cytoplasm"
"143";143;"O60906";"O60906";"O60906";"NSMA_HUMAN";"Sphingomyelin phosphodiesterase 2";"SMPD2";1;4;9,08362953503965e-05;1;1;1;1;1;1;1;1;0,000120407654095369;0,000119335943574422;0,000130052943856256;0,000128112192620628;"integral component of plasma membrane, plasma membrane, caveola"
"145";145;"O75122";"O75122-1";"O75122-1";"CLAP2_HUMAN";"CLIP-associating protein 2";"CLASP2";2;3;2,59820585908543e-05;1;NA;NA;2;1;NA;NA;2;NA;NA;NA;NA;"condensed chromosome kinetochore, microtubule organizing center, microtubule, kinetochore microtubule, trans-Golgi network, ruffle membrane, Golgi apparatus, cytoplasm, cytoplasmic microtubule, cell cortex, plasma membrane, cytosol"
"155";155;"O75387";"O75387-1,O75387-2";"O75387-1,O75387-2";"LAT3_HUMAN";"Large neutral amino acids transporter small subunit 3";"SLC43A1";3;7;6,01445148775769e-05;1;2;2;2;1;2;2;2;NA;NA;NA;NA;"integral component of plasma membrane, plasma membrane"
"166";166;"O75695";"O75695";"O75695";"XRP2_HUMAN";"Protein XRP2";"RP2";12;40;0,00109782151237765;10;8;10;8;11;9;11;9;0,00160073375573072;0,00129803410625093;0,00172896099360902;0,00139349462087637;"extracellular vesicular exosome, plasma membrane, cytoplasmic vesicle, cytoplasm, ciliary basal body"
