"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv";"Go.Cc"
"1";"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";2;2;2,0490423590733e-05;2;NA;2;NA;NA;NA;"integral component of plasma membrane"
"2";"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;2;0,000119441013462437;1;1;1;1;0,000148426559366067;0,000151340706249005;"integral component of membrane"
"3";"A8MXY4";"A8MXY4";"A8MXY4";"ZNF99_HUMAN";"Zinc finger protein 99";"ZNF99";2;2;7,2863629834228e-05;2;NA;2;NA;0,000181091863936977;NA;"nucleus"
"4";"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;5;0,000185379961955452;2;3;2;3;NA;NA;"myosin complex, plasma membrane, extracellular vesicular exosome"
"5";"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";9;19;0,00167944694339221;8;9;9;10;0,00197716690790208;0,00223998422363866;"nucleus, cytoplasm"
"6";"O00182";"O00182-1,O00182-2";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";1;1;5,31596623297607e-05;NA;1;NA;1;NA;NA;"extracellular region, cytoplasm"
"7";"O00231";"O00231-1,O00231-2";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";2;4;0,00017887848461673;2;2;2;2;NA;NA;"proteasome accessory complex, cytosol, nucleoplasm"
"8";"O00232";"O00232-1,O00232-2";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";1;1;4,13852634365461e-05;1;NA;1;NA;NA;NA;"nucleoplasm, extracellular vesicular exosome, cytosol, proteasome regulatory particle"
"9";"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";1;1;0,000193555693610924;NA;1;NA;1;NA;0,000490499109483954;"nucleolus, endoplasmic reticulum, endoplasmic reticulum membrane, integral component of membrane"
"10";"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";3;5;0,000528618490954203;3;2;3;2;0,000788282231255076;0,000535839363301798;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex"
"11";"O00410";"O00410-1,O00410-3";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";4;7;0,000120420930619376;4;3;4;3;NA;NA;"cytoplasm, nuclear pore, nucleolus"
"12";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";4;7;0,00326177187381371;3;4;3;4;0,00347428094516126;0,00472332475799363;"mitochondrial respiratory chain complex I, mitochondrial respiratory chain complex IV"
"13";"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";3;4;0,000487011100053292;3;NA;4;NA;0,00121039465186263;NA;"nucleoplasm, cytosol, proteasome regulatory particle, lid subcomplex"
"14";"O00567";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";6;10;0,000635410105288385;4;6;4;6;0,000631687444574775;0,000966134609589606;"pre-snoRNP complex, box C/D snoRNP complex, cytoplasm"
"15";"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";15;29;0,00085790143654645;13;12;15;14;NA;NA;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck"
"16";"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";1;1;3,38202152814786e-05;1;NA;1;NA;NA;NA;"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome"
"17";"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";10;22;0,00111009883100383;10;10;10;12;0,0012540853679058;0,00153444908581879;"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle"
"18";"O14776";"O14776-1,O14776-2";"O14776-1,O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";1;1;1,71873225200957e-05;NA;1;NA;1;NA;NA;"nucleus"
