"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;2;0,000119441013462437;1;1;1;1;0,000148426559366067;0,000151340706249005;"integral component of membrane";0,000205549845837616
"9";9;"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";1;1;0,000193555693610924;NA;1;NA;1;NA;0,000490499109483954;"nucleolus, endoplasmic reticulum, endoplasmic reticulum membrane, integral component of membrane";0,000102774922918808
"27";27;"O15126";"O15126-1";"O15126-1";"SCAM1_HUMAN";"Secretory carrier-associated membrane protein 1";"SCAMP1";1;2;0,000223333492627989;1;1;1;1;NA;NA;"integral component of membrane, Golgi apparatus, trans-Golgi network, recycling endosome membrane";0,000205549845837616
"31";31;"O15173";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";1;2;0,000338505473131212;1;1;1;1;0,000420652849862574;0,000428911777351439;"integral component of membrane";0,000205549845837616
"32";32;"O15260";"O15260-1,O15260-2";"O15260-1,O15260-2";"SURF4_HUMAN";"Surfeit locus protein 4";"SURF4";1;1;7,0154944710279e-05;1;NA;1;NA;NA;NA;"Golgi membrane, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, integral component of membrane";0,000102774922918808
"33";33;"O15269";"O15269-1";"O15269-1";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";2;2;0,000159591375281734;2;NA;2;NA;NA;NA;"integral component of membrane, SPOTS complex";0,000205549845837616
"34";34;"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";5;8;0,000537272032087261;4;4;4;4;0,000667655412949139;0,000680763888607622;"integral component of membrane, mitochondrion, serine C-palmitoyltransferase complex";0,000822199383350463
"51";51;"O43736";"O43736-1,O43736-2";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";5;8;0,000574043501963956;5;3;5;3;NA;NA;"integral component of membrane";0,000822199383350463
"56";56;"O60313";"O60313-1,O60313-2";"O60313-1,O60313-2";"OPA1_HUMAN";"Dynamin-like 120 kDa protein, mitochondrial";"OPA1";3;5;9,82900006617971e-05;3;2;3;2;NA;NA;"integral component of membrane, mitochondrial intermembrane space, dendrite, mitochondrial crista, mitochondrial outer membrane";0,000513874614594039
"59";59;"O60664";"O60664-1,O60664-3";"O60664-1,O60664-3";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";2;2;8,69662678666592e-05;2;NA;2;NA;NA;NA;"lipid particle, endosome, Golgi apparatus, endosome membrane";0,000205549845837616
