"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-4,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";2;2;2,0490423590733e-05;2;NA;2;NA;NA;NA;"integral component of plasma membrane";0,000205549845837616
"4";4;"B0I1T2";"B0I1T2-1";"B0I1T2-1";"MYO1G_HUMAN";"Unconventional myosin-Ig";"MYO1G";3;5;0,000185379961955452;2;3;2;3;NA;NA;"myosin complex, plasma membrane, extracellular vesicular exosome";0,000513874614594039
"6";6;"O00182";"O00182-1,O00182-2";"O00182-1,O00182-2";"LEG9_HUMAN";"Galectin-9";"LGALS9";1;1;5,31596623297607e-05;NA;1;NA;1;NA;NA;"extracellular region, cytoplasm";0,000102774922918808
"8";8;"O00232";"O00232-1,O00232-2";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";1;1;4,13852634365461e-05;1;NA;1;NA;NA;NA;"nucleoplasm, extracellular vesicular exosome, cytosol, proteasome regulatory particle";0,000102774922918808
"15";15;"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";15;29;0,00085790143654645;13;12;15;14;NA;NA;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck";0,00298047276464543
"16";16;"O00592";"O00592-1,O00592-2";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";1;1;3,38202152814786e-05;1;NA;1;NA;NA;NA;"microvillus membrane, lamellipodium, filopodium, cell body, ruffle, integral component of plasma membrane, apical plasma membrane, slit diaphragm, membrane raft, cytoplasm, extracellular vesicular exosome";0,000102774922918808
"17";17;"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";10;22;0,00111009883100383;10;10;10;12;0,0012540853679058;0,00153444908581879;"postsynaptic density, extracellular vesicular exosome, cell surface, nucleus, plasma membrane, integral component of membrane, Golgi-associated vesicle";0,00226104830421377
"19";19;"O14818";"O14818-1,O14818-2";"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";3;5;0,000380477421916634;3;2;3;2;NA;NA;"extracellular vesicular exosome, cytosol, proteasome core complex, nucleoplasm, proteasome core complex, alpha-subunit complex";0,000513874614594039
"20";20;"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";3;6;0,000326311471937724;3;2;4;2;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane";0,000616649537512847
"22";22;"O14950";"O14950,P19105,P24844-1";"O14950,P19105,P24844-1";"ML12A_HUMAN, ML12B_HUMAN, MYL9_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B, Myosin regulatory light polypeptide 9";"MYL12A, MYL12B, MYL9";3;6;0,000439728468980156;2;3;2;4;0,000546971344136175;0,00111542071544456;"myosin II complex, apical part of cell, Z disc, stress fiber, cytosol, extracellular vesicular exosome";0,000616649537512847
"25";25;"O15031";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;35;0,000718725576112379;16;19;16;19;0,000816588339667935;0,000988737323524509;"integral component of plasma membrane, intracellular, extracellular vesicular exosome";0,00359712230215827
"28";28;"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;7;0,000803050218172981;3;3;3;4;0,000855370080723593;0,00116288542674007;"extracellular vesicular exosome, nucleus, Golgi apparatus, transport vesicle, recycling endosome membrane, integral component of membrane, trans-Golgi network membrane";0,000719424460431655
"29";29;"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";4;4;0,000405842583377743;4;NA;4;NA;0,00100866220988553;NA;"Arp2/3 protein complex, cytoplasm, extracellular vesicular exosome";0,000411099691675231
"30";30;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";2;5;0,000629056004235502;2;2;2;3;0,000625370570129027;0,00095647326349371;"focal adhesion, extracellular vesicular exosome, endosome, cell leading edge, cell projection, cytosol, Arp2/3 protein complex, plasma membrane, Golgi apparatus";0,000513874614594039
"37";37;"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";3;5;0,000536127276337075;3;2;3;2;0,000799479422039949;0,000543450717894153;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex";0,000513874614594039
"39";39;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;12;0,000974022200106583;4;4;6;6;0,00121039465186263;0,0012341590496693;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane";0,00123329907502569
"41";41;"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";9;17;0,00120382199684843;9;7;10;7;0,0017599547001755;0,00125615625599549;"extracellular vesicular exosome, cytosol";0,00174717368961973
