"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc"
"1";"O00299";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";5;8;0,00196463389159311;2;4;2;6;0,00117625569265145;0,00354523404923759;"brush border, mitochondrion, nuclear envelope, perinuclear region of cytoplasm, plasma membrane, blood microparticle, nuclear membrane, extracellular vesicular exosome, chloride channel complex"
"2";"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";7;16;0,000715221703737067;7;4;9;7;NA;NA;"mitochondrial outer membrane, cytoplasmic stress granule, extracellular vesicular exosome, nucleus, nuclear speck"
"3";"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";2;2;0,00035978477801971;NA;2;NA;2;NA;0,000865654919823971;"extracellular vesicular exosome, nucleus, Golgi apparatus, transport vesicle, recycling endosome membrane, integral component of membrane, trans-Golgi network membrane"
"4";"O15347";"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";2;2;0,000591845959842423;2;NA;2;NA;0,001417388109645;NA;"chromosome, nucleus"
"5";"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";1;2;0,000336276113546831;1;1;1;1;0,000402667076603692;0,000404546120201827;"cytosol, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex"
"6";"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";8;28;0,00356380362915868;8;4;17;11;0,00518184900300322;0,00336860769337952;"actin cytoskeleton, nuclear membrane, integral component of plasma membrane"
"7";"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";1;1;7,44460326845815e-05;1;NA;1;NA;0,000178287812533962;NA;"nucleolus, U12-type spliceosomal complex"
"8";"O43148";"O43148-1,O43148-2";"O43148-1,O43148-2";"MCES_HUMAN";"mRNA cap guanine-N7 methyltransferase";"RNMT";2;2;0,000124337386521517;2;NA;2;NA;NA;NA;"nucleoplasm, receptor complex, mRNA cap binding complex, nucleolus"
"9";"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";5;12;0,00133248621352891;5;3;7;5;0,00186148532223546;0,00133583709485031;"extracellular vesicular exosome, cytosol"
"10";"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";1;1;0,000110832576749517;NA;1;NA;1;NA;0,000266667105451392;"extracellular vesicular exosome, nucleoplasm, proteasome accessory complex, cytosol"
"11";"O43707";"O43707";"O43707";"ACTN4_HUMAN";"Alpha-actinin-4";"ACTN4";1;1;9,74499385031432e-05;1;NA;1;NA;0,000233378942312568;NA;"platelet alpha granule lumen, protein complex, nucleus, neuron projection, Z disc, extracellular vesicular exosome, cell-cell junction, stress fiber, cortical cytoskeleton, ribonucleoprotein complex, perinuclear region of cytoplasm, pseudopodium"
"12";"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";2;2;0,000216002175124972;NA;2;NA;2;NA;0,000519708884346873;"mitochondrion, extracellular vesicular exosome, cytosol"
"13";"O60234";"O60234";"O60234";"GMFG_HUMAN";"Glia maturation factor gamma";"GMFG";2;2;0,00083358585893299;2;NA;2;NA;0,00199632128119014;NA;"intracellular"
"14";"O60488";"O60488-1,O60488-2";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";2;2;8,32413445629287e-05;2;NA;2;NA;NA;NA;"peroxisomal membrane, neuronal cell body, endoplasmic reticulum membrane, extracellular vesicular exosome, mitochondrial outer membrane, integral component of membrane, lipid particle"
"15";"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";1;1;2,37498378748966e-05;1;NA;1;NA;NA;NA;"catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm, GAIT complex, histone pre-mRNA 3'end processing complex, endoplasmic reticulum"
"16";"O60664";"O60664-1,O60664-3";"O60664-1,O60664-3";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";2;2;0,000136370036830051;NA;2;NA;2;NA;NA;"lipid particle, endosome, Golgi apparatus, endosome membrane"
