"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5767"	"peptide.count.P5768"	"spectra.count.P5767"	"spectra.count.P5768"	"dNSAF.P5767"	"dNSAF.P5768"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"Q96RQ3"	"Q96RQ3"	"MCCA_HUMAN"	"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"	"MCCC1"	24	120	0.0221005835086155	20	17	56	64	0.0214711504662373	0.0302007348065611	0	""	""	""
"P11498"	"P11498"	"PYC_HUMAN"	"Pyruvate carboxylase, mitochondrial"	"PC"	23	62	0.00702759782620448	16	17	31	31	0.00731512410151413	0.00900309734159407	0	""	""	""
"P04264"	"P04264"	"K2C1_HUMAN"	"Keratin, type II cytoskeletal 1"	"KRT1"	21	130	0.0322593339334047	18	17	65	65	0.0336787681632886	0.0412041987999702	36	""	""	""
"P13645"	"P13645"	"K1C10_HUMAN"	"Keratin, type I cytoskeletal 10"	"KRT10"	19	111	0.0329087221392303	19	17	52	59	0.0310807963116559	0.046094804744734	39	""	""	""
"P35527"	"P35527"	"K1C9_HUMAN"	"Keratin, type I cytoskeletal 9"	"KRT9"	17	73	0.0160310737213759	15	13	35	38	0.0159385479380842	0.0214581227350547	5	""	""	""
"P49327"	"P49327"	"FAS_HUMAN"	"Fatty acid synthase"	"FASN"	17	33	0.00175480041299491	17	6	24	9	0.00265686705718076	0.00122622831175833	0	""	""	""
"P19338"	"P19338"	"NUCL_HUMAN"	"Nucleolin"	"NCL"	16	37	0.00695831165045317	16	6	25	12	0.00978784210765975	0.00578227096868577	0	""	""	""
"P26038"	"P26038"	"MOES_HUMAN"	"Moesin"	"MSN"	20	47	0.0108763342440218	15	12	28	19	0.0134892409774888	0.0112655741432078	0	""	""	""
"P35908"	"P35908"	"K22E_HUMAN"	"Keratin, type II cytoskeletal 2 epidermal"	"KRT2"	16	65	0.0193700421793285	15	12	30	35	0.0184297282626048	0.0269571614141971	50	""	""	""
"P00558"	"P00558"	"PGK1_HUMAN"	"Phosphoglycerate kinase 1"	"PGK1"	19	71	0.0227343632315344	17	17	35	36	0.0233312111631026	0.0295353409191863	0	""	""	""
"162648"	"162648"	"162648"	"albumin [Bos taurus]"	""	14	25	0.00549935579480581	11	7	14	11	0.00641127845470431	0.00619982650541404	0	""	""	""
"P13639"	"P13639"	"EF2_HUMAN"	"Elongation factor 2"	"EEF2"	12	26	0.0040461926878147	10	7	14	12	0.0045357179743654	0.00478486292280524	0	""	""	""
"P04075"	"P04075"	"ALDOA_HUMAN"	"Fructose-bisphosphate aldolase A"	"ALDOA"	11	37	0.0135725309665433	10	11	16	21	0.0122186688289027	0.0197375595565716	0	""	""	""
