"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc"
"1";"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;1;9,54815414299894e-05;1;NA;1;NA;0,000224855611952898;NA;"integral component of membrane"
"2";"A6NCN2";"A6NCN2";"A6NCN2";"K121P_HUMAN";"Keratin-81-like protein KRT121P";"KRT121P";2;8;0,00494359109759531;2;2;4;4;0,00561269840121755;0,00607830192978359;"extracellular space, keratin filament"
"3";"B2RPK0";"B2RPK0,P09429";"B2RPK0,P09429";"HGB1A_HUMAN, HMGB1_HUMAN";"High mobility group protein B1, Putative high mobility group protein B1-like 1";"HMGB1, HMGB1P1";3;5;0,000708266833142644;2;3;2;3;0,000667177214808599;0,00101003975194276;"nucleus, chromosome"
"4";"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";4;8;0,0011305730057846;4;4;4;4;0,0013312294777914;0,00134356575902457;"nucleus, cytoplasm"
"5";"O00231";"O00231-1,O00231-2";"O00231-1,O00231-2";"PSD11_HUMAN";"26S proteasome non-ATPase regulatory subunit 11";"PSMD11";5;8;0,000571984210272543;4;3;5;3;NA;NA;"nucleoplasm, proteasome accessory complex, proteasome complex, cytosol"
"6";"O00232";"O00232-1,O00232-2";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";1;2;0,000132334066192441;1;1;1;1;NA;NA;"cytosol, proteasome accessory complex, proteasome regulatory particle, nucleoplasm, extracellular vesicular exosome"
"7";"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";1;1;0,000169031748413875;NA;1;NA;1;NA;0,000401752506374993;"eukaryotic 48S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex"
"8";"O00429";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";2;4;5,46597229925302e-05;NA;2;NA;4;NA;NA;"cytosol, cell junction, microtubule, intracellular membrane-bounded organelle, peroxisome, synaptic vesicle membrane, perinuclear region of cytoplasm, mitochondrial outer membrane, Golgi apparatus, mitochondrion, coated pit, protein complex, cytoplasm"
"9";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";2;4;0,00297996712018535;2;2;2;2;0,00350885794454893;0,00354137394508327;"mitochondrial respiratory chain complex IV, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"10";"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";2;2;0,000389318285056473;NA;2;NA;2;NA;0,0009253267404895;"proteasome complex, nucleoplasm, cytosol, proteasome regulatory particle, lid subcomplex, proteasome accessory complex"
