"";"accession";"name";"go_name"
"1";"P31946";"1433B_HUMAN";"C:melanosome, P:MAPK cascade, C:perinuclear region of cytoplasm, P:epidermal growth factor receptor signaling pathway, P:fibroblast growth factor receptor signaling pathway, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:insulin receptor signaling pathway, P:innate immune response, C:extracellular vesicular exosome, P:negative regulation of protein dephosphorylation, C:cytosol, C:cytoplasmic vesicle membrane, P:gene expression, P:cytoplasmic sequestering of protein, C:transcriptional repressor complex, P:mRNA metabolic process, P:neurotrophin TRK receptor signaling pathway, P:Fc-epsilon receptor signaling pathway, P:hippo signaling, P:Ras protein signal transduction, P:negative regulation of transcription, DNA-templated, F:transcription corepressor activity, P:protein heterooligomerization, P:activation of MAPKK activity, P:axon guidance, P:intrinsic apoptotic signaling pathway, P:protein targeting"
"2";"P62258";"1433E_HUMAN";"C:mitochondrion, P:hippocampus development, F:potassium channel regulator activity, P:regulation of potassium ion transmembrane transporter activity, P:regulation of membrane repolarization, P:negative regulation of peptidyl-serine dephosphorylation, P:intrinsic apoptotic signaling pathway, P:membrane repolarization during cardiac muscle cell action potential, P:protein targeting, P:substantia nigra development, P:neuron migration, C:cytosol, P:regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:neurotrophin TRK receptor signaling pathway, P:viral process, F:MHC class II protein complex binding, C:extracellular vesicular exosome, C:kinesin complex, P:regulation of heart rate by hormone, C:cytoplasmic vesicle membrane, P:hippo signaling, C:melanosome, P:regulation of heart rate by cardiac conduction, P:G2/M transition of mitotic cell cycle, P:cerebral cortex development, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway"
"3";"P31947";"1433S_HUMAN";"P:positive regulation of cell growth, C:extracellular space, P:keratinocyte proliferation, C:cytoplasmic vesicle membrane, C:cytosol, F:protein kinase C inhibitor activity, C:nucleus, P:negative regulation of cysteine-type endopeptidase activity involved in apoptotic process, P:positive regulation of protein export from nucleus, P:intrinsic apoptotic signaling pathway in response to DNA damage, C:extracellular vesicular exosome, P:keratinocyte differentiation, P:release of cytochrome c from mitochondria, P:negative regulation of cell proliferation, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:regulation of cyclin-dependent protein serine/threonine kinase activity"
"4";"P27348";"1433T_HUMAN";"C:cytosol, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:small GTPase mediated signal transduction, C:protein complex, C:extracellular vesicular exosome, P:intrinsic apoptotic signaling pathway, C:cytoplasmic vesicle membrane, P:protein targeting, P:substantia nigra development, P:negative regulation of transcription, DNA-templated"
"5";"P63104";"1433Z_HUMAN";"C:cytosol, C:blood microparticle, P:platelet activation, C:protein complex, C:mast cell granule, C:perinuclear region of cytoplasm, C:postsynaptic density, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, C:melanosome, C:nucleoplasm, C:mitochondrion, P:histamine secretion by mast cell, P:intrinsic apoptotic signaling pathway, P:mRNA metabolic process, P:gene expression, C:cell leading edge, C:extracellular vesicular exosome, P:negative regulation of apoptotic process, P:protein targeting to mitochondrion, C:cytoplasmic vesicle membrane"
"6";"P08195";"4F2_HUMAN";"P:leucine import, C:apical plasma membrane, C:melanosome, P:response to exogenous dsRNA, F:calcium:sodium antiporter activity, F:cation binding, F:neutral amino acid transmembrane transporter activity, C:extracellular vesicular exosome, C:integral component of membrane, P:tryptophan transport, P:leukocyte migration, P:cell growth, C:plasma membrane, P:blood coagulation, F:catalytic activity, P:carbohydrate metabolic process, F:double-stranded RNA binding"
"7";"P56378";"68MP_HUMAN";"C:integral component of membrane, C:mitochondrial proton-transporting ATP synthase complex"
"8";"P52209";"6PGD_HUMAN";"F:NADP binding, C:extracellular vesicular exosome, P:pentose biosynthetic process, F:phosphogluconate dehydrogenase (decarboxylating) activity, P:D-gluconate metabolic process, P:pentose-phosphate shunt, oxidative branch, C:cytosol"
"9";"Q15758";"AAAT_HUMAN";"F:L-glutamine transmembrane transporter activity, P:sodium ion transmembrane transport, C:extracellular vesicular exosome, C:integral component of plasma membrane, C:Golgi apparatus, C:melanosome, P:extracellular amino acid transport, F:L-serine transmembrane transporter activity, F:sodium:dicarboxylate symporter activity, F:receptor activity, F:virus receptor activity, P:response to virus"
"10";"P00505";"AATM_HUMAN";"P:4-hydroxyproline catabolic process, C:mitochondrial matrix, P:response to ethanol, P:2-oxoglutarate metabolic process, P:glutamate catabolic process to aspartate, P:aspartate biosynthetic process, F:L-aspartate:2-oxoglutarate aminotransferase activity, F:pyridoxal phosphate binding, P:glutamate catabolic process to 2-oxoglutarate, P:aspartate catabolic process, P:oxaloacetate metabolic process, C:extracellular vesicular exosome, C:mitochondrial inner membrane, F:kynurenine-oxoglutarate transaminase activity, F:L-phenylalanine:2-oxoglutarate aminotransferase activity, P:L-kynurenine metabolic process, P:cellular amino acid biosynthetic process, C:plasma membrane, P:fatty acid transport, P:cellular nitrogen compound metabolic process, P:gluconeogenesis, P:glutamate metabolic process"
