"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"1";1;"A1L0T0";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";1;1;9,54815414299894e-05;1;NA;1;NA;0,000224855611952898;NA;"integral component of membrane";0,000171291538198013
"8";8;"O00429";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"O00429-1,O00429-2,O00429-3,O00429-4,O00429-5,O00429-6";"DNM1L_HUMAN";"Dynamin-1-like protein";"DNM1L";2;4;5,46597229925302e-05;NA;2;NA;4;NA;NA;"cytosol, cell junction, microtubule, intracellular membrane-bounded organelle, peroxisome, synaptic vesicle membrane, perinuclear region of cytoplasm, mitochondrial outer membrane, Golgi apparatus, mitochondrion, coated pit, protein complex, cytoplasm";0,000685166152792052
"9";9;"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";2;4;0,00297996712018535;2;2;2;2;0,00350885794454893;0,00354137394508327;"mitochondrial respiratory chain complex IV, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I";0,000685166152792052
"13";13;"O00763";"O00763-1";"O00763-1";"ACACB_HUMAN";"Acetyl-CoA carboxylase 2";"ACACB";1;1;3,04760813475368e-05;1;0;1;0;NA;NA;"mitochondrial outer membrane, cytosol, endomembrane system";0,000171291538198013
"29";29;"O43747";"O43747-1,O43747-2";"O43747-1,O43747-2";"AP1G1_HUMAN";"AP-1 complex subunit gamma-1";"AP1G1";2;2;7,34115987636901e-05;NA;2;NA;2;NA;NA;"cytoplasm, cytosol, trans-Golgi network membrane, clathrin adaptor complex, clathrin-coated vesicle, intracellular membrane-bounded organelle, AP-type membrane coat adaptor complex, cytoplasmic vesicle membrane, recycling endosome, clathrin-coated vesicle membrane, lysosomal membrane, perinuclear region of cytoplasm, Golgi apparatus, Golgi membrane";0,000342583076396026
"40";40;"O75489";"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";2;5;0,00114288511711654;1;2;1;4;0,000538290707402392;0,00217311582993746;"mitochondrial inner membrane, nucleus, mitochondrial membrane, mitochondrial respiratory chain complex I, mitochondrion";0,000856457690990065
"42";42;"O75533";"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";12;24;0,00111063191749239;10;11;11;13;0,00119877010298815;0,00142985688810302;"catalytic step 2 spliceosome, nucleus, spliceosomal complex, nucleoplasm, U12-type spliceosomal complex, nuclear speck, intracellular membrane-bounded organelle";0,00411099691675231
"45";45;"O75915";"O75915";"O75915";"PRAF3_HUMAN";"PRA1 family protein 3";"ARL6IP5";1;4;0,00128392200390964;1;1;2;2;0,00151179517823651;0,00152580473165822;"integral component of membrane, endoplasmic reticulum, endoplasmic reticulum membrane";0,000685166152792052
"47";47;"O75947";"O75947-1,O75947-2";"O75947-1,O75947-2";"ATP5H_HUMAN";"ATP synthase subunit d, mitochondrial";"ATP5H";3;5;0,000937023822729088;3;2;3;2;NA;NA;"mitochondrial proton-transporting ATP synthase complex, mitochondrion, mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";0,000856457690990065
"53";53;"O94826";"O94826";"O94826";"TOM70_HUMAN";"Mitochondrial import receptor subunit TOM70";"TOMM70A";1;1;9,92505496443311e-05;1;NA;1;NA;0,000233731491372091;NA;"integral component of membrane, mitochondrion, mitochondrial outer membrane translocase complex";0,000171291538198013
