"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5829-1.id.csv";"peptide.count.P5829-2.id.csv";"spectra.count.P5829-1.id.csv";"spectra.count.P5829-2.id.csv";"dNSAF.P5829-1.id.csv";"dNSAF.P5829-2.id.csv";"Go.Cc"
"1";"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";2;2;0,00099853094662836;NA;2;NA;2;NA;0,00233303909365692;"spliceosomal complex"
"2";"O00299";"O00299";"CLIC1_HUMAN";"Chloride intracellular channel protein 1";"CLIC1";6;15;0,00472334140728768;5;6;8;7;0,00593881370848947;0,00515011119429661;"chloride channel complex, nuclear envelope, blood microparticle, extracellular vesicular exosome, brush border, nuclear membrane, perinuclear region of cytoplasm, nucleus, extracellular space, cytoplasm, plasma membrane, mitochondrion"
"3";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";1;1;0,000936893233873523;1;NA;1;NA;0,00220872546874377;NA;"mitochondrial respiratory chain complex IV, mitochondrion, mitochondrial inner membrane, mitochondrial respiratory chain complex I"
"4";"O00571";"O00571-1,O00571-2,O15523";"DDX3X_HUMAN, DDX3Y_HUMAN, O15523";"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] ";"DDX3X, DDX3Y";1;1;4,41348200665451e-05;1;0;1;0;0,000316249328479221;0;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm"
"5";"O14818";"O14818-1,O14818-2";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";2;3;0,000459002128692069;2;1;2;1;NA;NA;"proteasome core complex, proteasome complex, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"6";"O14929";"O14929-1,O14929-2";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";1;1;9,05588925343143e-05;NA;1;NA;1;NA;NA;"intracellular membrane-bounded organelle, nucleoplasm, nucleus, nuclear matrix, cytoplasm"
"7";"O14950";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";2;4;0,000884995357944669;2;2;2;2;0,00104318812226382;0,00103388321351561;"cytosol, apical part of cell, stress fiber, myosin II complex, Z disc, extracellular vesicular exosome"
"8";"O14979";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRNPDL";3;5;0,000395251833040392;2;3;2;3;NA;NA;"spliceosomal complex, cytoplasm, nucleus"
"9";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";4;6;0,000425144828816557;4;2;4;2;0,000668185856090552;0,000331112924589965;"nucleus, cytoplasm, nuclear envelope, annulate lamellae, kinetochore, intracellular membrane-bounded organelle, nucleolus, nuclear membrane, nucleoplasm, Cajal body, cytosol, ribonucleoprotein complex"
"10";"O15145";"O15145";"ARPC3_HUMAN";"Actin-related protein 2/3 complex subunit 3";"ARPC3";2;2;0,000852678111727588;2;NA;2;NA;0,00201018834795781;NA;"Arp2/3 protein complex, actin cytoskeleton, extracellular vesicular exosome, cytosol, lamellipodium"
