"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5829-1.id.csv";"peptide.count.P5829-2.id.csv";"spectra.count.P5829-1.id.csv";"spectra.count.P5829-2.id.csv";"dNSAF.P5829-1.id.csv";"dNSAF.P5829-2.id.csv"
"162648";"162648";"162648";"162648";"albumin [Bos taurus]";"";33;78;0,00975171573577087;31;26;41;37;0,012084311831463;0,0108080822592476
"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";24;101;0,0148214871979749;23;22;48;53;0,0166472299577951;0,0181309644960771
"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";23;95;0,0116457674768254;23;23;48;47;0,0138697645019698;0,0134640188100122
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";23;135;0,0230188993878334;21;21;66;69;0,0268071717054098;0,0272103139336426
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";22;53;0,0070193414537854;22;19;29;24;0,00905461802108048;0,00742663753373513
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";21;39;0,00344947054289797;17;17;20;19;0,00417032081511061;0,00392646672638765
"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";21;184;0,0334941679713559;20;21;95;89;0,0403464371983997;0,0382761871361257
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";23;47;0,00855336340852878;21;21;23;24;0,00986775910856029;0,0102049479780101
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";19;46;0,00849577921388109;17;18;22;24;0,00961197513347591;0,010325214262673
"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";17;30;0,00320655008213051;14;14;16;14;0,00403170170069285;0,00349627266993094
"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";17;32;0,00229529986975442;16;13;18;14;0,00304378235673763;0,00234626993917861
"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";16;38;0,00678612944332633;14;16;17;21;0,00700167409525076;0,00892556306669131
"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";19;36;0,00435722594892375;15;19;17;19;0,00485074157968129;0,00537305973084625
"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";14;31;0,00425413907822137;13;14;14;17;0,00452928513843659;0,00545078934720569
"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"Q00839-[1,2]";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";14;24;0,00110383057372735;12;10;13;11;NA;NA
"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";13;28;0,00621418266536954;10;12;13;15;0,00684592205235632;0,00773658083416938
"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";13;18;0,00204972568119961;9;9;9;9;0,00247017806012857;0,00235021905752774
"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"P61978-[1-3]";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";13;27;0,00147515154966263;12;12;14;13;NA;NA
"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";12;20;0,0030054792849012;11;8;12;8;0,00425124981310682;0,00280888667117507
