"";"X";"accession";"name";"go_name"
"1";1;"Q562R1";"ACTBL_HUMAN";"F:ATP binding, C:cytoplasm, C:extracellular space, C:cytoskeleton, C:extracellular vesicular exosome"
"2";2;"P63261";"ACTG_HUMAN";"P:axon guidance, C:myofibril, P:innate immune response, P:sarcomere organization, C:cytoskeleton, F:structural constituent of cytoskeleton, F:ATP binding, P:cell junction assembly, P:adherens junction organization, P:Fc-gamma receptor signaling pathway involved in phagocytosis, P:retina homeostasis, C:cytosol, C:extracellular vesicular exosome, C:blood microparticle, C:filamentous actin"
"3";3;"P68133";"ACTS_HUMAN";"C:blood microparticle, F:structural constituent of cytoskeleton, P:response to lithium ion, P:response to extracellular stimulus, C:extracellular vesicular exosome, P:response to mechanical stimulus, F:ATP binding, P:skeletal muscle thin filament assembly, C:cytosol, P:skeletal muscle fiber adaptation, P:response to steroid hormone, F:myosin binding, P:cell growth, P:skeletal muscle fiber development, C:striated muscle thin filament, C:stress fiber, C:actin filament, F:ADP binding, P:muscle filament sliding"
"4";4;"P05141";"ADT2_HUMAN";"P:energy reserve metabolic process, P:negative regulation of mitochondrial outer membrane permeabilization, P:regulation of insulin secretion, C:MMXD complex, C:mitochondrial nucleoid, C:integral component of plasma membrane, P:positive regulation of cell proliferation, P:viral process, P:small molecule metabolic process, P:chromosome segregation, F:adenine transmembrane transporter activity, C:mitochondrial inner membrane"
"5";5;"P02768";"ALBU_HUMAN";"F:copper ion binding, P:maintenance of mitochondrion location, P:response to platinum ion, P:sodium-independent organic anion transport, P:lipoprotein metabolic process, P:response to nutrient, F:pyridoxal phosphate binding, C:blood microparticle, P:cellular response to starvation, P:negative regulation of apoptotic process, P:bile acid and bile salt transport, P:response to mercury ion, P:platelet degranulation, P:response to organic substance, F:DNA binding, F:toxic substance binding, P:positive regulation of circadian sleep/wake cycle, non-REM sleep, F:fatty acid binding, F:drug binding, P:transmembrane transport, C:basement membrane, P:retina homeostasis, C:protein complex, F:antioxidant activity, P:bile acid metabolic process, F:zinc ion binding, P:hemolysis by symbiont of host erythrocytes, C:extracellular vesicular exosome, C:platelet alpha granule lumen, P:platelet activation"
"6";6;"P07355";"ANXA2_HUMAN";"C:extracellular vesicular exosome, P:positive regulation of fibroblast proliferation, C:cell surface, C:myelin sheath adaxonal region, P:positive regulation of binding, F:calcium ion binding, C:melanosome, P:membrane budding, C:midbody, C:lipid particle, C:extracellular space, C:Schmidt-Lanterman incisure, P:fibrinolysis, C:protein complex, C:extrinsic component of plasma membrane, F:calcium-dependent phospholipid binding, F:phospholipase A2 inhibitor activity, P:positive regulation of vesicle fusion, C:macropinosome, P:collagen fibril organization, P:osteoclast development, P:angiogenesis, P:protein targeting to plasma membrane, P:cellular response to acid, C:basement membrane, P:protein heterotetramerization, P:membrane raft assembly, P:body fluid secretion, C:ruffle, C:perinuclear region of cytoplasm, F:phosphatidylinositol-4,5-bisphosphate binding, C:sarcolemma, C:early endosome, C:cell cortex, P:positive regulation of protein phosphorylation"
"7";7;"P05089";"ARGI1_HUMAN";"P:cellular response to transforming growth factor beta stimulus, P:positive regulation of endothelial cell proliferation, P:response to amine, P:cellular response to glucagon stimulus, P:cellular response to hydrogen peroxide, C:neuron projection, P:response to selenium ion, C:extracellular space, F:arginase activity, P:mammary gland involution, P:response to herbicide, P:response to methylmercury, P:response to manganese ion, P:urea cycle, P:response to drug, P:cellular response to interleukin-4, P:response to zinc ion, P:arginine catabolic process, P:response to axon injury, C:cytosol, C:neuronal cell body, P:regulation of L-arginine import, P:maternal process involved in female pregnancy, P:lung development, P:response to cadmium ion, P:protein homotrimerization, P:cellular response to dexamethasone stimulus, P:response to vitamin E, P:collagen biosynthetic process, P:response to amino acid, P:liver development, F:manganese ion binding, P:cellular response to lipopolysaccharide, P:response to vitamin A"
"8";8;"P25705";"ATPA_HUMAN";"C:mitochondrial matrix, F:MHC class I protein binding, C:plasma membrane, P:lipid metabolic process, F:ATP binding, P:negative regulation of endothelial cell proliferation, F:proton-transporting ATPase activity, rotational mechanism, P:ATP hydrolysis coupled proton transport, P:respiratory electron transport chain, P:embryo development, C:mitochondrial proton-transporting ATP synthase complex, P:mitochondrial ATP synthesis coupled proton transport, C:proton-transporting ATP synthase complex, catalytic core F(1), C:extracellular vesicular exosome, F:proton-transporting ATP synthase activity, rotational mechanism"
"11";11;"P04040";"CATA_HUMAN";"P:kidney development, P:response to hypoxia, F:NADP binding, P:cholesterol metabolic process, C:endoplasmic reticulum, P:hemoglobin metabolic process, C:peroxisomal matrix, F:aminoacylase activity, P:negative regulation of apoptotic process, P:positive regulation of NF-kappaB transcription factor activity, F:catalase activity, P:response to hyperoxia, P:hydrogen peroxide catabolic process, P:negative regulation of NF-kappaB transcription factor activity, F:protein homodimerization activity, P:triglyceride metabolic process, F:metal ion binding, C:Golgi apparatus, C:lysosome, P:positive regulation of phosphatidylinositol 3-kinase signaling, C:cytosol, P:UV protection, P:cellular response to growth factor stimulus, C:peroxisomal membrane, P:aerobic respiration, P:ureteric bud development, P:response to vitamin E, F:heme binding, P:positive regulation of cell division, P:protein homotetramerization, P:menopause, P:purine nucleobase metabolic process, C:mitochondrial intermembrane space, C:plasma membrane, P:purine nucleotide catabolic process"
"12";12;"P02452";"CO1A1_HUMAN";"C:extracellular space, P:embryonic skeletal system development, P:cellular response to retinoic acid, P:response to hydrogen peroxide, P:positive regulation of transcription, DNA-templated, P:collagen catabolic process, P:face morphogenesis, P:collagen fibril organization, P:cellular response to transforming growth factor beta stimulus, P:positive regulation of cell migration, P:response to estradiol, P:cartilage development involved in endochondral bone morphogenesis, P:skin morphogenesis, C:collagen type I, P:leukocyte migration, P:platelet activation, P:visual perception, P:intramembranous ossification, P:endochondral ossification, F:identical protein binding, P:protein transport, P:bone trabecula formation, P:sensory perception of sound, F:platelet-derived growth factor binding, P:cellular response to amino acid stimulus, P:osteoblast differentiation, P:blood vessel development, P:tooth mineralization, P:protein localization to nucleus, C:endoplasmic reticulum lumen, P:response to peptide hormone, P:cellular response to mechanical stimulus, F:extracellular matrix structural constituent, P:extracellular matrix disassembly, P:response to cAMP, F:metal ion binding, P:protein heterotrimerization, P:response to nutrient, P:response to corticosteroid, P:collagen biosynthetic process, P:positive regulation of epithelial to mesenchymal transition, P:negative regulation of cell-substrate adhesion, P:positive regulation of canonical Wnt signaling pathway"
