"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5455.1.id.csv";"peptide.count.P5455.2.id.csv";"spectra.count.P5455.1.id.csv";"spectra.count.P5455.2.id.csv";"dNSAF.P5455.1.id.csv";"dNSAF.P5455.2.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"1";"O00182";1;1;"O00182-1,O00182-2,Q3B8N2-1,Q3B8N2-2,Q6DKI2";"LEG9_HUMAN, LEG9B_HUMAN, LEG9C_HUMAN";"Galectin-9, Galectin-9B, Galectin-9C";"LGALS9, LGALS9B, LGALS9C";2;2;0,000169683174535407;NA;2;NA;2;NA;0,00251678716615462;"extracellular vesicular exosome, cytoplasm";0,000489955903968643;"galactose binding, signal transducer activity, carbohydrate binding"
"2";"O00592";3;3;"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;6;0,000811012592268691;3;3;3;3;NA;NA;"lamellipodium, plasma membrane, cytoplasm, cell body, ruffle, microvillus membrane, integral component of plasma membrane, slit diaphragm, filopodium, extracellular vesicular exosome, membrane raft, extracellular space, apical plasma membrane";0,00146986771190593;"protein binding"
"3";"O14672";4;4;"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";6;9;0,00181502015970293;5;4;5;4;0,00298561160702748;0,00239565837206161;"Golgi-associated vesicle, extracellular vesicular exosome, postsynaptic density, cell surface, cytoplasm, Golgi apparatus, nucleus, plasma membrane, tetraspanin-enriched microdomain, integral component of membrane, perinuclear endoplasmic reticulum";0,00220480156785889;"metalloendopeptidase activity, integrin binding, protein binding, protein kinase binding, protein homodimerization activity, zinc ion binding, receptor binding, metallopeptidase activity, endopeptidase activity"
"4";"O15031";7;7;"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;34;0,00287374507261297;18;15;18;16;0,00448924091519301;0,00403426316979195;"extracellular vesicular exosome, integral component of plasma membrane, intracellular";0,00832925036746693;"GTPase activator activity, protein binding, semaphorin receptor activity"
"5";"O15427";9;9;"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";3;4;0,00129762014762991;2;2;2;2;0,00192106450069381;0,0019268306046259;"integral component of plasma membrane, plasma membrane, actin cytoskeleton, nuclear membrane, membrane";0,000979911807937286;"symporter activity, monocarboxylic acid transmembrane transporter activity, poly(A) RNA binding, secondary active monocarboxylate transmembrane transporter activity"
"6";"O15431";10;10;"O15431";"COPT1_HUMAN";"High affinity copper uptake protein 1";"SLC31A1";2;4;0,00317575457183108;2;2;2;2;0,00470155259380328;0,00471566437447917;"integral component of plasma membrane, plasma membrane";0,000979911807937286;"copper ion transmembrane transporter activity"
"7";"O15439";11;11;"O15439-1";"MRP4_HUMAN";"Multidrug resistance-associated protein 4";"ABCC4";18;29;0,00330158635675269;17;12;17;12;NA;NA;"membrane, plasma membrane, integral component of membrane, platelet dense granule membrane";0,00710436060754532;"ATPase activity, coupled to transmembrane movement of substances, ATP binding, 15-hydroxyprostaglandin dehydrogenase (NAD+) activity"
"8";"O43175";12;12;"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";4;5;0,00141508763754199;3;2;3;2;0,00251396339443515;0,00168100606219708;"extracellular vesicular exosome, cytosol";0,00122488975992161;"electron carrier activity, phosphoglycerate dehydrogenase activity, NAD binding"
"9";"O75144";16;16;"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";3;6;0,0014984934651852;3;3;3;3;NA;NA;"integral component of plasma membrane, plasma membrane, extracellular vesicular exosome, integral component of membrane, external side of plasma membrane";0,00146986771190593;"receptor binding"
"10";"O95297";18;18;"O95297-1,O95297-2,O95297-3,O95297-4";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;0,000700968132722939;2;2;2;3;NA;NA;"integral component of plasma membrane";0,00122488975992161;"protein binding, structural molecule activity"
"11";"O95858";20;20;"O95858";"TSN15_HUMAN";"Tetraspanin-15";"TSPAN15";3;5;0,00256544799595198;3;2;3;2;0,00455762751440114;0,00304753820119402;"plasma membrane, integral component of plasma membrane, extracellular vesicular exosome, membrane";0,00122488975992161;"enzyme binding"
