"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5455-1.id.csv";"peptide.count.P5455-2.id.csv";"spectra.count.P5455-1.id.csv";"spectra.count.P5455-2.id.csv";"dNSAF.P5455-1.id.csv";"dNSAF.P5455-2.id.csv";"Go.Cc"
"1";"O00182";"O00182-1,O00182-2,Q3B8N2-1,Q3B8N2-2,Q6DKI2";"LEG9_HUMAN, LEG9B_HUMAN, LEG9C_HUMAN";"Galectin-9, Galectin-9B, Galectin-9C";"LGALS9, LGALS9B, LGALS9C";2;2;0,000169683174535407;NA;2;NA;2;NA;0,00251678716615462;"extracellular vesicular exosome, cytoplasm"
"2";"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";14;22;0,00151260871812374;11;11;11;11;NA;NA;"intracellular membrane-bounded organelle, nuclear pore, nuclear membrane, Golgi apparatus, nucleus, cytoplasm"
"3";"O00592";"O00592-1,O00592-2";"PODXL_HUMAN";"Podocalyxin";"PODXL";3;6;0,000811012592268691;3;3;3;3;NA;NA;"lamellipodium, plasma membrane, cytoplasm, cell body, ruffle, microvillus membrane, integral component of plasma membrane, slit diaphragm, filopodium, extracellular vesicular exosome, membrane raft, extracellular space, apical plasma membrane"
"4";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";6;9;0,00181502015970293;5;4;5;4;0,00298561160702748;0,00239565837206161;"Golgi-associated vesicle, extracellular vesicular exosome, postsynaptic density, cell surface, cytoplasm, Golgi apparatus, nucleus, plasma membrane, tetraspanin-enriched microdomain, integral component of membrane, perinuclear endoplasmic reticulum"
"5";"O14929";"O14929-1,O14929-2";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";1;1;0,000180009954847227;1;NA;1;NA;NA;NA;"nucleoplasm, protein complex, cytoplasm, intracellular membrane-bounded organelle, nuclear matrix, nuclear chromatin, nucleus"
"6";"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";10;15;0,00211272187901928;8;7;8;7;0,00333630249420214;0,00292802689918642;"kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, ribonucleoprotein complex, nuclear envelope, nuclear membrane, cytosol, nucleoplasm, nucleus, intracellular membrane-bounded organelle"
"7";"O15031";"O15031";"PLXB2_HUMAN";"Plexin-B2";"PLXNB2";21;34;0,00287374507261297;18;15;18;16;0,00448924091519301;0,00403426316979195;"extracellular vesicular exosome, integral component of plasma membrane, intracellular"
"8";"O15394";"O15394";"NCAM2_HUMAN";"Neural cell adhesion molecule 2";"NCAM2";5;7;0,00126157514352907;5;2;5;2;0,00266814513985252;0,00107046144701439;"integral component of membrane, axon, plasma membrane"
"9";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";3;4;0,00129762014762991;2;2;2;2;0,00192106450069381;0,0019268306046259;"integral component of plasma membrane, plasma membrane, actin cytoskeleton, nuclear membrane, membrane"
"10";"O15431";"O15431";"COPT1_HUMAN";"High affinity copper uptake protein 1";"SLC31A1";2;4;0,00317575457183108;2;2;2;2;0,00470155259380328;0,00471566437447917;"integral component of plasma membrane, plasma membrane"
"11";"O15439";"O15439-1";"MRP4_HUMAN";"Multidrug resistance-associated protein 4";"ABCC4";18;29;0,00330158635675269;17;12;17;12;NA;NA;"membrane, plasma membrane, integral component of membrane, platelet dense granule membrane"
"12";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";4;5;0,00141508763754199;3;2;3;2;0,00251396339443515;0,00168100606219708;"extracellular vesicular exosome, cytosol"
"13";"O43592";"O43592";"XPOT_HUMAN";"Exportin-T";"XPOT";5;6;0,000940842050906298;4;2;4;2;0,00185716214724038;0,000931368223649733;"cytoplasm, nucleoplasm, nucleus"
"14";"O43699";"O43699-1,O43699-3";"SIGL6_HUMAN";"Sialic acid-binding Ig-like lectin 6";"SIGLEC6";2;2;0,000332998547818933;2;NA;2;NA;NA;NA;"extracellular region, membrane, integral component of plasma membrane"
"15";"O43736";"O43736-1,O43736-2";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";2;4;0,00114713568184013;2;2;2;2;NA;NA;"integral component of membrane"
"16";"O75144";"O75144-1,O75144-2";"ICOSL_HUMAN";"ICOS ligand";"ICOSLG";3;6;0,0014984934651852;3;3;3;3;NA;NA;"integral component of plasma membrane, plasma membrane, extracellular vesicular exosome, integral component of membrane, external side of plasma membrane"
"17";"O94986";"O94986-1,O94986-2,O94986-3";"CE152_HUMAN";"Centrosomal protein of 152 kDa";"CEP152";2;2;5,88102698487238e-05;2;NA;2;NA;NA;NA;"cytosol, deuterosome, nucleus, centrosome"
"18";"O95297";"O95297-1,O95297-2,O95297-3,O95297-4";"MPZL1_HUMAN";"Myelin protein zero-like protein 1";"MPZL1";2;5;0,000700968132722939;2;2;2;3;NA;NA;"integral component of plasma membrane"
"19";"O95373";"O95373";"IPO7_HUMAN";"Importin-7";"IPO7";3;5;0,000726629779200272;2;3;2;3;0,000860592478634511;0,00129476333981365;"cytoplasm, nuclear pore"
"20";"O95858";"O95858";"TSN15_HUMAN";"Tetraspanin-15";"TSPAN15";3;5;0,00256544799595198;3;2;3;2;0,00455762751440114;0,00304753820119402;"plasma membrane, integral component of plasma membrane, extracellular vesicular exosome, membrane"
"21";"P00338";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";6;10;0,00257472069955181;5;5;5;5;NA;NA;"extracellular vesicular exosome, cilium, nucleus, cytosol, mitochondrion"
"22";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";16;28;0,0101289054689097;15;12;15;13;0,0160664567054429;0,0139660563608676;"cytosol, extracellular vesicular exosome"
"23";"P00813";"P00813";"ADA_HUMAN";"Adenosine deaminase";"ADA";8;19;0,00789564325365717;8;8;10;9;0,0123043387441133;0,0111071433613766;"cell surface, cytoplasmic membrane-bounded vesicle lumen, cytoplasm, external side of plasma membrane, plasma membrane, cell junction, cytosol, neuronal cell body, membrane, dendrite cytoplasm, lysosome, extracellular space"
"24";"P01889";"P01889";"1B07_HUMAN";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, cell surface, Golgi membrane, endoplasmic reticulum, Golgi apparatus, plasma membrane, phagocytic vesicle membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane, early endosome membrane, integral component of plasma membrane, MHC class I protein complex"
"25";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;12;0,0172398105327973;2;2;6;6;0,0242990223096565;0,0268266855902367;"ER to Golgi transport vesicle membrane, endoplasmic reticulum exit site, early endosome membrane, Golgi apparatus, cell surface, MHC class I protein complex, phagocytic vesicle membrane, Golgi medial cisterna, integral component of lumenal side of endoplasmic reticulum membrane, endoplasmic reticulum, plasma membrane, Golgi membrane"
"26";"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";2;2;0,00118778222174785;NA;2;NA;2;NA;0,00352746547697261;"extracellular vesicular exosome, cell surface, endocytic vesicle membrane, plasma membrane, Golgi membrane, late endosome membrane, transport vesicle membrane, integral component of plasma membrane, lysosome, clathrin-coated endocytic vesicle membrane, ER to Golgi transport vesicle membrane, MHC class II protein complex, trans-Golgi network membrane, lysosomal membrane, integral component of lumenal side of endoplasmic reticulum membrane"
"27";"P01911";"P01911";"2B1F_HUMAN";"HLA class II histocompatibility antigen, DRB1-15 beta chain";"HLA-DRB1";0;0;NA;0;0;0;0;0;NA;"endocytic vesicle membrane, clathrin-coated endocytic vesicle membrane, cell surface, ER to Golgi transport vesicle membrane, trans-Golgi network membrane, transport vesicle membrane, Golgi membrane, late endosome membrane, MHC class II protein complex, integral component of lumenal side of endoplasmic reticulum membrane, lysosomal membrane, extracellular vesicular exosome, plasma membrane"
"28";"P01912";"P01912,Q5Y7A7";"2B13_HUMAN, 2B1D_HUMAN";"HLA class II histocompatibility antigen, DRB1-13 beta chain, HLA class II histocompatibility antigen, DRB1-3 chain";"HLA-DRB1";1;2;0,00198484660739443;1;1;1;1;0,00251868888953747;0,00336833169605655;"late endosome membrane, clathrin-coated endocytic vesicle membrane, lysosomal membrane, ER to Golgi transport vesicle membrane, plasma membrane, MHC class II protein complex, endocytic vesicle membrane, Golgi membrane, trans-Golgi network membrane, integral component of lumenal side of endoplasmic reticulum membrane, transport vesicle membrane"
"29";"P02042";"P02042,P68871";"HBB_HUMAN, HBD_HUMAN";"Hemoglobin subunit beta, Hemoglobin subunit delta";"HBB, HBD";2;3;0,00153926879757119;NA;2;NA;3;NA;0,00457130730179104;"blood microparticle, hemoglobin complex, cytosol"
"30";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";2;3;0,00236835934170454;2;1;2;1;0,00392033214162471;0,00291283915007462;"cytoplasm, cell periphery, nucleus, keratin filament, intermediate filament, cytosol, extracellular vesicular exosome"
"31";"P02765";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";3;12;0,00493237086088207;2;3;6;6;0,007302138905907;0,00732405638543087;"extracellular region, blood microparticle, extracellular vesicular exosome, extracellular space"
