"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5828.1.id.csv";"peptide.count.P5828.2.id.csv";"spectra.count.P5828.1.id.csv";"spectra.count.P5828.2.id.csv";"dNSAF.P5828.1.id.csv";"dNSAF.P5828.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;1;0,000179473911821042;0;1;0;1;NA;NA;"cytoplasm, microtubule";0,000230043708304578
"5";5;"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;4,25170138131293e-05;2;NA;2;NA;NA;NA;"kinesin complex, cytosol, microtubule, centrosome, spindle pole";0,000460087416609156
"6";6;"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";4;9;0,00126535412537997;NA;4;NA;9;NA;0,00250301690477108;"nucleus, cytoplasm";0,0020703933747412
"10";10;"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";2;2;0,000387316280671862;2;NA;2;NA;0,00115071580827472;NA;"proteasome accessory complex, nucleoplasm, proteasome complex, proteasome regulatory particle, lid subcomplex, cytosol";0,000460087416609156
"12";12;"O00567";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";6;8;0,000808539037092776;4;4;4;4;0,00120108384028674;0,000799691895501124;"box C/D snoRNP complex, nucleolus, pre-snoRNP complex, cytoplasm, small nucleolar ribonucleoprotein complex";0,00184034966643662
"18";18;"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";2;3;0,00014293815120033;1;1;1;2;NA;NA;"nucleus, spliceosomal complex, cytoplasm";0,000690131124913734
"21";21;"O15042";"O15042-1,O15042-2,O15042-3";"O15042-1,O15042-2,O15042-3";"SR140_HUMAN";"U2 snRNP-associated SURP motif-containing protein";"U2SURP";1;1;1,9447367510249e-05;NA;1;NA;1;NA;NA;"nucleus";0,000230043708304578
"28";28;"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";6;7;0,000528601464816315;3;3;3;4;0,00067306018974559;0,000597505642676312;"U12-type spliceosomal complex, nucleolus, nucleus";0,00161030595813205
"31";31;"O43390";"O43390-1,O43390-2";"O43390-1,O43390-2";"HNRPR_HUMAN";"Heterogeneous nuclear ribonucleoprotein R";"HNRNPR";3;5;0,000260811318540887;NA;3;NA;5;NA;NA;"catalytic step 2 spliceosome, nucleoplasm, ribonucleoprotein complex, spliceosomal complex, nucleus, cytoplasm";0,00115021854152289
"32";32;"O43684";"O43684-1,O43684-2";"O43684-1,O43684-2";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";3;3;0,000274545839195756;NA;3;NA;3;NA;NA;"kinetochore, nucleus, condensed chromosome kinetochore, cytosol";0,000690131124913734
"33";33;"O60264";"O60264";"O60264";"SMCA5_HUMAN";"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5";"SMARCA5";2;2;0,000114133124532583;2;NA;2;NA;0,00033908925909236;NA;"NURF complex, RSF complex, condensed chromosome, nucleus, chromatin silencing complex, nucleoplasm";0,000460087416609156
