"";"accession";"name";"go_name"
"1";"P27348";"1433T_HUMAN";"C:cytosol, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, P:small GTPase mediated signal transduction, C:protein complex, C:extracellular vesicular exosome, P:intrinsic apoptotic signaling pathway, C:cytoplasmic vesicle membrane, P:protein targeting, P:substantia nigra development, P:negative regulation of transcription, DNA-templated"
"2";"P63104";"1433Z_HUMAN";"C:cytosol, C:blood microparticle, P:platelet activation, C:protein complex, C:mast cell granule, C:perinuclear region of cytoplasm, C:postsynaptic density, P:positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, C:melanosome, C:nucleoplasm, C:mitochondrion, P:histamine secretion by mast cell, P:intrinsic apoptotic signaling pathway, P:mRNA metabolic process, P:gene expression, C:cell leading edge, C:extracellular vesicular exosome, P:negative regulation of apoptotic process, P:protein targeting to mitochondrion, C:cytoplasmic vesicle membrane"
"3";"P01892";"1A02_HUMAN";"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:cell surface, C:early endosome membrane, F:TAP binding, P:interferon-gamma-mediated signaling pathway, P:positive regulation of memory T cell activation, C:integral component of lumenal side of endoplasmic reticulum membrane, P:viral process, P:positive regulation of interferon-gamma production, F:peptide antigen binding, P:regulation of defense response to virus by virus, C:ER to Golgi transport vesicle membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:positive regulation of T cell mediated cytotoxicity, C:Golgi membrane, P:antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent, C:phagocytic vesicle membrane, P:type I interferon signaling pathway, C:MHC class I protein complex"
"4";"P05534";"1A24_HUMAN";"C:plasma membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:ER to Golgi transport vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:Golgi membrane, P:regulation of immune response, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, C:extracellular vesicular exosome, P:type I interferon signaling pathway, C:early endosome membrane, F:TAP binding, C:phagocytic vesicle membrane, P:viral process, F:peptide antigen binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:interferon-gamma-mediated signaling pathway"
"5";"P16188";"1A30_HUMAN";"P:positive regulation of T cell mediated cytotoxicity, C:extracellular vesicular exosome, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of lumenal side of endoplasmic reticulum membrane, C:phagocytic vesicle membrane, P:interferon-gamma-mediated signaling pathway, C:early endosome membrane, C:Golgi membrane, P:viral process, C:integral component of plasma membrane, F:TAP binding, F:peptide antigen binding, C:ER to Golgi transport vesicle membrane, C:MHC class I protein complex, P:type I interferon signaling pathway"
"6";"P30453";"1A34_HUMAN";"P:regulation of immune response, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, P:positive regulation of T cell mediated cytotoxicity, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, F:peptide antigen binding, C:MHC class I protein complex, C:integral component of lumenal side of endoplasmic reticulum membrane, C:plasma membrane, C:ER to Golgi transport vesicle membrane, C:Golgi membrane, C:phagocytic vesicle membrane"
"7";"Q09160";"1A80_HUMAN";"C:ER to Golgi transport vesicle membrane, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:Golgi membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, P:regulation of immune response, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of plasma membrane, P:type I interferon signaling pathway, C:early endosome membrane"
"8";"P30464";"1B15_HUMAN";"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:cell surface, P:viral process, C:early endosome membrane, C:ER to Golgi transport vesicle membrane, P:regulation of immune response, P:interferon-gamma-mediated signaling pathway, F:peptide antigen binding, C:Golgi membrane, P:positive regulation of T cell mediated cytotoxicity, C:MHC class I protein complex, F:receptor binding, C:phagocytic vesicle membrane"
"9";"P30479";"1B41_HUMAN";"P:viral process, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, C:phagocytic vesicle membrane, C:cell surface, C:integral component of lumenal side of endoplasmic reticulum membrane, C:early endosome membrane, P:regulation of immune response, P:type I interferon signaling pathway, C:ER to Golgi transport vesicle membrane, F:peptide antigen binding, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway, C:Golgi membrane"
"10";"P30486";"1B48_HUMAN";"P:viral process, C:integral component of membrane, F:peptide antigen binding, C:cell surface, P:antigen processing and presentation of peptide antigen via MHC class I, P:positive regulation of T cell mediated cytotoxicity, P:immune response, C:MHC class I protein complex"
"11";"P30487";"1B49_HUMAN";"P:regulation of immune response, C:cell surface, C:MHC class I protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of lumenal side of endoplasmic reticulum membrane, P:positive regulation of T cell mediated cytotoxicity, P:interferon-gamma-mediated signaling pathway, P:viral process, C:early endosome membrane, C:Golgi membrane, F:peptide antigen binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:type I interferon signaling pathway, C:ER to Golgi transport vesicle membrane, C:phagocytic vesicle membrane"
"12";"P18465";"1B57_HUMAN";"C:ER to Golgi transport vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, C:phagocytic vesicle membrane, C:early endosome membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:Golgi membrane, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:MHC class I protein complex, P:interferon-gamma-mediated signaling pathway"
"13";"P04222";"1C03_HUMAN";"C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, F:receptor binding, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, F:TAP binding, C:early endosome membrane, C:Golgi membrane, P:type I interferon signaling pathway, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:cell surface, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:regulation of immune response, C:MHC class I protein complex, P:viral process"
"14";"P10321";"1C07_HUMAN";"C:integral component of lumenal side of endoplasmic reticulum membrane, F:peptide antigen binding, F:receptor binding, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, P:viral process, P:type I interferon signaling pathway, C:extracellular vesicular exosome, C:cell surface, P:regulation of immune response, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:Golgi membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane"
"15";"P30508";"1C12_HUMAN";"C:Golgi membrane, F:peptide antigen binding, P:regulation of immune response, C:phagocytic vesicle membrane, P:positive regulation of T cell mediated cytotoxicity, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane, P:type I interferon signaling pathway, C:MHC class I protein complex, C:cell surface, C:early endosome membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:integral component of plasma membrane, P:viral process, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:interferon-gamma-mediated signaling pathway"
"16";"Q95604";"1C17_HUMAN";"F:peptide antigen binding, P:interferon-gamma-mediated signaling pathway, C:MHC class I protein complex, C:phagocytic vesicle membrane, C:ER to Golgi transport vesicle membrane, C:early endosome membrane, P:positive regulation of T cell mediated cytotoxicity, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent, C:Golgi membrane, P:type I interferon signaling pathway, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent, P:viral process, C:cell surface, P:regulation of immune response"
"17";"P04229";"2B11_HUMAN";"P:regulation of interleukin-4 production, P:negative regulation of T cell proliferation, C:integral component of lumenal side of endoplasmic reticulum membrane, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:ER to Golgi transport vesicle membrane, C:late endosome membrane, C:external side of plasma membrane, P:interferon-gamma-mediated signaling pathway, F:MHC class II protein complex binding, P:immunoglobulin production involved in immunoglobulin mediated immune response, P:T cell costimulation, P:humoral immune response mediated by circulating immunoglobulin, C:clathrin-coated endocytic vesicle membrane, P:regulation of interleukin-10 secretion, P:positive regulation of insulin secretion involved in cellular response to glucose stimulus, C:trans-Golgi network membrane, C:Golgi membrane, P:inflammatory response to antigenic stimulus, P:protein tetramerization, P:negative regulation of interferon-gamma production, C:MHC class II protein complex, P:T cell receptor signaling pathway, P:T-helper 1 type immune response, C:extracellular vesicular exosome, F:peptide antigen binding, P:detection of bacterium, C:lysosomal membrane"
"18";"P20039";"2B1B_HUMAN";"C:integral component of plasma membrane, P:T cell costimulation, C:lysosomal membrane, C:MHC class II protein complex, P:antigen processing and presentation of exogenous peptide antigen via MHC class II, C:trans-Golgi network membrane, C:clathrin-coated endocytic vesicle membrane, C:Golgi membrane, C:late endosome membrane, P:interferon-gamma-mediated signaling pathway, P:T cell receptor signaling pathway, F:MHC class II receptor activity, C:ER to Golgi transport vesicle membrane, C:integral component of lumenal side of endoplasmic reticulum membrane"
