"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5828.1.id.csv";"peptide.count.P5828.2.id.csv";"spectra.count.P5828.1.id.csv";"spectra.count.P5828.2.id.csv";"dNSAF.P5828.1.id.csv";"dNSAF.P5828.2.id.csv";"Go.Cc"
"1";"A0FGR8";"A0FGR8-1,A0FGR8-2,A0FGR8-5,A0FGR8-6";"A0FGR8-1,A0FGR8-2,A0FGR8-5,A0FGR8-6";"ESYT2_HUMAN";"Extended synaptotagmin-2";"ESYT2";2;3;4,88876412900152e-05;NA;2;NA;3;NA;NA;"integral component of plasma membrane"
"2";"A6NHL2";"A6NHL2-1,A6NHL2-2";"A6NHL2-1,A6NHL2-2";"TBAL3_HUMAN";"Tubulin alpha chain-like 3";"TUBAL3";1;1;0,000179473911821042;0;1;0;1;NA;NA;"cytoplasm, microtubule"
"3";"B0I1T2";"B0I1T2-1,B0I1T2-2,B0I1T2-3,B0I1T2-4,O94832";"B0I1T2-1,B0I1T2-2,B0I1T2-3,B0I1T2-4,O94832";"MYO1D_HUMAN, MYO1G_HUMAN";"Unconventional myosin-Id, Unconventional myosin-Ig";"MYO1D, MYO1G";1;1;1,18223756408308e-05;1;NA;1;NA;0,000177297167278908;NA;"plasma membrane, myosin complex, extracellular vesicular exosome"
"4";"O00116";"O00116";"O00116";"ADAS_HUMAN";"Alkyldihydroxyacetonephosphate synthase, peroxisomal";"AGPS";2;2;0,000182474235574889;NA;2;NA;2;NA;0,000360955156479991;"intracellular membrane-bounded organelle, peroxisomal membrane, peroxisomal matrix, mitochondrion, nucleolus, peroxisome"
"5";"O00139";"O00139-1,O00139-2,O00139-3,O00139-4";"O00139-1,O00139-2,O00139-3,O00139-4";"KIF2A_HUMAN";"Kinesin-like protein KIF2A";"KIF2A";2;2;4,25170138131293e-05;2;NA;2;NA;NA;NA;"kinesin complex, cytosol, microtubule, centrosome, spindle pole"
"6";"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";4;9;0,00126535412537997;NA;4;NA;9;NA;0,00250301690477108;"nucleus, cytoplasm"
"7";"O00264";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";3;10;0,00307866787200711;3;2;6;4;0,00548802923946404;0,00243598454321881;"endoplasmic reticulum, integral component of membrane, nucleolus, endoplasmic reticulum membrane"
"8";"O00410";"O00410-1,O00410-2,O00410-3";"O00410-1,O00410-2,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";2;2;3,64837578268846e-05;2;NA;2;NA;NA;NA;"cytoplasm, nuclear membrane, nuclear pore, nucleus, Golgi apparatus, intracellular membrane-bounded organelle"
"9";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";1;3;0,00222348235200513;NA;1;NA;3;NA;0,00439830542525618;"mitochondrial respiratory chain complex I, mitochondrion, mitochondrial respiratory chain complex IV, mitochondrial inner membrane"
"10";"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";2;2;0,000387316280671862;2;NA;2;NA;0,00115071580827472;NA;"proteasome accessory complex, nucleoplasm, proteasome complex, proteasome regulatory particle, lid subcomplex, cytosol"
"11";"O00560";"O00560-1,O00560-2,O00560-3";"O00560-1,O00560-2,O00560-3";"SDCB1_HUMAN";"Syntenin-1";"SDCBP";1;1;6,71521515706249e-05;NA;1;NA;1;NA;NA;"extracellular vesicular exosome, endoplasmic reticulum membrane, melanosome, plasma membrane, blood microparticle, membrane, cytoskeleton, cytoplasm, interleukin-5 receptor complex, cytosol, focal adhesion, adherens junction, nucleus"
"12";"O00567";"O00567";"O00567";"NOP56_HUMAN";"Nucleolar protein 56";"NOP56";6;8;0,000808539037092776;4;4;4;4;0,00120108384028674;0,000799691895501124;"box C/D snoRNP complex, nucleolus, pre-snoRNP complex, cytoplasm, small nucleolar ribonucleoprotein complex"
"13";"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";7;10;0,000493913928807787;3;5;4;6;NA;NA;"mitochondrial outer membrane, extracellular vesicular exosome, cytoplasm, nuclear speck, cytoplasmic stress granule, nucleus"
"14";"O14672";"O14672";"O14672";"ADA10_HUMAN";"Disintegrin and metalloproteinase domain-containing protein 10";"ADAM10";9;18;0,00144466901480547;6;7;8;10;0,00190760374633777;0,00158762361606841;"cell surface, cytoplasm, Golgi-associated vesicle, nucleus, extracellular vesicular exosome, plasma membrane, Golgi apparatus, postsynaptic density, integral component of membrane"
"15";"O14828";"O14828-1";"O14828-1";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";2;2;0,000346017426536822;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane"
"16";"O14950";"O14950,P19105";"O14950,P19105";"ML12A_HUMAN, ML12B_HUMAN";"Myosin regulatory light chain 12A, Myosin regulatory light chain 12B";"MYL12A, MYL12B";1;1;0,000175026307592241;NA;1;NA;1;NA;0,000346222292950195;"stress fiber, cytosol, Z disc, myosin II complex, extracellular vesicular exosome, apical part of cell"
"17";"O14975";"O14975-1,O14975-2";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";1;1;4,84145350839828e-05;1;NA;1;NA;NA;NA;"mitochondrion, endoplasmic reticulum lumen, peroxisomal membrane, endoplasmic reticulum membrane, integral component of peroxisomal membrane, extracellular vesicular exosome, integral component of endoplasmic reticulum membrane"
"18";"O14979";"O14979-1,O14979-2,O14979-3";"O14979-1,O14979-2,O14979-3";"HNRDL_HUMAN";"Heterogeneous nuclear ribonucleoprotein D-like";"HNRPDL";2;3;0,00014293815120033;1;1;1;2;NA;NA;"nucleus, spliceosomal complex, cytoplasm"
